Property,Value,Formatted
"SQL_CATALOG_LOCATION","1","1"
"SQL_CATALOG_NAME","Y","Y"
"SQL_CATALOG_NAME_SEPARATOR",".","."
"SQL_CATALOG_TERM","database","database"
"SQL_CATALOG_USAGE","31","SQL_QU_DML_STATEMENTS | SQL_QU_INDEX_DEFINITION | SQL_QU_PRIVILEGE_DEFINITION | SQL_QU_PROCEDURE_INVOCATION | SQL_QU_TABLE_DEFINITION"
"SQL_COLUMN_ALIAS","Y","Y"
"SQL_CONCAT_NULL_BEHAVIOR","0","SQL_CB_NULL"
"SQL_CONVERT_BIGINT","14939135","BIGINT | BIT | CHAR | DATE | DECIMAL | DOUBLE | FLOAT | INTEGER | LONGVARCHAR | NUMERIC | REAL | SMALLINT | TIME | TIMESTAMP | TINYINT | VARCHAR | WCHAR | WLONGVARCHAR | WVARCHAR"
"SQL_CONVERT_BINARY","0",""
"SQL_CONVERT_BIT","14939135","BIGINT | BIT | CHAR | DATE | DECIMAL | DOUBLE | FLOAT | INTEGER | LONGVARCHAR | NUMERIC | REAL | SMALLINT | TIME | TIMESTAMP | TINYINT | VARCHAR | WCHAR | WLONGVARCHAR | WVARCHAR"
"SQL_CONVERT_CHAR","14939135","BIGINT | BIT | CHAR | DATE | DECIMAL | DOUBLE | FLOAT | INTEGER | LONGVARCHAR | NUMERIC | REAL | SMALLINT | TIME | TIMESTAMP | TINYINT | VARCHAR | WCHAR | WLONGVARCHAR | WVARCHAR"
"SQL_CONVERT_DATE","14939135","BIGINT | BIT | CHAR | DATE | DECIMAL | DOUBLE | FLOAT | INTEGER | LONGVARCHAR | NUMERIC | REAL | SMALLINT | TIME | TIMESTAMP | TINYINT | VARCHAR | WCHAR | WLONGVARCHAR | WVARCHAR"
"SQL_CONVERT_DECIMAL","14939135","BIGINT | BIT | CHAR | DATE | DECIMAL | DOUBLE | FLOAT | INTEGER | LONGVARCHAR | NUMERIC | REAL | SMALLINT | TIME | TIMESTAMP | TINYINT | VARCHAR | WCHAR | WLONGVARCHAR | WVARCHAR"
"SQL_CONVERT_DOUBLE","14939135","BIGINT | BIT | CHAR | DATE | DECIMAL | DOUBLE | FLOAT | INTEGER | LONGVARCHAR | NUMERIC | REAL | SMALLINT | TIME | TIMESTAMP | TINYINT | VARCHAR | WCHAR | WLONGVARCHAR | WVARCHAR"
"SQL_CONVERT_FLOAT","14939135","BIGINT | BIT | CHAR | DATE | DECIMAL | DOUBLE | FLOAT | INTEGER | LONGVARCHAR | NUMERIC | REAL | SMALLINT | TIME | TIMESTAMP | TINYINT | VARCHAR | WCHAR | WLONGVARCHAR | WVARCHAR"
"SQL_CONVERT_FUNCTIONS","0",""
"SQL_CONVERT_GUID","",""
"SQL_CONVERT_INTEGER","14939135","BIGINT | BIT | CHAR | DATE | DECIMAL | DOUBLE | FLOAT | INTEGER | LONGVARCHAR | NUMERIC | REAL | SMALLINT | TIME | TIMESTAMP | TINYINT | VARCHAR | WCHAR | WLONGVARCHAR | WVARCHAR"
"SQL_CONVERT_LONGVARBINARY","0",""
"SQL_CONVERT_LONGVARCHAR","14939135","BIGINT | BIT | CHAR | DATE | DECIMAL | DOUBLE | FLOAT | INTEGER | LONGVARCHAR | NUMERIC | REAL | SMALLINT | TIME | TIMESTAMP | TINYINT | VARCHAR | WCHAR | WLONGVARCHAR | WVARCHAR"
"SQL_CONVERT_NUMERIC","14939135","BIGINT | BIT | CHAR | DATE | DECIMAL | DOUBLE | FLOAT | INTEGER | LONGVARCHAR | NUMERIC | REAL | SMALLINT | TIME | TIMESTAMP | TINYINT | VARCHAR | WCHAR | WLONGVARCHAR | WVARCHAR"
"SQL_CONVERT_REAL","14939135","BIGINT | BIT | CHAR | DATE | DECIMAL | DOUBLE | FLOAT | INTEGER | LONGVARCHAR | NUMERIC | REAL | SMALLINT | TIME | TIMESTAMP | TINYINT | VARCHAR | WCHAR | WLONGVARCHAR | WVARCHAR"
"SQL_CONVERT_SMALLINT","14939135","BIGINT | BIT | CHAR | DATE | DECIMAL | DOUBLE | FLOAT | INTEGER | LONGVARCHAR | NUMERIC | REAL | SMALLINT | TIME | TIMESTAMP | TINYINT | VARCHAR | WCHAR | WLONGVARCHAR | WVARCHAR"
"SQL_CONVERT_TIME","14939135","BIGINT | BIT | CHAR | DATE | DECIMAL | DOUBLE | FLOAT | INTEGER | LONGVARCHAR | NUMERIC | REAL | SMALLINT | TIME | TIMESTAMP | TINYINT | VARCHAR | WCHAR | WLONGVARCHAR | WVARCHAR"
"SQL_CONVERT_TIMESTAMP","14939135","BIGINT | BIT | CHAR | DATE | DECIMAL | DOUBLE | FLOAT | INTEGER | LONGVARCHAR | NUMERIC | REAL | SMALLINT | TIME | TIMESTAMP | TINYINT | VARCHAR | WCHAR | WLONGVARCHAR | WVARCHAR"
