CurrencyLable,CadXchangeRate,CurrencySymbol,CurrencyFormat
AUD,1.0207206287639072,$,"$ 0,000"
RUB,46.904315196998127,₽,"₽ 0,000"
EUR,0.68064252654505852,€,"€ 0,000"
GBP,0.60230078901403361,£,"£ 0,000"
INR,50.125313283208023,₹,"₹ 0,000"
USD,0.775975789555366,$,"$ 0,000"
BRL,2.54841997961264,R$,"R$ 0,000"
SGD,1.0723860589812333,$,"$ 0,000"
CNY,5.2798310454065467,¥,"¥ 0,000"
NZD,1.0664391596459422,$,"$ 0,000"
HKD,6.0615979584538069,$,"$ 0,000"
IDR,10416.666666666666,Rp,"Rp 0,000"
JPY,88.417329796640132,¥,"¥ 0,000"
KRW,896.05734767025092,₩,"₩ 0,000"
ZAR,10.398253093480294,R,"R 0,000"
CHF,0.74805505685218432,Fr,"Fr 0,000"
MYR,3.33555703802535,RM,"RM 0,000"
MXN,14.062719729995781,$,"$ 0,000"
TRY,2.8105677346824058,₺,"₺ 0,000"
NOK,6.4935064935064934,kr,"kr 0,000"
PEN,2.5227043390514634,S/.,"S/. 0,000"
SAR,2.9103608847497089,ر.س,"ر.س 0,000"
SEK,6.5445026178010473,kr,"kr 0,000"
TWD,23.713540431586438,$,"$ 0,000"
THB,26.462026991267532,฿,"฿ 0,000"
VND,17543.859649122805,₫,"₫ 0,000"
