Customer ID,Tenure,Geography ID,Completed tutorial,Subscription ID,Role,Company ID,Rating,Theme,Original Score
10012259,19,1,"no",2,2,2,"High","features",10
10012299,2,1,"no",2,2,2,"High","features",10
10012361,5,1,"no",2,2,2,"High","features",10
10012373,6,1,"no",2,2,2,"High","features",10
10013006,7,1,"no",2,2,2,"High","features",10
10013242,47,1,"no",2,2,2,"High","features",10
10013855,12,1,"no",2,2,2,"High","features",10
10014358,3,1,"no",2,2,2,"High","features",10
10014783,11,1,"no",2,2,2,"High","features",10
10014951,28,1,"no",2,2,2,"High","features",10
10015589,20,1,"no",2,2,2,"High","features",10
10015627,26,1,"no",2,2,2,"High","features",10
10016712,0,1,"no",2,2,2,"High","features",10
10016955,3,1,"no",2,2,2,"High","features",10
10017117,14,1,"no",2,2,2,"High","features",10
10017156,26,1,"no",2,2,2,"High","features",10
10017182,29,1,"no",2,2,2,"High","features",10
10017963,15,1,"no",2,2,2,"High","features",10
10018003,13,1,"no",2,2,2,"High","features",10
10018055,2,1,"no",2,2,2,"High","features",10
10018079,17,1,"no",2,2,2,"High","features",10
10018124,25,1,"no",2,2,2,"High","features",10
10018136,22,1,"no",2,2,2,"High","features",10
10018215,11,1,"no",2,2,2,"High","features",10
10018265,14,1,"no",2,2,2,"High","features",10
10018348,17,1,"no",2,2,2,"High","features",10
10018394,13,1,"no",2,2,2,"High","features",10
10018397,21,1,"no",2,2,2,"High","features",10
10018404,28,1,"no",2,2,2,"High","features",10
10018405,5,1,"no",2,2,2,"High","features",10
10018407,4,1,"no",2,2,2,"High","features",10
10018444,27,1,"no",2,2,2,"High","features",10
10018533,24,1,"no",2,2,2,"High","features",10
10018542,17,1,"no",2,2,2,"High","features",10
10018583,24,1,"no",2,2,2,"High","features",10
10018590,14,1,"no",2,2,2,"High","features",10
10018597,2,1,"no",2,2,2,"High","features",10
10018696,5,1,"no",2,2,2,"High","features",10
10018811,22,1,"no",2,2,2,"High","features",10
10018815,24,1,"no",2,2,2,"High","features",10
10018866,25,1,"no",2,2,2,"High","features",10
10018896,14,1,"no",2,2,2,"High","features",10
10019148,23,1,"no",2,2,2,"High","features",10
10019264,10,1,"no",2,2,2,"High","features",10
10019281,10,1,"no",2,2,2,"High","features",10
10019367,24,1,"no",2,2,2,"High","features",10
10019457,20,1,"no",2,2,2,"High","features",10
10019463,6,1,"no",2,2,2,"High","features",10
10019602,5,1,"no",2,2,2,"High","features",10
10019792,7,1,"no",2,2,2,"High","features",10
10019879,2,1,"no",2,2,2,"High","features",10
10019896,15,1,"no",2,2,2,"High","features",10
10019908,26,1,"no",2,2,2,"High","features",10
10019932,5,1,"no",2,2,2,"High","features",10
10019958,28,1,"no",2,2,2,"High","features",10
10019994,14,1,"no",2,2,2,"High","features",10
10019999,8,1,"no",2,2,2,"High","features",10
10020006,14,1,"no",2,2,2,"High","features",10
10020032,4,1,"no",2,2,2,"High","features",10
10020119,2,1,"no",2,2,2,"High","features",10
10020159,0,1,"no",2,2,2,"High","features",10
10020188,24,1,"no",2,2,2,"High","features",10
10020400,16,1,"no",2,2,2,"High","features",10
10020450,7,1,"no",2,2,2,"High","features",10
10020478,14,1,"no",2,2,2,"High","features",10
10020481,48,1,"no",2,2,2,"High","features",10
10020520,15,1,"no",2,2,2,"High","features",10
10020556,18,1,"no",2,2,2,"High","features",10
10020644,16,1,"no",2,2,2,"High","features",10
10020671,27,1,"no",2,2,2,"High","features",10
10020743,7,1,"no",2,2,2,"High","features",10
10020768,20,1,"no",2,2,2,"High","features",10
10020786,25,1,"no",2,2,2,"High","features",10
10020825,24,1,"no",2,2,2,"High","features",10
10020861,18,1,"no",2,2,2,"High","features",10
10020862,22,1,"no",2,2,2,"High","features",10
10020874,13,1,"no",2,2,2,"High","features",10
10021005,17,1,"no",2,2,2,"High","features",10
10021086,6,1,"no",2,2,2,"High","features",10
10021117,18,1,"no",2,2,2,"High","features",10
10021276,15,1,"no",2,2,2,"High","features",10
10021285,12,1,"no",2,2,2,"High","features",10
10021327,3,1,"no",2,2,2,"High","features",10
10021384,26,1,"no",2,2,2,"High","features",10
10021395,17,1,"no",2,2,2,"High","features",10
10021432,26,1,"no",2,2,2,"High","features",10
10021583,17,1,"no",2,2,2,"High","features",10
10021697,17,1,"no",2,2,2,"High","features",10
10021705,19,1,"no",2,2,2,"High","features",10
10021765,16,1,"no",2,2,2,"High","features",10
10021832,4,1,"no",2,2,2,"High","features",10
10021854,29,1,"no",2,2,2,"High","features",10
10021871,9,1,"no",2,2,2,"High","features",10
10021945,21,1,"no",2,2,2,"High","features",10
10022075,3,1,"no",2,2,2,"High","features",10
10022129,1,1,"no",2,2,2,"High","features",10
10022166,28,1,"no",2,2,2,"High","features",10
10022176,6,1,"no",2,2,2,"High","features",10
10022220,24,1,"no",2,2,2,"High","features",10
10022235,20,1,"no",2,2,2,"High","features",10
10022272,29,1,"no",2,2,2,"High","features",10
10022300,7,1,"no",2,2,2,"High","features",10
10022382,0,1,"no",2,2,2,"High","features",10
10022450,20,1,"no",2,2,2,"High","features",10
10022451,9,1,"no",2,2,2,"High","features",10
10022544,19,1,"no",2,2,2,"High","features",10
10022559,17,1,"no",2,2,2,"High","features",10
10022572,15,1,"no",2,2,2,"High","features",10
