ID,Customer ID,device
1,10000000,"browser"
3,10000001,"browser"
4,10000002,"browser"
6,10000003,"browser"
7,10000004,"browser"
8,10000005,"browser"
9,10000006,"browser"
12,10000007,"browser"
13,10000008,"browser"
15,10000009,"browser"
16,10000010,"browser"
18,10000011,"browser"
19,10000012,"browser"
21,10000013,"browser"
22,10000014,"browser"
23,10000015,"browser"
24,10000016,"browser"
25,10000017,"browser"
27,10000018,"browser"
30,10000019,"browser"
32,10000020,"browser"
33,10000021,"browser"
34,10000022,"browser"
35,10000023,"browser"
37,10000024,"browser"
39,10000025,"browser"
40,10000026,"browser"
41,10000027,"browser"
42,10000028,"browser"
43,10000029,"browser"
44,10000030,"browser"
45,10000031,"browser"
47,10000033,"browser"
49,10000034,"browser"
50,10000035,"browser"
52,10000036,"browser"
54,10000037,"browser"
55,10000038,"browser"
56,10000039,"browser"
57,10000040,"browser"
58,10000041,"browser"
60,10000042,"browser"
61,10000043,"browser"
63,10000044,"browser"
64,10000045,"browser"
65,10000046,"browser"
67,10000047,"browser"
68,10000048,"browser"
69,10000049,"browser"
72,10000050,"browser"
73,10000051,"browser"
76,10000052,"browser"
78,10000054,"browser"
79,10000055,"browser"
80,10000056,"browser"
82,10000057,"browser"
83,10000058,"browser"
85,10000059,"browser"
88,10000060,"browser"
89,10000061,"browser"
90,10000062,"browser"
91,10000063,"browser"
92,10000064,"browser"
94,10000065,"browser"
95,10000066,"browser"
97,10000067,"browser"
98,10000068,"browser"
99,10000069,"browser"
100,10000070,"browser"
101,10000071,"browser"
103,10000072,"browser"
104,10000073,"browser"
105,10000074,"browser"
107,10000075,"browser"
108,10000076,"browser"
111,10000077,"browser"
112,10000078,"browser"
114,10000079,"browser"
117,10000080,"browser"
118,10000081,"browser"
119,10000082,"browser"
120,10000083,"browser"
123,10000084,"browser"
125,10000085,"browser"
128,10000086,"browser"
130,10000087,"browser"
131,10000088,"browser"
132,10000089,"browser"
133,10000090,"browser"
135,10000092,"browser"
137,10000093,"browser"
139,10000094,"browser"
140,10000095,"browser"
141,10000096,"browser"
143,10000097,"browser"
144,10000098,"browser"
146,10000099,"browser"
147,10000100,"browser"
148,10000101,"browser"
149,10000102,"browser"
151,10000103,"browser"
152,10000104,"browser"
154,10000105,"browser"
156,10000106,"browser"
157,10000107,"browser"
158,10000108,"browser"
161,10000109,"browser"
162,10000110,"browser"
165,10000111,"browser"
166,10000112,"browser"
167,10000113,"browser"
168,10000114,"browser"
170,10000115,"browser"
173,10000116,"browser"
176,10000117,"browser"
178,10000118,"browser"
