PK_dim_Data,Ano,Mês,Mês N,Dia,Mês/Ano Ordem,Dia da Semana,Nome do Dia,Semana do Ano,isAnoAtual,isDataPassada,Mês-Ano
2020-01-01 00:00:00.000,2020,"Janeiro",1,1,24241,3,"Qua",1,False,True,"Jan-20"
2020-01-02 00:00:00.000,2020,"Janeiro",1,2,24241,4,"Qui",1,False,True,"Jan-20"
2020-01-03 00:00:00.000,2020,"Janeiro",1,3,24241,5,"Sex",1,False,True,"Jan-20"
2020-01-04 00:00:00.000,2020,"Janeiro",1,4,24241,6,"Sáb",1,False,True,"Jan-20"
2020-01-05 00:00:00.000,2020,"Janeiro",1,5,24241,0,"Dom",2,False,True,"Jan-20"
2020-01-06 00:00:00.000,2020,"Janeiro",1,6,24241,1,"Seg",2,False,True,"Jan-20"
2020-01-07 00:00:00.000,2020,"Janeiro",1,7,24241,2,"Ter",2,False,True,"Jan-20"
2020-01-08 00:00:00.000,2020,"Janeiro",1,8,24241,3,"Qua",2,False,True,"Jan-20"
2020-01-09 00:00:00.000,2020,"Janeiro",1,9,24241,4,"Qui",2,False,True,"Jan-20"
2020-01-10 00:00:00.000,2020,"Janeiro",1,10,24241,5,"Sex",2,False,True,"Jan-20"
2020-01-11 00:00:00.000,2020,"Janeiro",1,11,24241,6,"Sáb",2,False,True,"Jan-20"
2020-01-12 00:00:00.000,2020,"Janeiro",1,12,24241,0,"Dom",3,False,True,"Jan-20"
2020-01-13 00:00:00.000,2020,"Janeiro",1,13,24241,1,"Seg",3,False,True,"Jan-20"
2020-01-14 00:00:00.000,2020,"Janeiro",1,14,24241,2,"Ter",3,False,True,"Jan-20"
2020-01-15 00:00:00.000,2020,"Janeiro",1,15,24241,3,"Qua",3,False,True,"Jan-20"
2020-01-16 00:00:00.000,2020,"Janeiro",1,16,24241,4,"Qui",3,False,True,"Jan-20"
2020-01-17 00:00:00.000,2020,"Janeiro",1,17,24241,5,"Sex",3,False,True,"Jan-20"
2020-01-18 00:00:00.000,2020,"Janeiro",1,18,24241,6,"Sáb",3,False,True,"Jan-20"
2020-01-19 00:00:00.000,2020,"Janeiro",1,19,24241,0,"Dom",4,False,True,"Jan-20"
2020-01-20 00:00:00.000,2020,"Janeiro",1,20,24241,1,"Seg",4,False,True,"Jan-20"
2020-01-21 00:00:00.000,2020,"Janeiro",1,21,24241,2,"Ter",4,False,True,"Jan-20"
2020-01-22 00:00:00.000,2020,"Janeiro",1,22,24241,3,"Qua",4,False,True,"Jan-20"
2020-01-23 00:00:00.000,2020,"Janeiro",1,23,24241,4,"Qui",4,False,True,"Jan-20"
2020-01-24 00:00:00.000,2020,"Janeiro",1,24,24241,5,"Sex",4,False,True,"Jan-20"
2020-01-25 00:00:00.000,2020,"Janeiro",1,25,24241,6,"Sáb",4,False,True,"Jan-20"
2020-01-26 00:00:00.000,2020,"Janeiro",1,26,24241,0,"Dom",5,False,True,"Jan-20"
2020-01-27 00:00:00.000,2020,"Janeiro",1,27,24241,1,"Seg",5,False,True,"Jan-20"
2020-01-28 00:00:00.000,2020,"Janeiro",1,28,24241,2,"Ter",5,False,True,"Jan-20"
