ResellerKey,GeographyKey,ResellerAlternateKey,Phone,BusinessType,ResellerName,NumberEmployees,OrderFrequency,OrderMonth,FirstOrderYear,LastOrderYear,ProductLine,AddressLine1,AddressLine2,AnnualSales,BankName,MinPaymentType,MinPaymentAmount,AnnualRevenue,YearOpened
213,38,AW00000213,1 (11) 500 555-0168,Specialty Bike Shop,Fast Bike Works,28,A,5.0,2013.0,2013.0,Touring,Level 100,77 Southbank Boulevard,1000000,Primary International,3.0,600.0,100000,1975
179,531,AW00000179,608-555-0114,Value Added Reseller,Fourth Bike Store,3,S,6.0,2013.0,2013.0,Touring,77993 Mentor Ave.,,300000,United Security,2.0,,30000,1985
309,582,AW00000309,149-555-0113,Value Added Reseller,The Gear Store,14,S,5.0,2011.0,2013.0,Mountain,2345 North Freeway,,800000,International Bank,,,80000,1986
185,362,AW00000185,495-555-0113,Value Added Reseller,Weekend Bike Tours,4,S,7.0,2012.0,2012.0,Road,630 N. Capitol Ave.,,300000,Primary International,3.0,200.0,30000,1982
592,251,AW00000592,1 (11) 500 555-0115,Specialty Bike Shop,Cycling Goods,47,A,5.0,2012.0,2013.0,Road,997b Tradescant Road,,1500000,United Security,3.0,600.0,150000,1990
326,622,AW00000326,164-555-0145,Warehouse,Year-Round Sports,66,Q,11.0,2011.0,2012.0,Mountain,2583 Se 272nd St,,3000000,United Security,2.0,,300000,1983
438,509,AW00000438,121-555-0157,Specialty Bike Shop,Remarkable Bike Store,10,A,6.0,2011.0,2013.0,Road,Eastern Beltway Center,,800000,United Security,3.0,600.0,80000,1976
4,572,AW00000004,710-555-0173,Value Added Reseller,Modular Cycle Systems,5,S,4.0,2011.0,2013.0,Road,800 Interchange Blvd.,Suite 2501,300000,United Security,3.0,600.0,30000,1980
489,575,AW00000489,191-555-0198,Specialty Bike Shop,Cash & Carry Bikes,45,A,3.0,2012.0,2013.0,Mountain,Lakeline Mall,,1500000,Guardian Bank,,,150000,1987
132,392,AW00000132,661-555-0168,Specialty Bike Shop,Another Sporting Goods Company,31,A,,,,Road,5650 West 88th Ave.,,1500000,Guardian Bank,1.0,,150000,2002
238,483,AW00000238,652-555-0189,Specialty Bike Shop,A Great Bicycle Company,28,A,12.0,2011.0,2013.0,Road,6030 Robinson Road,,1000000,Reserve Security,2.0,,100000,1975
470,621,AW00000470,328-555-0192,Value Added Reseller,Wingtip Toys,15,S,3.0,2013.0,2013.0,Mountain,755 Columbia Ctr Blvd,,800000,International Bank,3.0,600.0,80000,2003
691,397,AW00000691,751-555-0119,Value Added Reseller,Mountain Bike Store,14,S,4.0,2012.0,2013.0,Touring,Amity Plaza,,800000,Primary Bank & Reserve,3.0,200.0,80000,1995
