Order ID,variable,value
AX15226,Product ID,ENX2086
AX14596,Product ID,ENX2083
AX20415,Product ID,ENX2064
AX17939,Product ID,ENX2072
AX15246,Product ID,ENX2047
AX15566,Product ID,ENX2018
AX13128,Product ID,ENX2074
AX22168,Product ID,ENX2037
AX19873,Product ID,ENX2097
AX23087,Product ID,ENX2018
AX17330,Product ID,ENX2077
AX24505,Product ID,ENX2059
AX14935,Product ID,ENX2071
AX20729,Product ID,ENX2007
AX19796,Product ID,ENX2008
AX22152,Product ID,ENX2030
AX23579,Product ID,ENX2083
AX21637,Product ID,ENX2019
AX16456,Product ID,ENX2022
AX18908,Product ID,ENX2079
AX10614,Product ID,ENX2084
AX21036,Product ID,ENX2019
AX14032,Product ID,ENX2053
AX18010,Product ID,ENX2014
AX19502,Product ID,ENX2086
AX17018,Product ID,ENX2064
AX24874,Product ID,ENX2025
AX17994,Product ID,ENX2072
AX13085,Product ID,ENX2089
AX14484,Product ID,ENX2010
AX24708,Product ID,ENX2056
AX13567,Product ID,ENX2020
AX18600,Product ID,ENX2037
AX16287,Product ID,ENX2053
AX10649,Product ID,ENX2030
AX10657,Product ID,ENX2033
AX10971,Product ID,ENX2081
AX14580,Product ID,ENX2057
AX14052,Product ID,ENX2067
AX23115,Product ID,ENX2006
AX22345,Product ID,ENX2045
AX15021,Product ID,ENX2013
AX15522,Product ID,ENX2060
AX18858,Product ID,ENX2091
AX12043,Product ID,ENX2047
AX17340,Product ID,ENX2007
AX14420,Product ID,ENX2099
AX12249,Product ID,ENX2089
AX21066,Product ID,ENX2021
AX15536,Product ID,ENX2076
AX24155,Product ID,ENX2073
AX22415,Product ID,ENX2081
AX20372,Product ID,ENX2061
AX20212,Product ID,ENX2097
AX16175,Product ID,ENX2014
AX14065,Product ID,ENX2089
AX19605,Product ID,ENX2018
AX13973,Product ID,ENX2021
AX17432,Product ID,ENX2053
AX23134,Product ID,ENX2065
AX18162,Product ID,ENX2074
AX11305,Product ID,ENX2087
AX14705,Product ID,ENX2051
AX13122,Product ID,ENX2081
AX20237,Product ID,ENX2070
AX20762,Product ID,ENX2097
AX16835,Product ID,ENX2059
AX10868,Product ID,ENX2013
AX22824,Product ID,ENX2032
AX21709,Product ID,ENX2097
AX10841,Product ID,ENX2042
AX20629,Product ID,ENX2036
AX14566,Product ID,ENX2076
AX17826,Product ID,ENX2038
AX21671,Product ID,ENX2092
AX11557,Product ID,ENX2087
AX17306,Product ID,ENX2006
AX13021,Product ID,ENX2082
AX18225,Product ID,ENX2032
AX16606,Product ID,ENX2038
AX19590,Product ID,ENX2020
AX24781,Product ID,ENX2043
AX16755,Product ID,ENX2096
AX18530,Product ID,ENX2038
AX22337,Product ID,ENX2069
AX16099,Product ID,ENX2100
AX22609,Product ID,ENX2096
AX10229,Product ID,ENX2062
AX11576,Product ID,ENX2071
AX22197,Product ID,ENX2016
AX24239,Product ID,ENX2003
AX24744,Product ID,ENX2088
AX22595,Product ID,ENX2085
AX18927,Product ID,ENX2072
AX20714,Product ID,ENX2029
AX17413,Product ID,ENX2074
AX11949,Product ID,ENX2082
AX17157,Product ID,ENX2055
AX13795,Product ID,ENX2017
AX20421,Product ID,ENX2038
AX15226,Location ID,A127
AX14596,Location ID,A183
AX20415,Location ID,A120
AX17939,Location ID,A187
AX15246,Location ID,A106
AX15566,Location ID,A146
AX13128,Location ID,A155
AX22168,Location ID,A101
AX19873,Location ID,A173
AX23087,Location ID,A161
AX17330,Location ID,A158
AX24505,Location ID,A158
AX14935,Location ID,A113
AX20729,Location ID,A193
AX19796,Location ID,A123
AX22152,Location ID,A112
AX23579,Location ID,A150
AX21637,Location ID,A111
AX16456,Location ID,A116
AX18908,Location ID,A127
AX10614,Location ID,A121
AX21036,Location ID,A111
AX14032,Location ID,A104
AX18010,Location ID,A157
AX19502,Location ID,A121
AX17018,Location ID,A115
AX24874,Location ID,A144
AX17994,Location ID,A148
AX13085,Location ID,A137
AX14484,Location ID,A193
AX24708,Location ID,A125
AX13567,Location ID,A173
AX18600,Location ID,A195
AX16287,Location ID,A177
AX10649,Location ID,A172
AX10657,Location ID,A103
AX10971,Location ID,A105
AX14580,Location ID,A128
AX14052,Location ID,A193
AX23115,Location ID,A109
AX22345,Location ID,A191
AX15021,Location ID,A185
AX15522,Location ID,A134
AX18858,Location ID,A101
AX12043,Location ID,A180
AX17340,Location ID,A184
AX14420,Location ID,A105
AX12249,Location ID,A184
AX21066,Location ID,A121
AX15536,Location ID,A148
AX24155,Location ID,A148
AX22415,Location ID,A120
AX20372,Location ID,A111
AX20212,Location ID,A159
AX16175,Location ID,A157
AX14065,Location ID,A120
AX19605,Location ID,A149
AX13973,Location ID,A118
AX17432,Location ID,A146
AX23134,Location ID,A136
AX18162,Location ID,A136
AX11305,Location ID,A176
AX14705,Location ID,A160
AX13122,Location ID,A162
AX20237,Location ID,A151
AX20762,Location ID,A122
AX16835,Location ID,A168
AX10868,Location ID,A188
AX22824,Location ID,A117
AX21709,Location ID,A128
AX10841,Location ID,A176
AX20629,Location ID,A154
AX14566,Location ID,A137
AX17826,Location ID,A131
AX21671,Location ID,A143
AX11557,Location ID,A131
AX17306,Location ID,A118
AX13021,Location ID,A194
AX18225,Location ID,A128
AX16606,Location ID,A167
AX19590,Location ID,A179
AX24781,Location ID,A156
AX16755,Location ID,A150
AX18530,Location ID,A118
AX22337,Location ID,A156
AX16099,Location ID,A145
AX22609,Location ID,A100
AX10229,Location ID,A120
AX11576,Location ID,A154
AX22197,Location ID,A145
AX24239,Location ID,A137
AX24744,Location ID,A103
AX22595,Location ID,A168
AX18927,Location ID,A132
AX20714,Location ID,A127
AX17413,Location ID,A167
AX11949,Location ID,A196
AX17157,Location ID,A125
AX13795,Location ID,A132
AX20421,Location ID,A145
AX15226,Sales Person ID,EMP1013
AX14596,Sales Person ID,EMP1024
AX20415,Sales Person ID,EMP1008
AX17939,Sales Person ID,EMP1031
AX15246,Sales Person ID,EMP1027
AX15566,Sales Person ID,EMP1024
AX13128,Sales Person ID,EMP1010
