Date,Year,QuarterOfYear,MonthOfYear,DayOfMonth,DateInt,MonthName,MonthInCalendar,QuarterInCalendar,DayInWeek,DayOfWeekName,WeekEnding,Week Number,MonthnYear,QuarternYear,ShortYear,FY,Quater
2014-07-01 00:00:00.000,"2014",3,7,1,20140701,"July","Jul 2014","Q3 2014",1,"Tuesday",2014-07-06 00:00:00.000,27,20140700,20140300,"14","FY15","Q3"
2014-07-02 00:00:00.000,"2014",3,7,2,20140702,"July","Jul 2014","Q3 2014",2,"Wednesday",2014-07-06 00:00:00.000,27,20140700,20140300,"14","FY15","Q3"
2014-07-03 00:00:00.000,"2014",3,7,3,20140703,"July","Jul 2014","Q3 2014",3,"Thursday",2014-07-06 00:00:00.000,27,20140700,20140300,"14","FY15","Q3"
2014-07-04 00:00:00.000,"2014",3,7,4,20140704,"July","Jul 2014","Q3 2014",4,"Friday",2014-07-06 00:00:00.000,27,20140700,20140300,"14","FY15","Q3"
2014-07-05 00:00:00.000,"2014",3,7,5,20140705,"July","Jul 2014","Q3 2014",5,"Saturday",2014-07-06 00:00:00.000,27,20140700,20140300,"14","FY15","Q3"
2014-07-06 00:00:00.000,"2014",3,7,6,20140706,"July","Jul 2014","Q3 2014",6,"Sunday",2014-07-06 00:00:00.000,27,20140700,20140300,"14","FY15","Q3"
2014-07-07 00:00:00.000,"2014",3,7,7,20140707,"July","Jul 2014","Q3 2014",0,"Monday",2014-07-13 00:00:00.000,28,20140700,20140300,"14","FY15","Q3"
2014-07-08 00:00:00.000,"2014",3,7,8,20140708,"July","Jul 2014","Q3 2014",1,"Tuesday",2014-07-13 00:00:00.000,28,20140700,20140300,"14","FY15","Q3"
2014-07-09 00:00:00.000,"2014",3,7,9,20140709,"July","Jul 2014","Q3 2014",2,"Wednesday",2014-07-13 00:00:00.000,28,20140700,20140300,"14","FY15","Q3"
2014-07-10 00:00:00.000,"2014",3,7,10,20140710,"July","Jul 2014","Q3 2014",3,"Thursday",2014-07-13 00:00:00.000,28,20140700,20140300,"14","FY15","Q3"
2014-07-11 00:00:00.000,"2014",3,7,11,20140711,"July","Jul 2014","Q3 2014",4,"Friday",2014-07-13 00:00:00.000,28,20140700,20140300,"14","FY15","Q3"
2014-07-12 00:00:00.000,"2014",3,7,12,20140712,"July","Jul 2014","Q3 2014",5,"Saturday",2014-07-13 00:00:00.000,28,20140700,20140300,"14","FY15","Q3"
2014-07-13 00:00:00.000,"2014",3,7,13,20140713,"July","Jul 2014","Q3 2014",6,"Sunday",2014-07-13 00:00:00.000,28,20140700,20140300,"14","FY15","Q3"
2014-07-14 00:00:00.000,"2014",3,7,14,20140714,"July","Jul 2014","Q3 2014",0,"Monday",2014-07-20 00:00:00.000,29,20140700,20140300,"14","FY15","Q3"
2014-07-15 00:00:00.000,"2014",3,7,15,20140715,"July","Jul 2014","Q3 2014",1,"Tuesday",2014-07-20 00:00:00.000,29,20140700,20140300,"14","FY15","Q3"
2014-07-16 00:00:00.000,"2014",3,7,16,20140716,"July","Jul 2014","Q3 2014",2,"Wednesday",2014-07-20 00:00:00.000,29,20140700,20140300,"14","FY15","Q3"
2014-07-17 00:00:00.000,"2014",3,7,17,20140717,"July","Jul 2014","Q3 2014",3,"Thursday",2014-07-20 00:00:00.000,29,20140700,20140300,"14","FY15","Q3"
2014-07-18 00:00:00.000,"2014",3,7,18,20140718,"July","Jul 2014","Q3 2014",4,"Friday",2014-07-20 00:00:00.000,29,20140700,20140300,"14","FY15","Q3"
2014-07-19 00:00:00.000,"2014",3,7,19,20140719,"July","Jul 2014","Q3 2014",5,"Saturday",2014-07-20 00:00:00.000,29,20140700,20140300,"14","FY15","Q3"
2014-07-20 00:00:00.000,"2014",3,7,20,20140720,"July","Jul 2014","Q3 2014",6,"Sunday",2014-07-20 00:00:00.000,29,20140700,20140300,"14","FY15","Q3"
2014-07-21 00:00:00.000,"2014",3,7,21,20140721,"July","Jul 2014","Q3 2014",0,"Monday",2014-07-27 00:00:00.000,30,20140700,20140300,"14","FY15","Q3"
2014-07-22 00:00:00.000,"2014",3,7,22,20140722,"July","Jul 2014","Q3 2014",1,"Tuesday",2014-07-27 00:00:00.000,30,20140700,20140300,"14","FY15","Q3"
2014-07-23 00:00:00.000,"2014",3,7,23,20140723,"July","Jul 2014","Q3 2014",2,"Wednesday",2014-07-27 00:00:00.000,30,20140700,20140300,"14","FY15","Q3"
2014-07-24 00:00:00.000,"2014",3,7,24,20140724,"July","Jul 2014","Q3 2014",3,"Thursday",2014-07-27 00:00:00.000,30,20140700,20140300,"14","FY15","Q3"
2014-07-25 00:00:00.000,"2014",3,7,25,20140725,"July","Jul 2014","Q3 2014",4,"Friday",2014-07-27 00:00:00.000,30,20140700,20140300,"14","FY15","Q3"
2014-07-26 00:00:00.000,"2014",3,7,26,20140726,"July","Jul 2014","Q3 2014",5,"Saturday",2014-07-27 00:00:00.000,30,20140700,20140300,"14","FY15","Q3"
2014-07-27 00:00:00.000,"2014",3,7,27,20140727,"July","Jul 2014","Q3 2014",6,"Sunday",2014-07-27 00:00:00.000,30,20140700,20140300,"14","FY15","Q3"
2014-07-28 00:00:00.000,"2014",3,7,28,20140728,"July","Jul 2014","Q3 2014",0,"Monday",2014-08-03 00:00:00.000,31,20140700,20140300,"14","FY15","Q3"
2014-07-29 00:00:00.000,"2014",3,7,29,20140729,"July","Jul 2014","Q3 2014",1,"Tuesday",2014-08-03 00:00:00.000,31,20140700,20140300,"14","FY15","Q3"
2014-07-30 00:00:00.000,"2014",3,7,30,20140730,"July","Jul 2014","Q3 2014",2,"Wednesday",2014-08-03 00:00:00.000,31,20140700,20140300,"14","FY15","Q3"
2014-07-31 00:00:00.000,"2014",3,7,31,20140731,"July","Jul 2014","Q3 2014",3,"Thursday",2014-08-03 00:00:00.000,31,20140700,20140300,"14","FY15","Q3"
2014-08-01 00:00:00.000,"2014",3,8,1,20140801,"August","Aug 2014","Q3 2014",4,"Friday",2014-08-03 00:00:00.000,31,20140800,20140300,"14","FY15","Q3"
2014-08-02 00:00:00.000,"2014",3,8,2,20140802,"August","Aug 2014","Q3 2014",5,"Saturday",2014-08-03 00:00:00.000,31,20140800,20140300,"14","FY15","Q3"
2014-08-03 00:00:00.000,"2014",3,8,3,20140803,"August","Aug 2014","Q3 2014",6,"Sunday",2014-08-03 00:00:00.000,31,20140800,20140300,"14","FY15","Q3"
2014-08-04 00:00:00.000,"2014",3,8,4,20140804,"August","Aug 2014","Q3 2014",0,"Monday",2014-08-10 00:00:00.000,32,20140800,20140300,"14","FY15","Q3"
2014-08-05 00:00:00.000,"2014",3,8,5,20140805,"August","Aug 2014","Q3 2014",1,"Tuesday",2014-08-10 00:00:00.000,32,20140800,20140300,"14","FY15","Q3"
2014-08-06 00:00:00.000,"2014",3,8,6,20140806,"August","Aug 2014","Q3 2014",2,"Wednesday",2014-08-10 00:00:00.000,32,20140800,20140300,"14","FY15","Q3"
2014-08-07 00:00:00.000,"2014",3,8,7,20140807,"August","Aug 2014","Q3 2014",3,"Thursday",2014-08-10 00:00:00.000,32,20140800,20140300,"14","FY15","Q3"
2014-08-08 00:00:00.000,"2014",3,8,8,20140808,"August","Aug 2014","Q3 2014",4,"Friday",2014-08-10 00:00:00.000,32,20140800,20140300,"14","FY15","Q3"
2014-08-09 00:00:00.000,"2014",3,8,9,20140809,"August","Aug 2014","Q3 2014",5,"Saturday",2014-08-10 00:00:00.000,32,20140800,20140300,"14","FY15","Q3"
2014-08-10 00:00:00.000,"2014",3,8,10,20140810,"August","Aug 2014","Q3 2014",6,"Sunday",2014-08-10 00:00:00.000,32,20140800,20140300,"14","FY15","Q3"
2014-08-11 00:00:00.000,"2014",3,8,11,20140811,"August","Aug 2014","Q3 2014",0,"Monday",2014-08-17 00:00:00.000,33,20140800,20140300,"14","FY15","Q3"
2014-08-12 00:00:00.000,"2014",3,8,12,20140812,"August","Aug 2014","Q3 2014",1,"Tuesday",2014-08-17 00:00:00.000,33,20140800,20140300,"14","FY15","Q3"
2014-08-13 00:00:00.000,"2014",3,8,13,20140813,"August","Aug 2014","Q3 2014",2,"Wednesday",2014-08-17 00:00:00.000,33,20140800,20140300,"14","FY15","Q3"
2014-08-14 00:00:00.000,"2014",3,8,14,20140814,"August","Aug 2014","Q3 2014",3,"Thursday",2014-08-17 00:00:00.000,33,20140800,20140300,"14","FY15","Q3"
2014-08-15 00:00:00.000,"2014",3,8,15,20140815,"August","Aug 2014","Q3 2014",4,"Friday",2014-08-17 00:00:00.000,33,20140800,20140300,"14","FY15","Q3"
2014-08-16 00:00:00.000,"2014",3,8,16,20140816,"August","Aug 2014","Q3 2014",5,"Saturday",2014-08-17 00:00:00.000,33,20140800,20140300,"14","FY15","Q3"
