OrderNumber,OrderDate,Ship Date,Customer Name Index,Channel,Currency Code,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Total Unit Cost,Total Revenue,Region City,Region Territory
"SO - 000153",2014-06-06 00:00:00.000,2014-08-11 00:00:00.000,8,"Wholesale","NZD","AXW291",15,7,11,3926.2,3062.436,43188.2,"Coffs Harbour","New South Wales"
"SO - 000175",2014-06-10 00:00:00.000,2014-07-12 00:00:00.000,1,"Wholesale","NZD","AXW291",5,7,11,2224.4,1579.324,24468.4,"Coffs Harbour","New South Wales"
"SO - 000192",2014-06-12 00:00:00.000,2014-08-17 00:00:00.000,24,"Wholesale","NZD","AXW291",12,7,8,1152.4,622.296,9219.2,"Coffs Harbour","New South Wales"
"SO - 000194",2014-06-13 00:00:00.000,2014-08-17 00:00:00.000,11,"Wholesale","NZD","AXW291",36,7,5,5031.7,4025.36,25158.5,"Coffs Harbour","New South Wales"
"SO - 000258",2014-06-19 00:00:00.000,2014-08-12 00:00:00.000,28,"Wholesale","NZD","AXW291",15,7,11,2385.2,1502.676,26237.2,"Coffs Harbour","New South Wales"
"SO - 000262",2014-06-19 00:00:00.000,2014-08-10 00:00:00.000,31,"Wholesale","NZD","AXW291",23,7,8,1105.5,652.245,8844,"Coffs Harbour","New South Wales"
"SO - 000269",2014-06-20 00:00:00.000,2014-08-27 00:00:00.000,8,"Wholesale","NZD","AXW291",82,7,5,844.2,540.288,4221,"Coffs Harbour","New South Wales"
"SO - 000316",2014-06-28 00:00:00.000,2014-08-28 00:00:00.000,14,"Wholesale","NZD","AXW291",7,7,5,3939.6,1969.8,19698,"Coffs Harbour","New South Wales"
"SO - 000368",2014-07-03 00:00:00.000,2014-08-02 00:00:00.000,1,"Wholesale","NZD","AXW291",4,7,10,5098.7,3416.129,50987,"Coffs Harbour","New South Wales"
"SO - 000482",2014-07-17 00:00:00.000,2014-10-11 00:00:00.000,42,"Wholesale","NZD","AXW291",3,7,6,864.3,726.012,5185.8,"Coffs Harbour","New South Wales"
"SO - 000515",2014-07-20 00:00:00.000,2014-10-13 00:00:00.000,6,"Wholesale","NZD","AXW291",37,7,7,1829.1,1463.28,12803.7,"Coffs Harbour","New South Wales"
"SO - 000524",2014-07-21 00:00:00.000,2014-09-12 00:00:00.000,21,"Wholesale","NZD","AXW291",68,7,5,207.7,83.08,1038.5,"Coffs Harbour","New South Wales"
"SO - 000620",2014-08-01 00:00:00.000,2014-09-13 00:00:00.000,23,"Wholesale","NZD","AXW291",60,7,11,2405.3,1635.604,26458.3,"Coffs Harbour","New South Wales"
"SO - 000659",2014-08-05 00:00:00.000,2014-09-25 00:00:00.000,29,"Wholesale","NZD","AXW291",32,7,9,5427,3744.63,48843,"Coffs Harbour","New South Wales"
"SO - 000690",2014-08-09 00:00:00.000,2014-10-17 00:00:00.000,5,"Wholesale","NZD","AXW291",18,7,5,683.4,382.704,3417,"Coffs Harbour","New South Wales"
