Country,Confirmed_exp
"Austria",False
"Australia",False
"Azerbaijan",False
"Belgium",False
"Canada",False
"Switzerland",False
"China",False
"Czech Republic",False
"Germany",False
"Denmark",False
"Ecuador",False
"Estonia",False
"Finland",False
"France",False
"United Kingdom",False
"Georgia",False
"Greece",False
"Croatia",False
"Ireland",False
"Israel",False
"Iran",False
"Iceland",False
"Japan",False
"Cambodia",False
"South Korea",False
"Lebanon",False
"Sri Lanka",False
"Lithuania",False
"Luxembourg",False
"Monaco",False
"Macedonia",False
"Malaysia",False
"Netherlands",False
"Norway",False
"Nepal",False
"Philippines",False
"Romania",False
"Sweden",False
"Singapore",False
"San Marino",False
"Thailand",False
"Taiwan",False
"United States of America",False
"Vietnam",False
"Italy",False
"New Zealand",False
"Spain",False
"Andorra",False
"Jordan",False
"Latvia",False
"Morocco",False
"Portugal",False
"Sint Maarten",False
"Tunisia",False
"Poland",False
"Ukraine",False
"Hungary",False
"Liechtenstein",False
"Slovenia",False
"Bhutan",False
"Palestine",False
"Cameroon",False
"Costa Rica",False
"Malta",False
"Serbia",False
"Slovakia",False
"Togo",False
"Vatican City",False
"Moldova",False
"Maldives",False
"Paraguay",False
"Brunei",False
"Cyprus",False
"Mongolia",False
"Burkina Faso",False
"Cuba",False
"Honduras",False
"Jamaica",False
"Turkey",False
"Aruba",False
"CuraГ§ao",False
"Guyana",False
"Trinidad and Tobago",False
"Saint Vincent and the Grenadines",False
"Ethiopia",False
"Guinea",False
"Sudan",False
"Antigua and Barbuda",False
"Equatorial Guinea",False
"Saint Lucia",False
"Mauritania",False
"Rwanda",False
"Seychelles",False
"Suriname",False
"Swaziland",False
"Uruguay",False
"Venezuela",False
"Bahamas",False
"Central African Republic",False
"Republic of the Congo",False
"Uzbekistan",False
"Benin",False
"Liberia",False
"Myanmar",False
"Somalia",False
"Tanzania",False
"Kosovo",False
"Barbados",False
"Gambia",False
"Montenegro",False
"Djibouti",False
"Guam",False
"Nicaragua",False
"French Polynesia",False
"Zambia",False
"Bermuda",False
"Faroe Islands",False
"Guernsey",False
"Gibraltar",False
"Greenland",False
"Haiti",False
"Jersey",False
"Cayman Islands",False
"Mauritius",False
"Chad",False
"Cape Verde",False
"Fiji",False
"Isle of Man",False
"Madagascar",False
"Montserrat",False
"New Caledonia",False
"Niger",False
"Papua New Guinea",False
"Zimbabwe",False
"Angola",False
"Eritrea",False
"East Timor",False
"Uganda",False
"Dominica",False
"Grenada",False
"Mozambique",False
"Syria",False
"Belize",False
"United States Virgin Islands",False
"Laos",False
"Libya",False
"Turks and Caicos Islands",False
"Saint Kitts and Nevis",False
"Mali",False
"Anguilla",False
"Guinea-Bissau",False
"British Virgin Islands",False
"Northern Mariana Islands",False
"Burundi",False
"Botswana",False
"Caribbean Netherlands",False
"Malawi",False
"Falkland Islands",False
"South Sudan",False
"SГЈo TomГ© and PrГ­ncipe",False
"Western Sahara",False
"Tajikistan",False
"Comoros",False
"Lesotho",False
"United Arab Emirates",True
"Afghanistan",True
"Armenia",True
"Bahrain",True
"Brazil",True
"Belarus",True
"Dominican Republic",True
"Algeria",True
"Egypt",True
"Indonesia",True
"India",True
"Iraq",True
"Kuwait",True
"Mexico",True
"Nigeria",True
"Oman",True
"Pakistan",True
"Qatar",True
"Russia",True
"Saudi Arabia",True
"Senegal",True
"Argentina",True
"Chile",True
"Bosnia and Herzegovina",True
"South Africa",True
"Colombia",True
"Peru",True
"Bulgaria",True
"Albania",True
"Bangladesh",True
"Panama",True
"Democratic Republic of the Congo",True
"Bolivia",True
"Ivory Coast",True
"Gabon",True
"Ghana",True
"Kenya",True
"Guatemala",True
"Kazakhstan",True
"Kyrgyzstan",True
"El Salvador",True
"Puerto Rico",True
"Sierra Leone",True
"Yemen",True
