Entry No.,Account,Account Category,Customer,Product,Amount
121424,"51 - Sales","5 - Revenue","First","Food"," $  10,000.00"
246747,"51 - Sales","5 - Revenue","First","Drink"," $    5,000.00"
958273,"51 - Sales","5 - Revenue","Second","Food"," $    7,500.00"
992093,"53 - Sales Discounts","5 - Revenue","Second","Food"," $     (100.00)"
235367,"52 - Sales Returns","5 - Revenue","First","Food"," $        (50.00)"
232578,"60 - Wharehouse Purchases","6 - COGS","First","Food"," $  (4,000.00)"
347864,"60 - Wharehouse Purchases","6 - COGS","First","Drink"," $  (2,500.00)"
469064,"61 - Certification Fees","6 - COGS","Second","Food"," $     (200.00)"
267475,"60 - Wharehouse Purchases","6 - COGS","Second","Food"," $  (3,000.00)"
467323,"62 - Labels & Packages","6 - COGS","First","Drink"," $     (500.00)"
918365,"71 - Advertising","7 - Selling Expense","First","Food"," $     (750.00)"
135764,"71 - Advertising","7 - Selling Expense","Second","Food"," $     (200.00)"
243568,"72 - Misc. Expense","7 - Selling Expense","First","Drink"," $        175.00"
354678,"72 - Misc. Expense","7 - Selling Expense","Second","Food"," $     (200.00)"
865432,"75 - Travel","7 - Selling Expense","First","Drink"," $     (350.0"
