show_id,country
"n1","United States"
"n8","United States"
"n10","United States"
"n16","United States"
"n28","United States"
"n29","United States"
"n30","United States"
"n39","United States"
"n41","United States"
"n42","United States"
"n43","United States"
"n44","United States"
"n45","United States"
"n47","United States"
"n49","United States"
"n56","United States"
"n68","United States"
"n82","United States"
"n83","United States"
"n91","United States"
"n95","United States"
"n96","United States"
"n97","United States"
"n98","United States"
"n100","United States"
"n102","United States"
"n107","United States"
"n108","United States"
"n112","United States"
"n118","United States"
"n123","United States"
"n126","United States"
"n128","United States"
"n130","United States"
"n132","United States"
"n134","United States"
"n135","United States"
"n136","United States"
"n137","United States"
"n138","United States"
"n139","United States"
"n140","United States"
"n142","United States"
"n143","United States"
"n144","United States"
"n145","United States"
"n146","United States"
"n147","United States"
"n150","United States"
"n151","United States"
"n153","United States"
"n156","United States"
"n157","United States"
"n159","United States"
"n161","United States"
"n162","United States"
"n163","United States"
"n164","United States"
"n165","United States"
"n167","United States"
"n168","United States"
"n169","United States"
"n170","United States"
"n171","United States"
"n172","United States"
"n173","United States"
"n174","United States"
"n175","United States"
"n176","United States"
"n177","United States"
"n178","United States"
"n179","United States"
"n180","United States"
"n183","United States"
"n184","United States"
"n185","United States"
"n192","United States"
"n221","United States"
"n228","United States"
"n229","United States"
"n230","United States"
"n232","United States"
"n233","United States"
"n242","United States"
"n248","United States"
"n252","United States"
"n255","United States"
"n264","United States"
"n265","United States"
"n268","United States"
"n272","United States"
"n273","United States"
"n275","United States"
"n280","United States"
"n281","United States"
"n285","United States"
"n287","United States"
"n291","United States"
"n296","United States"
"n297","United States"
"n301","United States"
"n308","United States"
"n309","United States"
"n311","United States"
"n313","United States"
"n315","United States"
"n316","United States"
"n318","United States"
"n324","United States"
"n326","United States"
"n327","United States"
"n328","United States"
"n329","United States"
"n330","United States"
"n331","United States"
"n333","United States"
"n334","United States"
"n335","United States"
"n336","United States"
"n338","United States"
"n341","United States"
"n342","United States"
"n343","United States"
"n344","United States"
"n345","United States"
"n346","United States"
"n347","United States"
"n348","United States"
"n349","United States"
"n350","United States"
"n351","United States"
"n352","United States"
"n353","United States"
"n354","United States"
"n355","United States"
"n356","United States"
"n357","United States"
"n358","United States"
"n359","United States"
"n360","United States"
"n361","United States"
