show_id,type,title,date_added,release_year,rating,duration,movie_duration_mins,Content
"a1029","TV Show","Shepherd",,2021,"13+","1 Season",1,"Amazon"
"a1305","TV Show","Pinkfong! Poki's Toy Lab",,2021,"ALL","1 Season",1,"Amazon"
"a1309","TV Show","Pinkfong! Hogi, the Detective",,2021,"ALL","1 Season",1,"Amazon"
"a1311","TV Show","Pinkfong! Fun Rhyming Songs",,2021,"ALL","1 Season",1,"Amazon"
"a1312","TV Show","Pinkfong! Fruit Songs",,2021,"ALL","1 Season",1,"Amazon"
"a1323","TV Show","Pinkfong! Baby Shark's Day at Home",,2021,"ALL","1 Season",1,"Amazon"
"a135","TV Show","WGC-Dell Technologies Match Play Reveal Show",,2021,"TV-NR","1 Season",1,"Amazon"
"a1553","TV Show","My Heroic Husband",,2021,"13+","1 Season",1,"Amazon"
"a1756","TV Show","Making Their Mark",,2021,"16+","1 Season",1,"Amazon"
"a2091","TV Show","Invincible",,2021,"TV-MA","1 Season",1,"Amazon"
"a2323","TV Show","Go Go Babies in Car City",,2021,"ALL","1 Season",1,"Amazon"
"a2353","TV Show","Ghost Town History with Ken and Brenda Gallacher",,2021,"7+","1 Season",1,"Amazon"
"a2379","TV Show","Gecko's Garage 3D - Vehicle Cartoons for Kids",,2021,"ALL","1 Season",1,"Amazon"
"a2430","TV Show","Frank of Ireland",,2021,"TV-MA","1 Season",1,"Amazon"
"a2745","TV Show","Curiosity Songs with Pinkfong & Hogi",,2021,"ALL","1 Season",1,"Amazon"
"a2815","TV Show","Cobra Puma Golf All-Access Show",,2021,"TV-NR","1 Season",1,"Amazon"
"a3082","TV Show","Bhoomi Hindi",,2021,"18+","1 Season",1,"Amazon"
"a3332","TV Show","Alien Conspiracy: They Are Here",,2021,"13+","1 Season",1,"Amazon"
"a3485","TV Show","3 Caminos (4K UHD)",,2021,"","1 Season",1,"Amazon"
"a3486","TV Show","3 Caminos",,2021,"","1 Season",1,"Amazon"
"a3567","TV Show","10 Day Yoga for Weight Loss Challenge with Chelsey",,2021,"13+","1 Season",1,"Amazon"
"a3610","TV Show","Paradise City",,2021,"18+","1 Season",1,"Amazon"
"a3622","TV Show","LOL: Last One Laughing Italy",,2021,"16+","1 Season",1,"Amazon"
"a3623","TV Show","LOL: Last One Laughing Germany",,2021,"16+","1 Season",1,"Amazon"
"a371","TV Show","THEM",,2021,"TV-14","1 Season",1,"Amazon"
"a402","TV Show","The Vineyard",,2021,"16+","1 Season",1,"Amazon"
"a405","TV Show","The Underground Railroad",,2021,"TV-MA","1 Season",1,"Amazon"
