show_id,type,title,date_added,release_year,rating,duration,movie_duration_mins,Content
"n1062","TV Show","Jeffrey Epstein: Filthy Rich",2021-04-14 00:00:00.000,2020,"TV-MA","1 Season",1,"Netflix"
"n1068","TV Show","The Underclass",2021-04-14 00:00:00.000,2020,"TV-MA","1 Season",1,"Netflix"
"n1283","TV Show","Zindagi in Short",2021-02-22 00:00:00.000,2020,"TV-MA","1 Season",1,"Netflix"
"n1361","TV Show","The House Arrest of Us",2021-02-01 00:00:00.000,2020,"TV-MA","1 Season",1,"Netflix"
"n1479","TV Show","Equinox",2020-12-30 00:00:00.000,2020,"TV-MA","1 Season",1,"Netflix"
"n1480","TV Show","SanPa: Sins of the Savior",2020-12-30 00:00:00.000,2020,"TV-MA","1 Season",1,"Netflix"
"n1493","TV Show","Bridgerton",2020-12-25 00:00:00.000,2020,"TV-MA","1 Season",1,"Netflix"
"n1521","TV Show","Paava Kadhaigal",2020-12-18 00:00:00.000,2020,"TV-MA","1 Season",1,"Netflix"
"n1529","TV Show","Run On",2020-12-17 00:00:00.000,2020,"TV-MA","1 Season",1,"Netflix"
"n1531","TV Show","Schulz Saves America",2020-12-17 00:00:00.000,2020,"TV-MA","1 Season",1,"Netflix"
"n1533","TV Show","Anitta: Made In Honório",2020-12-16 00:00:00.000,2020,"TV-MA","1 Season",1,"Netflix"
"n1534","TV Show","BREAK IT ALL: The History of Rock in Latin America",2020-12-16 00:00:00.000,2020,"TV-MA","1 Season",1,"Netflix"
"n1536","TV Show","How To Ruin Christmas",2020-12-16 00:00:00.000,2020,"TV-MA","1 Season",1,"Netflix"
"n1542","TV Show","The Ripper",2020-12-16 00:00:00.000,2020,"TV-MA","1 Season",1,"Netflix"
"n1553","TV Show","Tiny Pretty Things",2020-12-14 00:00:00.000,2020,"TV-MA","1 Season",1,"Netflix"
"n1560","TV Show","The Mess You Leave Behind",2020-12-11 00:00:00.000,2020,"TV-MA","1 Season",1,"Netflix"
"n1563","TV Show","Alice in Borderland",2020-12-10 00:00:00.000,2020,"TV-MA","1 Season",1,"Netflix"
