Location,Clicks,Share
Netherlands,98,First Share
Belgium,3,First Share
New Zealand,62,Second Share
Singapore,1,First Share
Canada,191,Third Share
South Africa,76,Third Share
Norway,63,Third Share
India,200,Second Share
Ireland,111,Third Share
Norway,1,First Share
Sweden,96,Third Share
United Kingdom,8,First Share
Belgium,56,Second Share
South Africa,70,Second Share
South Africa,2,First Share
Curacao,1,First Share
Australia,3,First Share
Canada,4,First Share
Spain,76,Third Share
United States,4104,Second Share
Finland,75,Second Share
China,88,Third Share
Australia,220,Third Share
New Zealand,70,Third Share
Taiwan,1,First Share
Poland,2,First Share
Germany,132,Second Share
France,153,Second Share
New Zealand,1,First Share
Australia,200,Second Share
Brazil,66,Second Share
Brazil,63,Third Share
United Kingdom,582,Third Share
Switzeralnd,1,First Share
Sweden,68,Second Share
Belgium,77,Third Share
Netherlands,741,Third Share
Switzerland,53,Second Share
Spain,115,Second Share
Germany,262,Third Share
United States,27,First Share
Czech Republic,462,Second Share
India,26,First Share
France,130,Third Share
United States,1561,Third Share
Italy,57,Second Share
Canada,321,Second Share
Denmark,104,Third Share
France,1,First Share
United Kingdom,442,Second Share
Indionesia,1,First Share
Portugal,62,Third Share
Netherlands,634,Second Share
Germany,2,First Share
India,315,Third Share
Mexico,1,First Share
Denmark,127,Second Share
Poland,78,Third Share
Norway,48,Second Share
