Refferer,Clicks,Share
"Direct",138,"First Share"
"LinkedIn",26,"First Share"
"Yammer",16,"First Share"
"Twitter",5,"First Share"
"LinkedIn",2197,"Second Share"
"Twitter",802,"Second Share"
"pbiusergroup.com",729,"Second Share"
"Yammer",53,"Second Share"
"Facebook",5,"Second Share"
"Direct",4385,"Second Share"
"Youtube",1711,"Third Share"
"Direct",1704,"Third Share"
"LinkedIn",1120,"Third Share"
"Twitter",571,"Third Share"
"GuyInACube.com",427,"Third Share"
"pbiusergroup.com",81,"Third Share"
"moderndata.ai",72,"Third Share"
"Yammer",14,"Third Share"
