Country,State,Population(2018),Population(2011)
"India","Andhra Pradesh",52883163,49
"India","Arunachal Pradesh",1528296,1383727
"India","Assam",34586234,31205576
"India","Bihar",119461013,104099452
"India","Chhattisgarh",28566990,25545198
"India","Goa",1542750,1458545
"India","Gujarat",63907200,60439692
"India","Haryana",27388008,25351462
"India","Himachal Pradesh",7316708,6864602
"India","Jammu and Kashmir",12378256,10025365
"India","Jharkhand",37329128,32988134
"India","Karnataka",66165886,61095297
"India","Kerala",35330888,33406061
"India","Ladakh",275000,145000
"India","Madhya Pradesh",82342793,72626809
"India","Maharashtra",120837347,112374333
"India","Manipur",3008546,2855794
"India","Meghalaya",3276323,2966889
"India","Mizoram",1205974,1097206
"India","Nagaland",2189297,1978502
"India","Odisha",45429399,41974218
"India","Punjab",29611935,27743338
"India","Rajasthan",78230816,68548437
"India","Sikkim",671720,610577
"India","Tamil Nadu",76481545,72147030
"India","Telangana",38472769,35
"India","Tripura",4057847,3673917
"India","Uttar Pradesh",228959599,199812341
"India","Uttarakhand",11090425,10086292
"India","West Bengal",97694960,91276115
