OrderDateKey,FullDate,MonthName,MonthNumber,Year
20080101,2008-01-01 00:00:00.000,"January",1,2008
20080102,2008-01-02 00:00:00.000,"January",1,2008
20080103,2008-01-03 00:00:00.000,"January",1,2008
20080104,2008-01-04 00:00:00.000,"January",1,2008
20080105,2008-01-05 00:00:00.000,"January",1,2008
20080106,2008-01-06 00:00:00.000,"January",1,2008
20080107,2008-01-07 00:00:00.000,"January",1,2008
20080108,2008-01-08 00:00:00.000,"January",1,2008
20080109,2008-01-09 00:00:00.000,"January",1,2008
20080110,2008-01-10 00:00:00.000,"January",1,2008
20080111,2008-01-11 00:00:00.000,"January",1,2008
20080112,2008-01-12 00:00:00.000,"January",1,2008
20080113,2008-01-13 00:00:00.000,"January",1,2008
20080114,2008-01-14 00:00:00.000,"January",1,2008
20080115,2008-01-15 00:00:00.000,"January",1,2008
20080116,2008-01-16 00:00:00.000,"January",1,2008
20080117,2008-01-17 00:00:00.000,"January",1,2008
20080118,2008-01-18 00:00:00.000,"January",1,2008
20080119,2008-01-19 00:00:00.000,"January",1,2008
20080120,2008-01-20 00:00:00.000,"January",1,2008
20080121,2008-01-21 00:00:00.000,"January",1,2008
20080122,2008-01-22 00:00:00.000,"January",1,2008
20080123,2008-01-23 00:00:00.000,"January",1,2008
20080124,2008-01-24 00:00:00.000,"January",1,2008
20080125,2008-01-25 00:00:00.000,"January",1,2008
20080126,2008-01-26 00:00:00.000,"January",1,2008
20080127,2008-01-27 00:00:00.000,"January",1,2008
20080128,2008-01-28 00:00:00.000,"January",1,2008
20080129,2008-01-29 00:00:00.000,"January",1,2008
20080130,2008-01-30 00:00:00.000,"January",1,2008
20080131,2008-01-31 00:00:00.000,"January",1,2008
20080201,2008-02-01 00:00:00.000,"February",2,2008
20080202,2008-02-02 00:00:00.000,"February",2,2008
20080203,2008-02-03 00:00:00.000,"February",2,2008
20080204,2008-02-04 00:00:00.000,"February",2,2008
20080205,2008-02-05 00:00:00.000,"February",2,2008
20080206,2008-02-06 00:00:00.000,"February",2,2008
20080207,2008-02-07 00:00:00.000,"February",2,2008
20080208,2008-02-08 00:00:00.000,"February",2,2008
20080209,2008-02-09 00:00:00.000,"February",2,2008
20080210,2008-02-10 00:00:00.000,"February",2,2008
20080211,2008-02-11 00:00:00.000,"February",2,2008
20080212,2008-02-12 00:00:00.000,"February",2,2008
20080213,2008-02-13 00:00:00.000,"February",2,2008
20080214,2008-02-14 00:00:00.000,"February",2,2008
20080215,2008-02-15 00:00:00.000,"February",2,2008
20080216,2008-02-16 00:00:00.000,"February",2,2008
20080217,2008-02-17 00:00:00.000,"February",2,2008
20080218,2008-02-18 00:00:00.000,"February",2,2008
20080219,2008-02-19 00:00:00.000,"February",2,2008
20080220,2008-02-20 00:00:00.000,"February",2,2008
20080221,2008-02-21 00:00:00.000,"February",2,2008
20080222,2008-02-22 00:00:00.000,"February",2,2008
20080223,2008-02-23 00:00:00.000,"February",2,2008
20080224,2008-02-24 00:00:00.000,"February",2,2008
20080225,2008-02-25 00:00:00.000,"February",2,2008
20080226,2008-02-26 00:00:00.000,"February",2,2008
20080227,2008-02-27 00:00:00.000,"February",2,2008
20080228,2008-02-28 00:00:00.000,"February",2,2008
20080229,2008-02-29 00:00:00.000,"February",2,2008
20080301,2008-03-01 00:00:00.000,"March",3,2008
20080302,2008-03-02 00:00:00.000,"March",3,2008
20080303,2008-03-03 00:00:00.000,"March",3,2008
20080304,2008-03-04 00:00:00.000,"March",3,2008
20080305,2008-03-05 00:00:00.000,"March",3,2008
20080306,2008-03-06 00:00:00.000,"March",3,2008
20080307,2008-03-07 00:00:00.000,"March",3,2008
20080308,2008-03-08 00:00:00.000,"March",3,2008
20080309,2008-03-09 00:00:00.000,"March",3,2008
20080310,2008-03-10 00:00:00.000,"March",3,2008
20080311,2008-03-11 00:00:00.000,"March",3,2008
20080312,2008-03-12 00:00:00.000,"March",3,2008
20080313,2008-03-13 00:00:00.000,"March",3,2008
20080314,2008-03-14 00:00:00.000,"March",3,2008
20080315,2008-03-15 00:00:00.000,"March",3,2008
20080316,2008-03-16 00:00:00.000,"March",3,2008
20080317,2008-03-17 00:00:00.000,"March",3,2008
20080318,2008-03-18 00:00:00.000,"March",3,2008
20080319,2008-03-19 00:00:00.000,"March",3,2008
20080320,2008-03-20 00:00:00.000,"March",3,2008
20080321,2008-03-21 00:00:00.000,"March",3,2008
20080322,2008-03-22 00:00:00.000,"March",3,2008
20080323,2008-03-23 00:00:00.000,"March",3,2008
20080324,2008-03-24 00:00:00.000,"March",3,2008
20080325,2008-03-25 00:00:00.000,"March",3,2008
20080326,2008-03-26 00:00:00.000,"March",3,2008
20080327,2008-03-27 00:00:00.000,"March",3,2008
20080328,2008-03-28 00:00:00.000,"March",3,2008
20080329,2008-03-29 00:00:00.000,"March",3,2008
20080330,2008-03-30 00:00:00.000,"March",3,2008
20080331,2008-03-31 00:00:00.000,"March",3,2008
20080401,2008-04-01 00:00:00.000,"April",4,2008
20080402,2008-04-02 00:00:00.000,"April",4,2008
20080403,2008-04-03 00:00:00.000,"April",4,2008
20080404,2008-04-04 00:00:00.000,"April",4,2008
20080405,2008-04-05 00:00:00.000,"April",4,2008
20080406,2008-04-06 00:00:00.000,"April",4,2008
20080407,2008-04-07 00:00:00.000,"April",4,2008
20080408,2008-04-08 00:00:00.000,"April",4,2008
20080409,2008-04-09 00:00:00.000,"April",4,2008
20080410,2008-04-10 00:00:00.000,"April",4,2008
20080411,2008-04-11 00:00:00.000,"April",4,2008
20080412,2008-04-12 00:00:00.000,"April",4,2008
20080413,2008-04-13 00:00:00.000,"April",4,2008
20080414,2008-04-14 00:00:00.000,"April",4,2008
20080415,2008-04-15 00:00:00.000,"April",4,2008
20080416,2008-04-16 00:00:00.000,"April",4,2008
20080417,2008-04-17 00:00:00.000,"April",4,2008
20080418,2008-04-18 00:00:00.000,"April",4,2008
20080419,2008-04-19 00:00:00.000,"April",4,2008
20080420,2008-04-20 00:00:00.000,"April",4,2008
20080421,2008-04-21 00:00:00.000,"April",4,2008
20080422,2008-04-22 00:00:00.000,"April",4,2008
20080423,2008-04-23 00:00:00.000,"April",4,2008
20080424,2008-04-24 00:00:00.000,"April",4,2008
20080425,2008-04-25 00:00:00.000,"April",4,2008
20080426,2008-04-26 00:00:00.000,"April",4,2008
