ID_Local,Casos,Mortes,Estado
1,"4,65 mi","158.000"," São Paulo"
2,"2,71 mi","57.314","Minas Gerais"
3,"1,97 mi","41.242"," Paraná"
4,"1,83 mi","36.873","Rio Grande Do Sul"
5,"1,76 mi","69.884","Rio De Janeiro"
6,"1,36 mi","27.944","Bahia"
7,"1,44 mi","20.579","Santa Catarina"
8,"1,12 mi","25.245","Ceara"
9,"1,04 mi","25.037","Goias"
10,"848 mil","13.524","Espirito Santo"
11,"698 mil","20,643","Pernambuco"
12,"651 mil","17.355","Pará"
13,"629 mil","14.304","Mato Grosso"
14,"607 mil","11.174","Brasilia DF"
15,"530 mil","13.950","Amazonas"
16,"499 mil","9.716","Paraiba"
17,"426 mil","7.705","Rio Grande Do Norte"
18,"423 mil","9.878","Mato Grosso Do Sul"
19,"387 mil","10.488","Maranhão"
20,"344 mil","7.389","Piauí"
21,"318 mil","6.833","Rondônia"
22,"294 mil","6.098","Sergipe"
23,"269 mil","4.001","Tocantins"
24,"258 mil","6.441","Alagoas"
25,"152 mil","2.051","Amapá"
26,"143 mil","2.096","Roraima"
27,"60.069","1.047","Acre"
