SalesQuotaKey,EmployeeKey,DateKey,CalendarYear,CalendarQuarter,SalesAmountQuota
154,287,20040401,2004,2,724000
88,286,20030401,2003,2,224000
119,286,20031001,2003,4,450000
15,284,20011001,2001,4,356000
89,287,20030401,2003,2,555000
140,290,20040101,2004,1,116000
134,284,20040101,2004,1,280000
11,272,20011001,2001,4,7000
56,282,20021001,2002,4,1009000
99,283,20030701,2003,3,1171000
78,290,20030101,2003,1,33000
62,288,20021001,2002,4,452000
52,291,20020701,2002,3,1898000
61,287,20021001,2002,4,813000
29,288,20020101,2002,1,583000
24,283,20020101,2002,1,846000
67,293,20021001,2002,4,321000
147,272,20040401,2004,2,187000
163,296,20040401,2004,2,421000
14,283,20011001,2001,4,872000
64,290,20021001,2002,4,15000
82,272,20030401,2003,2,58000
26,285,20020101,2002,1,780000
60,286,20021001,2002,4,226000
13,282,20011001,2001,4,781000
133,283,20040101,2004,1,714000
90,288,20030401,2003,2,247000
43,282,20020701,2002,3,1355000
114,281,20031001,2003,4,1218000
157,290,20040401,2004,2,1000
109,293,20030701,2003,3,516000
104,288,20030701,2003,3,1051000
42,281,20020701,2002,3,1429000
105,289,20030701,2003,3,631000
17,286,20011001,2001,4,469000
91,289,20030401,2003,2,284000
113,272,20031001,2003,4,116000
51,290,20020701,2002,3,93000
63,289,20021001,2002,4,341000
122,289,20031001,2003,4,372000
83,281,20030401,2003,2,1194000
144,294,20040101,2004,1,7000
112,296,20030701,2003,3,478000
137,287,20040101,2004,1,614000
162,295,20040401,2004,2,627000
7,286,20010701,2001,3,165000
116,283,20031001,2003,4,971000
86,284,20030401,2003,2,418000
92,290,20030401,2003,2,110000
103,287,20030701,2003,3,935000
70,282,20030101,2003,1,860000
1,272,20010701,2001,3,28000
53,292,20020701,2002,3,593000
22,281,20020101,2002,1,502000
5,284,20010701,2001,3,244000
21,272,20020101,2002,1,91000
80,292,20030101,2003,1,217000
148,281,20040401,2004,2,869000
8,287,20010701,2001,3,460000
3,282,20010701,2001,3,637000
75,287,20030101,2003,1,470000
143,293,20040101,2004,1,454000
23,282,20020101,2002,1,665000
108,292,20030701,2003,3,1262000
96,272,20030701,2003,3,263000
111,295,20030701,2003,3,728000
32,281,20020401,2002,2,550000
49,288,20020701,2002,3,496000
121,288,20031001,2003,4,707000
10,289,20010701,2001,3,226000
68,272,20030101,2003,1,107000
73,285,20030101,2003,1,571000
38,287,20020401,2002,2,493000
35,284,20020401,2002,2,341000
160,293,20040401,2004,2,497000
44,283,20020701,2002,3,1600000
40,289,20020401,2002,2,267000
33,282,20020401,2002,2,639000
69,281,20030101,2003,1,729000
19,288,20011001,2001,4,767000
74,286,20030101,2003,1,190000
50,289,20020701,2002,3,483000
31,272,20020401,2002,2,140000
37,286,20020401,2002,2,301000
128,295,20031001,2003,4,566000
107,291,20030701,2003,3,1506000
101,285,20030701,2003,3,950000
126,293,20031001,2003,4,380000
71,283,20030101,2003,1,839000
95,293,20030401,2003,2,304000
45,284,20020701,2002,3,542000
117,284,20031001,2003,4,453000
106,290,20030701,2003,3,184000
146,296,20040101,2004,1,399000
141,291,20040101,2004,1,883000
100,284,20030701,2003,3,507000
77,289,20030101,2003,1,151000
145,295,20040101,2004,1,366000
57,283,20021001,2002,4,1352000
47,286,20020701,2002,3,210000
