Bank Name,City,ST,CERT,Acquiring Institution,Closing Date,Updated Date,Closing Year
"Heritage Bank of Florida","Lutz","FL",35009,"Centennial Bank",2012-11-02 00:00:00.000,2014-03-21 00:00:00.000,2012
"GulfSouth Private Bank","Destin","FL",58073,"SmartBank",2012-10-19 00:00:00.000,2014-03-21 00:00:00.000,2012
"Jasper Banking Company","Jasper","GA",16240,"Stearns Bank N.A.",2012-07-27 00:00:00.000,2014-03-21 00:00:00.000,2012
"Georgia Trust Bank","Buford","GA",57847,"Community & Southern Bank",2012-07-20 00:00:00.000,2014-03-21 00:00:00.000,2012
"The Royal Palm Bank of Florida","Naples","FL",57096,"First National Bank of the Gulf Coast",2012-07-20 00:00:00.000,2014-03-21 00:00:00.000,2012
"Montgomery Bank & Trust","Ailey","GA",19498,"Ameris Bank",2012-07-06 00:00:00.000,2014-03-21 00:00:00.000,2012
"Security Exchange Bank","Marietta","GA",35299,"Fidelity Bank",2012-06-15 00:00:00.000,2014-03-21 00:00:00.000,2012
"Putnam State Bank","Palatka","FL",27405,"Harbor Community Bank",2012-06-15 00:00:00.000,2014-03-21 00:00:00.000,2012
"Waccamaw Bank","Whiteville","NC",34515,"First Community Bank",2012-06-08 00:00:00.000,2014-03-21 00:00:00.000,2012
"Carolina Federal Savings Bank","Charleston","SC",35372,"Bank of North Carolina",2012-06-08 00:00:00.000,2014-03-21 00:00:00.000,2012
"Covenant Bank & Trust","Rock Spring","GA",58068,"Stearns Bank, N.A.",2012-03-23 00:00:00.000,2014-03-21 00:00:00.000,2012
"Central Bank of Georgia","Ellaville","GA",5687,"Ameris Bank",2012-02-24 00:00:00.000,2014-03-21 00:00:00.000,2012
"Tennessee Commerce Bank","Franklin","TN",35296,"Republic Bank & Trust Company",2012-01-27 00:00:00.000,2014-03-21 00:00:00.000,2012
"The First State Bank","Stockbridge","GA",19252,"Hamilton State Bank",2012-01-20 00:00:00.000,2014-03-21 00:00:00.000,2012
"Premier Community Bank of the Emerald Coast","Crestview","FL",58343,"Summit Bank",2011-12-16 00:00:00.000,2014-03-21 00:00:00.000,2011
"Community Bank of Rockmart","Rockmart","GA",57860,"Century Bank of Georgia",2011-11-10 00:00:00.000,2014-03-21 00:00:00.000,2011
