OrderID,CustomerID,EmployeeID,OrderDate,ExpectedArrivalDate,ShippedDate,ShipperID,TrackingID,FreightAmount,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry
"O101","C102","E101",2018-07-04 00:00:00.000,2018-07-11 00:00:00.000,2018-07-05 00:00:00.000,"S103","ES9876222",32.38,"Vins et alcools Chevalier","59 rue de l-Abbaye","Mount Vernon","WA","98274","USA"
"O102","C101","E103",2018-07-05 00:00:00.000,2018-07-12 00:00:00.000,2018-07-06 00:00:00.000,"S104","ES0000987",11.61,"Toms Spezialitten","Luisenstr. 48","Prineville","OR","97754","USA"
"O103","C104","E104",2018-07-08 00:00:00.000,2018-07-15 00:00:00.000,2018-07-09 00:00:00.000,"S102","ES0987123",65.83,"Hanari Carnes","Rua do Pao, 67","Buckeye","AZ","85326","USA"
"O104","C103","E105",2018-07-08 00:00:00.000,2018-07-15 00:00:00.000,2018-07-09 00:00:00.000,"S101","ES9876233",41.34,"Victuailles en stock","2, rue du Commerce","Paradise Valley","AZ"," 85253","USA"
"O105","C106","E102",2018-07-09 00:00:00.000,2018-07-16 00:00:00.000,2018-07-10 00:00:00.000,"S102","ES9333322",51.3,"Suprmes dlices","Boulevard Tirou, 255","Newark","CA","94560","USA"
"O106","C105","E103",2018-07-10 00:00:00.000,2018-07-17 00:00:00.000,2018-07-11 00:00:00.000,"S102","ES1678903",58.17,"Hanari Carnes","Rua do Pao, 67"," Lysite","WY","82642","USA"
"O107","C108","E105",2018-07-11 00:00:00.000,2018-07-18 00:00:00.000,2018-07-12 00:00:00.000,"S102","ES1111111",22.98,"Chop-suey Chinese","Hauptstr. 31","Wood Lake","MN","56297","USA"
"O108","C109","E109",2018-07-12 00:00:00.000,2018-07-13 00:00:00.000,2018-07-13 00:00:00.000,"S103","ES0000001",148.33,"Richter Supermarkt","Starenweg 5","Annville","PA","17003","USA"
"O109","C110","E103",2018-07-15 00:00:00.000,2018-07-22 00:00:00.000,2018-07-16 00:00:00.000,"S102","ES3333333",13.97,"Wellington Importadora","Rua do Mercado, 12","Whitehouse Station","NJ","08889","USA"
"O110","C109","E104",2018-07-16 00:00:00.000,2018-07-23 00:00:00.000,2018-07-17 00:00:00.000,"S103","ES6753428",81.91,"HILARION-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","Cary","NC","27511","USA"
"O111","C112","E101",2018-07-17 00:00:00.000,2018-07-18 00:00:00.000,2018-07-18 00:00:00.000,"S104","ES2220983",140.51,"Ernst Handel","Kirchgasse 6","Roanoke","VA","24012","USA"
"O112","C111","E104",2018-07-18 00:00:00.000,2018-07-25 00:00:00.000,2018-07-19 00:00:00.000,"S103","ES0943222",3.25,"Centro comercial Moctezuma","Sierras de Granada 9993","Gastonia","NC","28052","USA"
"O113","C114","E103",2018-07-19 00:00:00.000,2018-07-26 00:00:00.000,2018-07-20 00:00:00.000,"S101","ES9004084",55.09,"Ottilies Kseladen","Mehrheimerstr. 369","North Wales","PA","19454","USA"
"O114","C113","E108",2018-07-19 00:00:00.000,2018-07-26 00:00:00.000,2018-07-20 00:00:00.000,"S102","ES9819797",3.05,"Que Delcia","Rua da Panificadora, 12","Rio de Janeiro","RJ","02389-673","USA"
"O115","C116","E105",2018-07-22 00:00:00.000,2018-07-29 00:00:00.000,2018-07-23 00:00:00.000,"S103","ES3533004",48.29,"Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
"O116","C117","E109",2018-07-23 00:00:00.000,2018-07-24 00:00:00.000,2018-07-24 00:00:00.000,"S103","ES2067346",146.06,"Ernst Handel","Kirchgasse 6","Milwaukee","WI","53204","USA"
"O117","C118","E102",2018-07-24 00:00:00.000,2018-07-31 00:00:00.000,2018-07-25 00:00:00.000,"S103","ES9888888",3.67,"Folk och f HB","kergatan 24","Fullerton","CA","92831","USA"
"O118","C119","E106",2018-07-25 00:00:00.000,2018-08-01 00:00:00.000,2018-07-26 00:00:00.000,"S101","ES9999006",55.28,"Blondel pre et fils","24, place Klber","Salisbury","MD","21801","USA"
"O119","C115","E103",2018-07-26 00:00:00.000,2018-08-02 00:00:00.000,2018-07-27 00:00:00.000,"S103","ES5432222",25.73,"Wartian Herkku","Torikatu 38","Huntersville","NC","28078","USA"
"O120","C121","E104",2018-07-29 00:00:00.000,2018-08-26 00:00:00.000,2018-07-30 00:00:00.000,"S101","ES0987444",208.58,"Frankenversand","Berliner Platz 43","West Palm Beach","FL","33404","USA"
"O121","C122","E108",2018-07-30 00:00:00.000,2018-08-06 00:00:00.000,2018-07-31 00:00:00.000,"S103","ES9005195",66.29,"GROSELLA-Restaurante","5 Ave. Los Palos Grandes","Park Forest","IL","60466","USA"
"O122","C124","E105",2018-07-31 00:00:00.000,2018-08-07 00:00:00.000,2018-08-01 00:00:00.000,"S101","ES9956260",4.56,"White Clover Markets","1029 - 12th Ave. S.","Seattle","WA","98124","USA"
"O123","C123","E101",2018-08-01 00:00:00.000,2018-08-02 00:00:00.000,2018-08-02 00:00:00.000,"S101","ES3330002",136.54,"Wartian Herkku","Torikatu 38","Dubuque","IA","52001","USA"
"O124","C120","E106",2018-08-01 00:00:00.000,2018-08-08 00:00:00.000,2018-08-02 00:00:00.000,"S102","ES2067775",4.54,"Split Rail Beer & Ale","P.O. Box 555","Lander","WY","82520","USA"
"O125","C125","E106",2018-08-02 00:00:00.000,2018-08-04 00:00:00.000,2018-08-03 00:00:00.000,"S102","ES9045678",98.03,"Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
"","","",,,,"","",,"","","","","",""
