id,season,date,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,Result
37,"2008/2009",2008-11-22 00:00:00.000,492591,8635,10001,2,0,"Winn"
73,"2008/2009",2008-12-19 00:00:00.000,492742,8635,9987,2,0,"Winn"
156,"2008/2009",2009-03-07 00:00:00.000,493027,8635,10000,2,0,"Winn"
180,"2008/2009",2009-03-21 00:00:00.000,493051,8635,9993,2,0,"Winn"
262,"2008/2009",2008-09-19 00:00:00.000,492517,8635,9986,2,0,"Winn"
322,"2009/2010",2009-10-17 00:00:00.000,665426,8635,9986,2,0,"Winn"
336,"2009/2010",2009-10-31 00:00:00.000,665536,8635,9994,2,0,"Winn"
441,"2009/2010",2010-02-21 00:00:00.000,665729,8635,8203,2,0,"Winn"
455,"2009/2010",2010-03-14 00:00:00.000,665745,8635,9987,2,0,"Winn"
541,"2010/2011",2010-10-24 00:00:00.000,838599,8635,10001,2,0,"Winn"
637,"2010/2011",2011-01-23 00:00:00.000,838759,8635,9985,2,0,"Winn"
653,"2010/2011",2011-02-05 00:00:00.000,838789,8635,9997,2,0,"Winn"
965,"2011/2012",2011-09-11 00:00:00.000,1032732,8635,8571,2,0,"Winn"
1013,"2012/2013",2012-10-19 00:00:00.000,1224063,8635,8475,2,0,"Winn"
1149,"2012/2013",2013-02-15 00:00:00.000,1224191,8635,9986,2,0,"Winn"
1410,"2014/2015",2015-03-01 00:00:00.000,1718034,8635,8571,2,0,"Winn"
1529,"2015/2016",2015-11-01 00:00:00.000,1979928,8635,274581,2,0,"Winn"
4915,"2008/2009",2009-01-31 00:00:00.000,483345,9847,7819,2,0,"Winn"
5936,"2011/2012",2011-10-23 00:00:00.000,1019533,9847,9836,2,0,"Winn"
6198,"2011/2012",2012-05-02 00:00:00.000,1020207,9847,9853,2,0,"Winn"
6286,"2011/2012",2011-10-02 00:00:00.000,1019492,9847,9748,2,0,"Winn"
6475,"2012/2013",2013-02-24 00:00:00.000,1217067,9847,8592,2,0,"Winn"
6623,"2012/2013",2012-09-14 00:00:00.000,1216855,9847,9941,2,0,"Winn"
6644,"2012/2013",2012-09-29 00:00:00.000,1216876,9847,9874,2,0,"Winn"
6823,"2013/2014",2014-01-31 00:00:00.000,1468422,9847,9827,2,0,"Winn"
6863,"2013/2014",2014-03-02 00:00:00.000,1468462,9847,8592,2,0,"Winn"
6882,"2013/2014",2014-03-16 00:00:00.000,1468481,9847,9853,2,0,"Winn"
6994,"2013/2014",2013-08-31 00:00:00.000,1468194,9847,9747,2,0,"Winn"
7034,"2013/2014",2013-09-28 00:00:00.000,1468234,9847,9941,2,0,"Winn"
7098,"2014/2015",2014-11-09 00:00:00.000,1709826,9847,8592,2,0,"Winn"
7165,"2014/2015",2014-08-16 00:00:00.000,1709713,9847,7794,2,0,"Winn"
7544,"2015/2016",2015-08-16 00:00:00.000,1989793,9847,6391,2,0,"Winn"
7556,"2015/2016",2016-01-08 00:00:00.000,1989977,9847,7794,2,0,"Winn"
8196,"2009/2010",2010-01-15 00:00:00.000,674422,9823,8226,2,0,"Winn"
8818,"2011/2012",2012-01-28 00:00:00.000,1030199,9823,8721,2,0,"Winn"
8845,"2011/2012",2012-02-11 00:00:00.000,1030237,9823,8350,2,0,"Winn"
8863,"2011/2012",2012-02-26 00:00:00.000,1030270,9823,10189,2,0,"Winn"
8962,"2011/2012",2012-04-28 00:00:00.000,1030378,9823,10269,2,0,"Winn"
9051,"2012/2013",2012-11-10 00:00:00.000,1239558,9823,9810,2,0,"Winn"
9122,"2012/2013",2013-01-19 00:00:00.000,1239629,9823,8357,2,0,"Winn"
9312,"2012/2013",2012-10-06 00:00:00.000,1239521,9823,8226,2,0,"Winn"
9384,"2013/2014",2013-11-30 00:00:00.000,1479107,9823,9776,2,0,"Winn"
9538,"2013/2014",2013-08-24 00:00:00.000,1479009,9823,8165,2,0,"Winn"
9601,"2013/2014",2013-09-14 00:00:00.000,1479027,9823,9904,2,0,"Winn"
9708,"2014/2015",2014-12-16 00:00:00.000,1732856,9823,8358,2,0,"Winn"
9843,"2014/2015",2014-09-13 00:00:00.000,1732729,9823,10269,2,0,"Winn"
9888,"2014/2015",2015-05-23 00:00:00.000,1733018,9823,9905,2,0,"Winn"
9996,"2015/2016",2015-11-28 00:00:00.000,2002210,9823,8177,2,0,"Winn"
10014,"2015/2016",2015-12-12 00:00:00.000,2002228,9823,8234,2,0,"Winn"
10041,"2015/2016",2016-01-31 00:00:00.000,2002255,9823,8226,2,0,"Winn"
19712,"2008/2009",2008-11-08 00:00:00.000,490047,9925,9927,2,0,"Winn"
19850,"2008/2009",2009-04-18 00:00:00.000,490174,9925,8485,2,0,"Winn"
19973,"2009/2010",2009-12-26 00:00:00.000,658898,9925,8429,2,0,"Winn"
20023,"2009/2010",2010-02-10 00:00:00.000,659002,9925,9860,2,0,"Winn"
20210,"2010/2011",2010-12-26 00:00:00.000,840337,9925,8467,2,0,"Winn"
20276,"2010/2011",2011-03-05 00:00:00.000,840397,9925,8429,2,0,"Winn"
20516,"2011/2012",2012-02-22 00:00:00.000,1024723,9925,8457,2,0,"Winn"
20528,"2011/2012",2012-04-01 00:00:00.000,1024776,9925,8467,2,0,"Winn"
20600,"2011/2012",2011-09-24 00:00:00.000,1024293,9925,8066,2,0,"Winn"
20661,"2012/2013",2012-12-15 00:00:00.000,1229527,9925,9800,2,0,"Winn"
20817,"2012/2013",2012-09-22 00:00:00.000,1228992,9925,8284,2,0,"Winn"
20882,"2013/2014",2013-12-21 00:00:00.000,1474300,9925,9860,2,0,"Winn"
21056,"2013/2014",2013-10-05 00:00:00.000,1474225,9925,9927,2,0,"Winn"
21075,"2014/2015",2014-10-26 00:00:00.000,1726080,9925,8597,2,0,"Winn"
21217,"2014/2015",2015-04-08 00:00:00.000,1726216,9925,8426,2,0,"Winn"
21290,"2015/2016",2015-08-01 00:00:00.000,1990843,9925,8649,2,0,"Winn"
21398,"2015/2016",2016-02-13 00:00:00.000,1990993,9925,8649,2,0,"Winn"
190,"2008/2009",2009-04-12 00:00:00.000,493061,8635,8342,1,0,"Winn"
199,"2008/2009",2008-08-30 00:00:00.000,492491,8635,8571,4,0,"Winn"
221,"2008/2009",2009-04-25 00:00:00.000,493083,8635,7947,4,0,"Winn"
357,"2009/2010",2009-11-27 00:00:00.000,665586,8635,8571,1,0,"Winn"
461,"2009/2010",2009-08-15 00:00:00.000,665334,8635,10001,3,0,"Winn"
510,"2009/2010",2009-09-27 00:00:00.000,665396,8635,9993,1,0,"Winn"
597,"2010/2011",2010-12-12 00:00:00.000,838707,8635,9994,0,0,"Draw"
621,"2010/2011",2010-12-26 00:00:00.000,838733,8635,9989,6,0,"Winn"
662,"2010/2011",2011-02-12 00:00:00.000,838804,8635,9984,1,0,"Winn"
693,"2010/2011",2010-08-14 00:00:00.000,838491,8635,9993,4,0,"Winn"
717,"2010/2011",2010-08-28 00:00:00.000,838517,8635,10000,0,0,"Draw"
733,"2010/2011",2010-09-19 00:00:00.000,838540,8635,8571,3,0,"Winn"
749,"2010/2011",2010-09-26 00:00:00.000,838567,8635,8203,5,0,"Winn"
766,"2011/2012",2011-10-16 00:00:00.000,1032765,8635,9985,5,0,"Winn"
782,"2011/2012",2011-10-30 00:00:00.000,1032781,8635,9989,4,0,"Winn"
813,"2011/2012",2011-12-04 00:00:00.000,1032812,8635,1773,0,0,"Draw"
853,"2011/2012",2012-01-15 00:00:00.000,1032844,8635,8342,3,0,"Winn"
918,"2011/2012",2012-03-04 00:00:00.000,1032910,8635,9984,4,0,"Winn"
1029,"2012/2013",2012-10-30 00:00:00.000,1224079,8635,9991,5,0,"Winn"
1053,"2012/2013",2012-11-18 00:00:00.000,1224103,8635,8571,1,0,"Winn"
1085,"2012/2013",2012-08-04 00:00:00.000,1223991,8635,9993,1,0,"Winn"
1165,"2012/2013",2013-03-09 00:00:00.000,1224207,8635,8203,1,0,"Winn"
1229,"2012/2013",2012-09-29 00:00:00.000,1224047,8635,9994,3,0,"Winn"
1258,"2014/2015",2014-10-05 00:00:00.000,1717890,8635,9987,0,0,"Draw"
1329,"2014/2015",2014-12-14 00:00:00.000,1717961,8635,8573,3,0,"Winn"
1353,"2014/2015",2014-12-26 00:00:00.000,1717977,8635,10001,4,0,"Winn"
1362,"2014/2015",2015-01-18 00:00:00.000,1717986,8635,9989,3,0,"Winn"
1378,"2014/2015",2015-02-01 00:00:00.000,1718002,8635,10000,0,0,"Draw"
1425,"2014/2015",2014-08-10 00:00:00.000,1717833,8635,9986,1,0,"Winn"
1449,"2014/2015",2014-08-24 00:00:00.000,1717849,8635,8475,1,0,"Winn"
1633,"2015/2016",2016-02-13 00:00:00.000,1980024,8635,10000,3,0,"Winn"
1673,"2015/2016",2016-03-13 00:00:00.000,1980056,8635,8571,3,0,"Winn"
1689,"2015/2016",2015-08-23 00:00:00.000,1979864,8635,9994,1,0,"Winn"
1705,"2015/2016",2015-09-13 00:00:00.000,1979872,8635,9987,0,0,"Draw"
1721,"2015/2016",2015-09-27 00:00:00.000,1979888,8635,9997,1,0,"Winn"
4815,"2008/2009",2008-11-09 00:00:00.000,483255,9847,8639,1,0,"Winn"
4836,"2008/2009",2008-11-22 00:00:00.000,483276,9847,9748,1,0,"Winn"
4886,"2008/2009",2008-08-16 00:00:00.000,483146,9847,9827,1,0,"Winn"
5025,"2008/2009",2009-04-19 00:00:00.000,483476,9847,9746,3,0,"Winn"
5086,"2008/2009",2009-05-30 00:00:00.000,483537,9847,9829,0,0,"Draw"
5105,"2008/2009",2008-09-14 00:00:00.000,483175,9847,9830,1,0,"Winn"
5216,"2009/2010",2009-11-28 00:00:00.000,654176,9847,8583,1,0,"Winn"
5236,"2009/2010",2009-12-13 00:00:00.000,654216,9847,9853,3,0,"Winn"
5256,"2009/2010",2009-12-23 00:00:00.000,654260,9847,9855,4,0,"Winn"
5325,"2009/2010",2010-02-20 00:00:00.000,654413,9847,9941,1,0,"Winn"
5385,"2009/2010",2010-03-28 00:00:00.000,654520,9847,4170,3,0,"Winn"
5475,"2009/2010",2009-08-30 00:00:00.000,653946,9847,8639,3,0,"Winn"
5684,"2010/2011",2011-02-12 00:00:00.000,830183,9847,8588,0,0,"Draw"
5744,"2010/2011",2011-04-02 00:00:00.000,830354,9847,8689,0,0,"Draw"
5774,"2010/2011",2011-04-17 00:00:00.000,830393,9847,9748,1,0,"Winn"
