storagearray_pk,sa_name,sa_array_type,model,manufacturer,vendor,capacity_tb,used_capacity_tb,free_capacity_tb,eol_date,eos_date
2042,"WH-NETAPP-01","Array (NETAPP)","FAS2040","","NetApp",5.092,4.573,0.52,"",""
2080,"wbd42pstgr1","Array (PURE)","FA-450","","Pure Storage",41.325,0.691,40.633,"",""
2288,"wbd42ddc03.device42.pvt","Array (DATA-DOMAIN)","DD2200","","EMC",6.803,0.032,6.77,"",""
2317,"Oraclezfs","Array (ZFS)","Sun Storage VMware","Oracle","Oracle",0.034,0,0.034,"",""
2318,"","Array (UNITY)","UnityVSA","EMC","EMC",0.136,0.021,0.115,"",""
2319,"Device42_3Par_Sim","Array (HP3PAR)","HP_3PAR 8200","HP 3PAR","3PAR",67.336,4.58,62.756,"",""
2490,"d42dev","Array (ISILON)","Isilon OneFS","","EMC",0.153,0.004,0.149,"",""
3119,"cluster1","Array (NETAPP)","","","",0.151,0.029,0.122,"",""
6057,"Infinidate1","Array (INFI)","VMWARE","","Infinidat",278.65,214.748,63.797,"",""
6069,"dev42vnx5100","Array (VNX)","VNX5300","","EMC Corporation",1.209,0.197,1.012,"",""
6108,"wbd42isilon1","Array (ISILON)","Isilon OneFS","","EMC",32.44,0.039,32.401,"",""
6301,"CKM00164000536","Array (UNITY)","Unity 300","EMC","EMC",1.505,0.099,1.406,"",""
6344,"NetApp_Cluster","Array (NETAPP)","","","",0.033,0.013,0.021,"",""
6626,"AF1000","Array (NIMBLE)","AF1000","","",3.367,0.008,3.359,"",""
6753,"10.92.10.15..data.col1.backup.mtree.json","Array (ARRAY)","","","",,,,"",""
6754,"10.92.10.15..data.col1.d42do-530.mtree.json","Array (ARRAY)","","","",,,,"",""
6755,"10.92.10.15..data.col1.test.mtree.json","Array (ARRAY)","","","",,,,"",""
6756,"10.92.10.15..data.col1.tp-storage.mtree.json","Array (ARRAY)","","","",,,,"",""
