channelKey,StoreKey,ProductKey,PromotionKey,SalesQuantity,ReturnQuantity,ReturnAmount,TotalCost,SalesAmount,GeographyKey,DiscountQuantity,DiscountAmount,Date,UnitCost,UnitPrice,Product URL
1,152,1682,1,25,0,0.0,103.25,224.75,861,0,0.0,2009-04-04 00:00:00.000,4.13,8.99,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
4,310,2178,6,36,0,0.0,7367.04,15575.0,710,5,445.0,2007-03-06 00:00:00.000,204.64,445.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
2,307,2470,24,36,0,0.0,568.8,1078.452,710,6,37.188,2009-04-13 00:00:00.000,15.8,30.99,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
4,309,1136,19,8,1,480.5,1114.4,3555.7,529,3,288.3,2008-12-19 00:00:00.000,159.2,480.5,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,79,536,1,20,0,0.0,1009.4,1980.0,579,0,0.0,2009-05-28 00:00:00.000,50.47,99.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,240,1702,8,60,0,0.0,337.8,1015.8321,736,3,3.5679,2007-03-20 00:00:00.000,5.63,16.99,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,51,2509,3,120,0,0.0,248.4,486.388,918,2,0.812,2007-08-31 00:00:00.000,2.07,4.06,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
2,306,272,10,8,0,0.0,1341.84,2368.8,586,4,263.2,2007-10-23 00:00:00.000,167.73,329.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,274,180,24,18,0,0.0,633.24,1228.2,726,1,13.8,2009-04-08 00:00:00.000,35.18,69.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,20,1630,21,6,0,0.0,45.48,137.34,824,0,0.0,2009-07-03 00:00:00.000,7.58,22.89,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,177,1004,1,10,0,0.0,864.5,1880.0,888,0,0.0,2007-04-30 00:00:00.000,86.45,188.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,257,1252,1,5,0,0.0,152.9,299.95,718,0,0.0,2007-08-11 00:00:00.000,30.58,59.99,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
3,200,2022,12,24,0,0.0,1712.88,3331.762,894,2,27.998,2008-08-28 00:00:00.000,71.37,139.99,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
2,306,1456,8,12,0,0.0,1661.04,3527.72,586,4,84.28,2007-03-29 00:00:00.000,138.42,301.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
2,306,120,1,20,0,0.0,1223.4,2399.8,586,0,0.0,2009-06-01 00:00:00.000,61.17,119.99,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,296,1902,1,20,0,0.0,1325.4,2599.8,709,0,0.0,2009-08-03 00:00:00.000,66.27,129.99,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
2,307,1324,5,26,0,0.0,466.18,990.346,710,4,23.394,2007-12-12 00:00:00.000,17.93,38.99,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
