SponsID,Name
1,"Tanoodle"
2,"Skibox"
3,"Oyoloo"
4,"Meevee"
5,"Ozu"
6,"Aimbu"
7,"Pixope"
8,"Miboo"
9,"Yodoo"
10,"Wordware"
11,"Mycat"
12,"Yoveo"
13,"Gigashots"
14,"Layo"
15,"Nlounge"
16,"Tambee"
17,"Trilia"
18,"Tazzy"
19,"Skalith"
20,"Trudeo"
21,"Twitterwire"
22,"Dynabox"
23,"Skipfire"
24,"Oozz"
25,"Thoughtblab"
26,"Kwideo"
27,"Edgeclub"
28,"Fivechat"
29,"Brainverse"
30,"Tagtune"
31,"Lazz"
32,"Zooxo"
33,"Edgeclub"
34,"Jetwire"
35,"Zazio"
36,"Brightdog"
37,"Riffwire"
38,"Jetpulse"
39,"Twinte"
40,"Dabjam"
41,"Camimbo"
42,"Layo"
43,"Devcast"
44,"Browsedrive"
45,"Aimbo"
46,"Blogpad"
47,"Wordtune"
48,"Tekfly"
49,"Youspan"
50,"Twinder"
51,"Tazz"
52,"Leenti"
53,"Feedmix"
54,"Kazio"
55,"Ntag"
56,"Mybuzz"
57,"Oyope"
58,"Photobean"
59,"Linkbuzz"
60,"Realblab"
61,"Snaptags"
62,"Gigabox"
63,"Gigashots"
64,"Flashdog"
65,"Cogidoo"
66,"Topiclounge"
67,"Feedfire"
68,"Yodo"
69,"Trilith"
70,"Dynava"
71,"Voomm"
72,"Shuffledrive"
73,"Twitternation"
74,"Brainsphere"
75,"Tagcat"
76,"Kaymbo"
77,"Voonte"
78,"LiveZ"
79,"Skinix"
80,"Riffwire"
81,"Photobug"
82,"Twitterworks"
83,"Zooxo"
84,"Minyx"
85,"Rhyloo"
86,"Browsebug"
87,"Aivee"
88,"Eire"
89,"Zoomlounge"
90,"Yakitri"
91,"Topicshots"
92,"Zazio"
93,"Quatz"
94,"Kazio"
95,"Flipopia"
96,"Youspan"
97,"Feednation"
98,"Jaxbean"
99,"Topicshots"
100,"Photobug"
101,"Zoonder"
102,"Twinte"
103,"Livetube"
104,"Mydeo"
105,"Skimia"
106,"Mynte"
107,"Skipfire"
108,"Topicware"
109,"Tagpad"
110,"Browsebug"
111,"Blogpad"
112,"Gabtype"
113,"Edgetag"
114,"Voonyx"
115,"Youspan"
116,"Oyoba"
117,"Wordpedia"
118,"Linktype"
119,"Twitternation"
120,"Reallinks"
121,"Feedmix"
122,"Twitterlist"
123,"Zoonoodle"
124,"Rhybox"
125,"Brainverse"
126,"Gabvine"
127,"Gigabox"
128,"Skidoo"
129,"Pixope"
130,"Realpoint"
131,"Latz"
132,"Oodoo"
133,"Bluezoom"
134,"Minyx"
135,"Thoughtbridge"
136,"Leenti"
137,"Browsebug"
138,"Photobug"
139,"Edgeify"
140,"Livepath"
141,"Skibox"
142,"Photobug"
143,"Brainbox"
144,"Digitube"
145,"Realbridge"
146,"Katz"
147,"Skyba"
148,"Babbleopia"
149,"Feedspan"
150,"Gigaclub"
151,"Camido"
152,"Twitternation"
153,"DabZ"
154,"Babbleset"
155,"Gabvine"
156,"Aimbu"
157,"Bubblemix"
158,"Shuffletag"
159,"Innojam"
160,"Tagopia"
161,"Skiptube"
162,"Oyoloo"
163,"Meezzy"
164,"Dablist"
165,"Quatz"
166,"Yabox"
167,"Twitterworks"
168,"Skajo"
169,"Ntags"
170,"Nlounge"
171,"Jayo"
172,"Rhynoodle"
173,"Jamia"
174,"Jayo"
175,"Buzzbean"
176,"Topiclounge"
177,"Devcast"
178,"Dynazzy"
179,"Topiczoom"
180,"Eare"
181,"Zoomdog"
182,"Vidoo"
183,"Agivu"
184,"Jazzy"
185,"Twitterwire"
186,"Twitterwire"
187,"Yozio"
188,"Kazio"
189,"Zava"
190,"Quatz"
191,"Browsebug"
192,"Zava"
193,"Realmix"
194,"Youtags"
195,"Kare"
196,"Zoovu"
