businessapplication_pk,name,criticality,element_name,device_fk
2,"Researching","","f5.d42.pvt.localdomain",5612
2,"Researching","","ubu-f5db-14-3",5941
2,"Researching","","ubu-f5db-14-4",5936
2,"Researching","","ubu-f5mw1-13-3",5937
2,"Researching","","ubu-f5mw2-13-4",5939
7,"Payroll","","s1-mysql-9062.device42.pvt",10405
7,"Payroll","","s2-tomcat-9063.device42.pvt",10407
7,"Payroll","","s5-apache-9064.device42.pvt",10406
8,"CRM App","","autodisc-db",5592
8,"CRM App","","autodisc-httpd",10382
8,"CRM App","","autodisc-tomcat",10381
8,"CRM App","","test111",16937
55,"Benefits Calculator","","s2-tomcat-9063.device42.pvt",10407
55,"Benefits Calculator","","s3-tomcat-9066.device42.pvt",10409
55,"Benefits Calculator","","s5-apache-9064.device42.pvt",10406
55,"Benefits Calculator","","s6-apache-9068.device42.pvt",10408
55,"Benefits Calculator","","s8-firefox-9065.device42.pvt",10404
55,"Benefits Calculator","","VMWARE-56 4D 86 CF 2E 24 C1 58-8A 2B 28 3A FF 80 FE F4",10398
55,"Benefits Calculator","","wds-901120",14134
55,"Benefits Calculator","","WINDOWS-68INPG6",10433
55,"Benefits Calculator","","WINDOWS-8D4TIPT",10426
55,"Benefits Calculator","","win-phy-001",6444
75,"Production Research","","s1-mysql-9062.device42.pvt",10405
75,"Production Research","","s2-tomcat-9063.device42.pvt",10407
75,"Production Research","","s3-tomcat-9066",14159
75,"Production Research","","s3-tomcat-9066.device42.pvt",10409
75,"Production Research","","s4-tomcat-9067",14163
75,"Production Research","","s4-tomcat-9067.device42.pvt",10410
75,"Production Research","","s5-apache-9064.device42.pvt",10406
75,"Production Research","","s6-apache-9068.device42.pvt",10408
75,"Production Research","","VMWARE-56 4D 86 CF 2E 24 C1 58-8A 2B 28 3A FF 80 FE F4",10398
75,"Production Research","","WINDOWS-68INPG6",10433
76,"Research - Prod","","s1-mysql-9062.device42.pvt",10405
76,"Research - Prod","","s2-tomcat-9063.device42.pvt",10407
76,"Research - Prod","","s3-tomcat-9066",14159
76,"Research - Prod","","s3-tomcat-9066.device42.pvt",10409
76,"Research - Prod","","s4-tomcat-9067",14163
76,"Research - Prod","","s4-tomcat-9067.device42.pvt",10410
76,"Research - Prod","","s5-apache-9064.device42.pvt",10406
76,"Research - Prod","","s6-apache-9068.device42.pvt",10408
76,"Research - Prod","","VMWARE-56 4D 86 CF 2E 24 C1 58-8A 2B 28 3A FF 80 FE F4",10398
76,"Research - Prod","","WINDOWS-8D4TIPT",10426
145,"Jupiter Internal","","d42-rc.localdomain",16032
145,"Jupiter Internal","","rcuq01fl9006",16071
145,"Jupiter Internal","","s1-mysql-9062.device42.pvt",10405
145,"Jupiter Internal","","s2-tomcat-9063.device42.pvt",10407
145,"Jupiter Internal","","s3-tomcat-9066",14159
145,"Jupiter Internal","","s3-tomcat-9066.device42.pvt",10409
145,"Jupiter Internal","","s4-tomcat-9067.device42.pvt",10410
145,"Jupiter Internal","","s5-apache-9064",16042
145,"Jupiter Internal","","s5-apache-9064.device42.pvt",10406
145,"Jupiter Internal","","s6-apache-9068.device42.pvt",10408
145,"Jupiter Internal","","s8-firefox-9065.device42.pvt",10404
145,"Jupiter Internal","","VMWARE-56 4D 86 CF 2E 24 C1 58-8A 2B 28 3A FF 80 FE F4",10398
145,"Jupiter Internal","","WINDOWS-68INPG6",10433
145,"Jupiter Internal","","WINDOWS-8D4TIPT",10426
353,"bus app demo","","s1-mysql-9062.device42.pvt",10405
353,"bus app demo","","s2-tomcat-9063.device42.pvt",10407
353,"bus app demo","","s3-tomcat-9066",14159
353,"bus app demo","","s3-tomcat-9066.device42.pvt",10409
353,"bus app demo","","s4-tomcat-9067",14163
353,"bus app demo","","s4-tomcat-9067.device42.pvt",10410
353,"bus app demo","","s5-apache-9064",16042
353,"bus app demo","","s5-apache-9064.device42.pvt",10406
353,"bus app demo","","s6-apache-9068.device42.pvt",10408
353,"bus app demo","","s7-firefox-90610.device42.pvt",10402
353,"bus app demo","","s8-firefox-9065",16938
353,"bus app demo","","s8-firefox-9065.device42.pvt",10404
353,"bus app demo","","VMWARE-56 4D 86 CF 2E 24 C1 58-8A 2B 28 3A FF 80 FE F4",10398
353,"bus app demo","","WINDOWS-68INPG6",10433
353,"bus app demo","","WINDOWS-8D4TIPT",10426
353,"bus app demo","","WINDOWS-HBQPU94",10461
354,"Edf App","","s1-mysql-9062.device42.pvt",10405
354,"Edf App","","s2-tomcat-9063.device42.pvt",10407
354,"Edf App","","s3-tomcat-9066",14159
354,"Edf App","","s3-tomcat-9066.device42.pvt",10409
354,"Edf App","","s4-tomcat-9067",14163
354,"Edf App","","s4-tomcat-9067.device42.pvt",10410
354,"Edf App","","s5-apache-9064",16042
354,"Edf App","","s5-apache-9064.device42.pvt",10406
354,"Edf App","","s6-apache-9068.device42.pvt",10408
363,"GFK App","","s1-mysql-9062.device42.pvt",10405
363,"GFK App","","s2-tomcat-9063.device42.pvt",10407
363,"GFK App","","s3-tomcat-9066",14159
363,"GFK App","","s3-tomcat-9066.device42.pvt",10409
363,"GFK App","","s4-tomcat-9067",14163
363,"GFK App","","s4-tomcat-9067.device42.pvt",10410
363,"GFK App","","s5-apache-9064",16042
363,"GFK App","","s5-apache-9064.device42.pvt",10406
363,"GFK App","","s6-apache-9068.device42.pvt",10408
363,"GFK App","","s7-firefox-90610.device42.pvt",10402
363,"GFK App","","s8-firefox-9065",16938
363,"GFK App","","s8-firefox-9065.device42.pvt",10404
363,"GFK App","","VMWARE-56 4D 86 CF 2E 24 C1 58-8A 2B 28 3A FF 80 FE F4",10398
363,"GFK App","","WINDOWS-68INPG6",10433
363,"GFK App","","WINDOWS-8D4TIPT",10426
363,"GFK App","","WINDOWS-HBQPU94",10461
365,"demo1","","trial-demo-rc",13854
