Name,Data,Schema,Item,Kind
"AdventureWorksDWBuildVersion","[Table]","dbo","AdventureWorksDWBuildVersion","Table"
"AggregateSales","[Table]","dbo","AggregateSales","View"
"DatabaseLog","[Table]","dbo","DatabaseLog","Table"
"DimAccount","[Table]","dbo","DimAccount","Table"
"DimCurrency","[Table]","dbo","DimCurrency","Table"
"DimCurrency_1","[Table]","dbo","DimCurrency_1","Table"
"dimCurrency_extern","[Table]","dbo","dimCurrency_extern","Table"
"DimCustomer","[Table]","dbo","DimCustomer","Table"
"DimDate","[Table]","dbo","DimDate","Table"
"DimDate_1","[Table]","dbo","DimDate_1","Table"
"DimDepartmentGroup","[Table]","dbo","DimDepartmentGroup","Table"
"DimEmployee","[Table]","dbo","DimEmployee","Table"
"DimEmployee_1","[Table]","dbo","DimEmployee_1","Table"
"dimEmployee_extern","[Table]","dbo","dimEmployee_extern","Table"
"DimGeography","[Table]","dbo","DimGeography","Table"
"DimOrganization","[Table]","dbo","DimOrganization","Table"
"DimProduct","[Table]","dbo","DimProduct","Table"
"DimProduct_1","[Table]","dbo","DimProduct_1","Table"
"dimProduct_extern","[Table]","dbo","dimProduct_extern","Table"
"DimProductCategory","[Table]","dbo","DimProductCategory","Table"
"DimProductSubcategory","[Table]","dbo","DimProductSubcategory","Table"
"DimPromotion","[Table]","dbo","DimPromotion","Table"
"DimReseller","[Table]","dbo","DimReseller","Table"
"DimSalesReason","[Table]","dbo","DimSalesReason","Table"
"DimSalesTerritory","[Table]","dbo","DimSalesTerritory","Table"
"DimScenario","[Table]","dbo","DimScenario","Table"
"FactCallCenter","[Table]","dbo","FactCallCenter","Table"
"FactCurrencyRate","[Table]","dbo","FactCurrencyRate","Table"
"FactCurrencyRate_1","[Table]","dbo","FactCurrencyRate_1","Table"
"FactCurrencyRate_extern","[Table]","dbo","FactCurrencyRate_extern","Table"
"FactFinance","[Table]","dbo","FactFinance","Table"
"FactInternetSales","[Table]","dbo","FactInternetSales","Table"
"FactInternetSalesReason","[Table]","dbo","FactInternetSalesReason","Table"
"FactResellerSales","[Table]","dbo","FactResellerSales","Table"
"FactResellerSales_1","[Table]","dbo","FactResellerSales_1","Table"
"FactResellerSales_extern","[Table]","dbo","FactResellerSales_extern","Table"
"FactSalesQuota","[Table]","dbo","FactSalesQuota","Table"
"FactSalesQuota_1","[Table]","dbo","FactSalesQuota_1","Table"
"FactSalesQuota_extern","[Table]","dbo","FactSalesQuota_extern","Table"
"FactSurveyResponse","[Table]","dbo","FactSurveyResponse","Table"
"ProspectiveBuyer","[Table]","dbo","ProspectiveBuyer","Table"
"SalesByCategory","[Table]","dbo","SalesByCategory","View"
"SalesByCustomer","[Table]","dbo","SalesByCustomer","View"
"SalesByDate","[Table]","dbo","SalesByDate","View"
"SalesByRegion","[Table]","dbo","SalesByRegion","View"
"vDMPrep","[Table]","dbo","vDMPrep","View"
"vTargetMail","[Table]","dbo","vTargetMail","View"
