ID,gpt-4o_python_no-tool,gpt-4o_python_tool,o4-mini_python_no-tool,o4-mini_python_tool,gpt-4o_sql_no-tool,gpt-4o_sql_tool,o4-mini_sql_no-tool,o4-mini_sql_tool,gpt-5.2_python_no-tool,gpt-5.2_python_tool,gpt-5.2_sql_no-tool,gpt-5.2_sql_tool,gpt-5.5_python_no-tool,gpt-5.5_python_tool,gpt-5.5_sql_no-tool,gpt-5.5_sql_tool
277309008,0.0,0.0,0.3,0.9,0.0,0.1,0.0,0.3,0.7,0.7,0.0,0.0,0.9,0.4,0.8,0.8
229334275,0.4,0.9,0.9,1.0,0.4,0.8,0.2,1.0,0.4,1.0,0.3,1.0,0.0,0.3,0.0,0.8
254957695,0.9,1.0,0.1,0.7,1.0,1.0,0.4,0.8,0.6,0.7,1.0,1.0,0.0,0.5,0.6,0.5
296511271,0.1,0.6,0.4,0.8,0.0,0.4,0.2,1.0,0.5,0.9,0.2,1.0,0.7,1.0,0.1,1.0
554151827,0.3,0.5,0.9,1.0,1.0,0.8,1.0,1.0,0.9,0.8,0.8,1.0,1.0,1.0,1.0,1.0
280113507-1,0.6,0.6,0.5,1.0,0.6,0.6,1.0,1.0,0.9,0.8,0.9,1.0,1.0,1.0,1.0,1.0
280113507-2,0.8,1.0,0.8,0.8,1.0,1.0,0.5,0.6,1.0,1.0,0.5,0.7,0.9,1.0,0.0,0.0
280113507-3,0.4,0.8,0.9,0.9,0.6,0.8,0.5,1.0,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0
280113507-4,0.0,0.7,0.3,0.9,0.2,0.8,0.1,0.8,0.1,1.0,0.1,0.9,0.9,1.0,0.1,0.7
244046227,0.0,0.0,0.6,0.8,0.0,0.0,0.7,0.8,0.0,0.3,0.2,0.5,1.0,0.4,0.7,0.8
311026747,0.0,0.1,0.1,0.5,0.0,0.0,0.1,0.0,0.0,0.8,0.0,0.1,0.1,1.0,0.0,0.9
170685166,0.1,0.3,0.3,0.5,0.4,0.0,0.9,1.0,0.7,1.0,1.0,0.8,0.9,1.0,1.0,1.0
101102807,0.5,0.7,0.9,1.0,0.5,0.9,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,0.3,0.7
194321012,0.0,0.0,0.4,0.6,0.0,0.0,0.7,0.7,0.0,0.5,0.9,0.5,0.0,0.0,0.0,0.0
195439535-1,0.1,0.0,0.8,0.9,0.8,0.1,0.9,1.0,0.6,0.8,1.0,1.0,1.0,1.0,0.6,0.9
103904845,0.4,0.5,0.8,1.0,0.1,0.4,1.0,0.9,0.8,0.9,0.6,0.8,1.0,1.0,1.0,1.0
181749291-1,0.2,0.0,1.0,1.0,0.0,0.1,0.8,1.0,0.4,0.6,0.4,0.4,1.0,1.0,1.0,1.0
138368400,0.1,0.2,0.7,0.5,0.2,0.0,0.3,0.8,0.6,0.3,0.5,0.8,1.0,1.0,0.8,1.0
159612708,0.8,0.6,0.9,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8
196073081,0.6,1.0,1.0,1.0,0.7,0.7,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
119569203-1,0.1,0.0,0.0,0.8,0.1,0.2,0.0,0.8,0.0,0.8,0.2,0.8,0.0,0.0,0.0,0.1
254342705,0.3,0.9,0.1,0.9,0.0,0.1,0.0,0.9,0.0,0.9,0.0,0.2,0.9,0.9,0.2,1.0
108574001,0.4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132725207-1,0.3,0.2,0.2,1.0,0.0,0.0,0.5,0.7,0.5,0.4,0.1,0.0,0.0,0.0,0.0,0.0
132725207-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144879316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.0
148631860,0.3,0.9,0.6,1.0,0.0,0.1,0.8,1.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
107157327,0.0,0.0,0.4,0.8,0.2,0.1,0.5,0.9,0.0,0.1,0.5,0.6,0.4,0.8,0.0,1.0
110371958,0.2,0.9,0.9,1.0,0.0,0.8,0.5,1.0,0.9,0.7,0.1,1.0,1.0,1.0,1.0,1.0
226605615,0.4,0.1,1.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
123469601,0.6,1.0,0.9,1.0,0.0,0.9,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0
255513606,0.0,0.3,0.3,0.7,0.0,0.3,0.0,0.6,0.0,0.1,0.0,0.1,0.2,0.0,0.0,0.0
283375085,0.0,0.3,0.5,1.0,0.3,1.0,0.8,1.0,0.1,0.7,0.3,1.0,0.6,1.0,1.0,1.0
293029633,0.0,0.8,1.0,1.0,0.0,0.3,0.0,1.0,0.1,0.7,0.0,0.5,0.9,1.0,0.4,0.9
940663376,0.0,1.0,0.2,1.0,0.2,0.9,0.8,1.0,0.0,1.0,1.0,1.0,0.5,0.4,0.4,0.9
101248502,0.4,0.5,1.0,1.0,0.3,0.8,0.9,1.0,1.0,1.0,0.9,1.0,1.0,1.0,0.9,1.0
103098579,0.4,1.0,0.4,0.7,0.0,0.0,0.3,0.6,0.7,1.0,0.5,0.7,1.0,1.0,1.0,1.0
106024162,0.3,0.0,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106937217,0.1,0.4,0.6,0.8,0.3,0.2,0.1,0.4,0.7,1.0,0.1,0.0,0.7,0.7,0.0,0.0
107951886,0.2,0.0,0.6,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108449512,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108880206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109267352,0.6,1.0,0.5,1.0,0.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0
111676720-1,0.4,0.2,0.9,0.9,0.9,0.9,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0
111676720-2,0.0,0.6,0.1,0.3,0.1,0.3,0.0,0.1,0.7,1.0,0.4,0.1,1.0,0.8,0.4,0.3
120119190-1,0.7,1.0,1.0,1.0,0.9,0.9,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
120119190-2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.3
121745354,0.0,0.9,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
121963756,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132844915,0.9,0.8,1.0,1.0,0.8,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
135177634,0.7,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
136224686,0.2,0.5,0.6,1.0,0.0,0.0,0.7,0.9,1.0,1.0,0.9,1.0,0.8,1.0,1.0,1.0
138743598,0.4,0.9,0.5,0.9,0.6,0.7,0.7,1.0,0.9,0.9,1.0,1.0,0.2,0.6,0.9,0.8
147349705,0.0,0.0,1.0,0.4,0.0,0.0,0.6,0.6,0.8,0.1,0.2,0.5,1.0,1.0,1.0,1.0
149612320-1,0.9,1.0,1.0,1.0,0.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
149612320-2,0.7,0.8,1.0,0.9,0.5,0.7,0.9,1.0,1.0,0.5,1.0,1.0,1.0,0.6,1.0,1.0
149612320-3,0.9,1.0,0.5,0.7,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,0.9
151056735,0.0,0.5,0.6,1.0,0.0,0.0,0.0,0.6,0.3,1.0,0.0,0.2,1.0,1.0,0.4,1.0
151159190-1,0.8,1.0,0.5,0.9,0.6,0.8,1.0,1.0,0.6,0.6,1.0,1.0,0.0,1.0,1.0,1.0
151159190-2,0.6,1.0,0.9,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0
151159190-3,0.8,0.9,0.9,1.0,0.9,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
157434690,0.7,0.4,0.9,1.0,0.0,0.4,0.7,0.8,1.0,0.9,0.9,0.9,0.8,1.0,0.1,0.1
157709950,0.3,0.2,0.6,0.9,0.5,0.1,0.5,0.3,0.3,0.3,1.0,1.0,0.3,0.7,0.1,0.0
160743148,0.6,0.4,1.0,0.9,0.3,0.7,0.7,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
162096458,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0
253297541,0.1,0.3,0.6,0.6,0.0,0.0,0.0,0.7,0.6,0.8,0.0,0.9,0.5,0.5,0.0,1.0
253297541-2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273752476,0.0,0.0,0.5,0.8,0.0,0.0,0.5,0.7,0.0,0.0,0.0,0.1,0.9,0.7,0.2,1.0
302735597,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.9,0.3,0.1,0.3
310643525,0.0,0.1,0.2,0.7,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.2,0.0,0.0
310701654,0.0,0.0,0.7,0.4,0.0,0.0,0.0,0.5,0.1,0.1,0.0,0.3,0.2,0.8,0.0,0.4
323781751,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0
329063214,0.2,0.1,0.8,1.0,0.0,0.2,0.8,1.0,0.4,0.7,1.0,1.0,0.8,0.9,0.5,0.9
338938979,0.9,0.3,0.8,0.0,0.8,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.4,0.4,0.0,0.0
365351831,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.7
481604864,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
514950901-1,0.1,0.6,0.8,1.0,0.1,0.2,0.4,0.3,0.7,1.0,0.9,0.9,1.0,0.5,0.2,0.0
514950901-2,0.2,0.7,0.7,1.0,0.1,0.2,0.9,0.9,0.8,0.9,1.0,0.8,1.0,1.0,0.7,1.0
543577582,0.3,0.8,0.7,0.8,0.5,1.0,0.9,1.0,1.0,1.0,0.7,0.9,1.0,1.0,0.9,1.0
750549015,0.1,0.6,1.0,1.0,0.0,0.1,0.2,1.0,0.7,1.0,0.1,1.0,1.0,1.0,0.9,1.0
113826403,1.0,1.0,0.9,1.0,0.7,0.4,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
120507295,0.0,0.0,0.9,0.7,0.0,0.0,0.0,0.0,0.1,0.7,0.0,0.0,1.0,1.0,0.5,0.4
121745354-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122000300,0.0,0.2,0.2,0.4,0.0,0.4,0.0,0.7,0.0,0.6,0.0,0.2,0.0,1.0,0.0,0.9
131131207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138548946,0.6,0.9,0.0,0.6,0.1,0.2,0.1,0.7,0.0,0.0,0.0,0.1,0.6,0.5,1.0,0.8
142885391,0.0,0.1,0.4,0.4,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.5,0.7,0.0,0.0
143360930,0.4,0.3,0.8,0.4,0.0,0.4,0.1,0.6,1.0,0.9,0.1,0.0,0.4,0.9,0.0,0.0
147354242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149483118,0.3,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.0,0.0,0.2,0.0,0.5
162319649-1,0.7,0.5,0.9,0.9,0.9,0.7,0.9,1.0,0.6,0.9,1.0,1.0,0.9,1.0,0.4,0.2
162319649-2,0.8,0.8,0.9,1.0,1.0,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
162319649-3,0.7,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
165790004-1,0.9,1.0,0.9,0.9,0.8,0.9,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,0.9,1.0
165790004-2,0.9,0.9,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
165790004-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,1.0,1.0,0.0,0.7
168073359-1,0.5,0.9,1.0,1.0,0.2,0.5,1.0,1.0,1.0,1.0,0.8,0.3,1.0,1.0,1.0,1.0
168073359-2,0.5,0.9,1.0,1.0,0.4,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
168584084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169833271,1.0,0.9,0.9,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
