ID,llama4_python_no-tool,llama4_python_tool,llama4_sql_no-tool,llama4_sql_tool,qwen3-8b_python_no-tool,qwen3-8b_python_tool,qwen3-8b_sql_no-tool,qwen3-8b_sql_tool,deepseek-v4-pro_python_no-tool,deepseek-v4-pro_python_tool,deepseek-v4-pro_sql_no-tool,deepseek-v4-pro_sql_tool,mistral-large-3_python_no-tool,mistral-large-3_python_tool,mistral-large-3_sql_no-tool,mistral-large-3_sql_tool,gpt-oss-120b_python_no-tool,gpt-oss-120b_python_tool,gpt-oss-120b_sql_no-tool,gpt-oss-120b_sql_tool,kimi-k2-6_python_no-tool,kimi-k2-6_python_tool,kimi-k2-6_sql_no-tool,kimi-k2-6_sql_tool
277309008,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.7,0.4,0.3,0.1,0.0,0.0,0.2,0.0,0.1,0.0,0.1,1.0,0.9,0.0,0.0
229334275,0.1,0.4,0.0,1.0,0.0,0.1,0.0,0.0,0.7,0.9,0.2,0.0,0.0,1.0,0.1,0.9,0.0,0.2,0.0,0.8,0.0,0.7,0.2,0.0
254957695,0.5,1.0,0.1,1.0,0.0,1.0,0.1,1.0,0.0,0.0,0.6,1.0,0.0,0.7,0.3,1.0,0.0,0.7,0.0,1.0,0.0,0.0,0.5,0.7
296511271,0.2,0.8,0.0,0.2,0.0,0.9,0.0,0.0,0.7,0.7,0.2,0.5,0.1,1.0,0.9,1.0,0.0,0.3,0.0,0.8,0.8,0.9,0.9,1.0
554151827,0.8,0.6,0.9,1.0,0.2,0.0,0.1,0.0,1.0,1.0,0.8,1.0,0.5,0.2,0.6,0.0,0.0,0.2,0.2,0.8,1.0,1.0,0.2,0.2
280113507-1,0.8,0.6,0.9,1.0,0.7,0.0,0.4,0.7,1.0,1.0,0.2,0.1,0.4,1.0,1.0,0.8,0.0,0.5,0.1,0.8,1.0,1.0,0.5,0.0
280113507-2,0.7,1.0,1.0,0.6,1.0,0.4,1.0,1.0,0.3,1.0,0.0,0.1,0.6,1.0,0.8,1.0,0.0,0.8,0.1,0.9,0.9,0.9,0.2,0.2
280113507-3,0.2,0.6,0.0,0.0,0.1,0.2,0.2,0.1,0.9,1.0,0.4,0.5,0.0,0.8,0.3,1.0,0.2,0.7,0.0,0.7,0.9,0.9,0.2,0.0
280113507-4,0.0,0.3,0.0,0.2,0.0,0.1,0.0,0.3,1.0,1.0,0.2,0.4,0.0,0.9,0.0,0.6,0.0,0.4,0.0,0.6,0.8,0.8,0.0,0.0
244046227,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.8,1.0,0.6,0.6,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.4,1.0,0.8,0.0,0.0
311026747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.3,0.9,0.0,0.0
170685166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,0.9,1.0,0.1,0.0,1.0,0.6,0.0,0.0,0.0,0.6,1.0,1.0,0.7,0.7
101102807,0.5,0.8,0.9,1.0,0.2,0.0,0.3,0.9,1.0,0.9,0.1,0.4,1.0,1.0,0.2,0.1,0.0,0.5,0.1,0.5,1.0,1.0,0.7,0.5
194321012,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.3,0.1,0.1,0.0,0.0
195439535-1,0.8,0.9,0.9,0.8,0.0,0.0,0.3,0.1,0.2,0.1,0.3,0.5,1.0,0.6,1.0,0.6,0.0,0.5,0.1,0.7,0.1,0.6,0.8,0.6
103904845,0.1,0.3,0.4,0.0,0.3,0.2,0.2,0.0,0.8,0.9,0.7,0.2,1.0,0.8,0.9,0.2,0.1,0.5,0.0,0.4,1.0,1.0,0.0,0.5
181749291-1,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.0,1.0,1.0,0.6,0.6,0.4,0.8,0.2,0.7,0.1,0.0,0.0,0.1,0.9,0.9,0.3,0.5
138368400,0.5,0.1,0.8,0.1,0.3,0.0,0.2,0.1,0.7,1.0,0.4,0.5,0.1,0.0,0.3,0.5,0.0,0.2,0.0,0.6,0.6,0.9,0.1,0.5
159612708,0.3,0.5,0.7,1.0,0.9,0.0,0.4,0.7,1.0,1.0,0.6,0.5,0.7,0.9,1.0,1.0,0.0,0.3,0.7,0.9,1.0,1.0,0.0,0.5
196073081,0.4,0.9,0.8,0.1,0.0,0.0,0.7,1.0,1.0,1.0,0.2,0.7,0.9,1.0,1.0,1.0,0.1,0.6,0.1,0.7,1.0,1.0,0.2,0.9
119569203-1,0.1,0.0,0.1,0.4,0.0,0.0,0.1,0.5,0.0,0.1,0.0,0.3,0.1,0.9,0.6,1.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.7
254342705,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.1,0.5,0.0,0.7,0.2,0.2,0.0,0.1,0.0,0.7,0.3,0.9,0.1,0.6
108574001,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132725207-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0
132725207-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144879316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148631860,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.4,0.9,0.3,0.5,0.0,0.3,0.0,0.1,0.5,1.0,0.3,0.0
