ID,sft_python_no-tool,rft_python_no-tool,sft_python_tool,rft_python_tool,sft_sql_no-tool,rft_sql_no-tool,sft_sql_tool,rft_sql_tool,abl_no_partial_credit_python_tool,abl_no_syntax_penalty_python_tool,abl_binary_reward_python_tool
277309008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000
229334275,0.2,0.4,0.4,0.4,0.0,0.0,0.1,0.3,0.6,0.5000,0.1000
254957695,0.2,0.0,0.8,0.5,0.4,0.5,0.9,0.9,0.8,0.8000,0.6000
296511271,0.4,0.6,0.0,0.5,0.0,0.0,0.6,0.7,0.3,0.2000,0.1000
554151827,0.0,0.2,0.4,0.3,0.2,0.4,0.1,0.1,0.2,0.0000,0.2000
280113507-1,0.4,0.3,0.6,0.3,0.6,0.8,0.9,0.7,0.0,0.1000,0.2000
280113507-2,0.8,0.5,0.7,0.9,0.9,1.0,1.0,1.0,0.6,0.8000,0.9000
280113507-3,0.3,0.0,0.3,0.2,0.0,0.5,0.3,0.5,0.3,0.2000,0.2000
280113507-4,0.3,0.7,0.1,0.1,0.0,0.0,0.2,0.2,0.2,0.1000,0.4000
244046227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000
311026747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000
170685166,0.0,0.1,0.0,0.0,0.0,0.1,0.3,0.4,0.1,0.0000,0.0000
101102807,0.2,0.3,0.1,0.0,0.8,0.5,0.9,1.0,0.2,0.1000,0.0000
194321012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000
195439535-1,0.1,0.4,0.0,0.0,0.6,0.8,0.1,0.9,0.0,0.0000,0.0000
103904845,0.7,0.4,0.3,0.2,0.3,0.1,0.1,0.4,0.0,0.0000,0.2000
181749291-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000
138368400,0.0,0.2,0.1,0.1,0.2,0.3,0.4,0.7,0.1,0.2000,0.0000
159612708,0.8,0.8,0.0,0.0,1.0,1.0,0.8,0.7,0.0,0.0000,0.0000
196073081,0.3,0.3,0.7,0.7,1.0,0.8,0.8,1.0,0.6,0.5000,0.8000
119569203-1,0.0,0.0,0.0,0.0,0.1,0.0,0.4,0.8,0.1,0.0000,0.0000
254342705,0.3,0.0,0.2,0.1,0.0,0.0,0.0,0.1,0.0,0.2000,0.1000
108574001,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.2,0.9,0.9000,0.0000
132725207-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000
132725207-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000
144879316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0000,0.0000
148631860,0.0,0.1,0.5,0.3,0.0,0.0,0.0,0.1,0.4,0.2000,0.5000
107157327,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000
110371958,0.0,0.0,0.2,0.4,0.0,0.0,0.2,0.2,0.2,0.0000,0.3000
226605615,0.0,0.1,0.5,0.5,0.0,0.0,0.0,0.1,0.0,0.0000,0.0000
123469601,0.5,0.8,0.0,0.0,0.0,0.0,0.2,0.3,0.3,0.3000,0.4000
255513606,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0000,0.0000
283375085,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.1000,0.3000
293029633,0.0,0.0,0.3,0.5,0.0,0.0,0.0,0.0,0.3,0.1000,0.5000
940663376,0.0,0.0,0.1,0.1,0.0,0.0,0.8,1.0,0.1,0.1000,0.3000
101248502,0.4,0.2,0.5,0.7,0.4,0.2,0.7,0.9,0.4,0.6000,0.6000
103098579,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.6,0.2,0.1000,0.1000
106024162,0.3,0.6,0.1,0.2,0.0,0.0,0.1,0.1,0.0,0.2000,0.0000
106937217,0.0,0.0,0.1,0.3,0.1,0.0,0.2,0.0,0.0,0.0000,0.2000
107951886,0.0,0.0,0.4,0.2,0.1,0.0,0.5,0.8,0.0,0.3000,0.0000
108449512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000
108880206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000
109267352,0.1,0.0,0.6,0.7,0.6,0.9,0.0,0.4,0.8,0.7000,0.7000
111676720-1,0.5,0.4,0.0,0.1,0.7,0.5,0.8,0.9,0.2,0.0000,0.2000
111676720-2,0.0,0.0,0.2,0.1,0.1,0.0,0.1,0.1,0.0,0.0000,0.1000
120119190-1,0.5,0.4,1.0,1.0,0.8,0.9,1.0,1.0,0.1,0.0000,1.0000
120119190-2,0.2,0.6,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1000,0.1000
121745354,0.2,0.2,0.4,0.2,0.0,0.0,0.0,0.0,0.4,0.3000,0.3000
121963756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000
132844915,0.5,0.7,0.8,0.9,1.0,0.7,1.0,1.0,0.9,0.8000,0.9000
