id,infly_sql,infly_python,xiyan_sql,xiyan_python,databao,ktx,kwai_autosql_32b_sql,kwai_autosql_32b_python,kwai_autosql_14b_sql,kwai_autosql_14b_python
277309008,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000
229334275,0.0,0.0,0.0,0.0,0.0,0.9,0.0000,0.1000,0.0000,0.0000
254957695,0.0,0.1,0.2,0.1,0.6,1.0,0.2000,0.5000,0.0000,0.1000
296511271,0.0,0.0,0.0,0.0,0.1,0.7,0.0000,0.0000,0.0000,0.0000
554151827,0.0,0.0,0.0,0.0,0.8,0.5,0.0000,0.0000,0.0000,0.0000
280113507-1,0.2,0.1,0.0,0.2,0.7,0.8,0.8000,0.2000,0.4000,0.3000
280113507-2,0.3,0.3,1.0,1.0,0.5,0.9,0.1000,0.4000,0.6000,0.1000
280113507-3,0.0,0.0,0.0,0.0,0.1,0.0,0.0000,0.0000,0.0000,0.0000
280113507-4,0.0,0.0,0.0,0.0,0.0,0.1,0.0000,0.0000,0.0000,0.0000
244046227,0.0,0.0,0.0,0.0,0.4,0.0,0.0000,0.0000,0.0000,0.0000
311026747,0.0,0.0,0.0,0.0,0.2,0.0,0.0000,0.0000,0.0000,0.0000
170685166,0.0,0.0,0.0,0.0,1.0,0.1,0.5000,0.0000,0.6000,0.0000
101102807,0.3,0.0,0.2,0.6,0.0,0.7,1.0000,0.2000,0.3000,0.1000
194321012,0.0,0.0,0.0,0.0,0.0,0.1,0.0000,0.1000,0.0000,0.0000
195439535-1,0.0,0.1,0.2,0.0,0.0,0.7,0.0000,0.0000,0.6000,0.0000
103904845,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.2000,0.0000,0.1000
181749291-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000
138368400,0.0,0.1,0.0,0.0,0.6,0.4,0.3000,0.3000,0.0000,0.0000
159612708,0.8,0.7,0.4,0.2,0.3,1.0,1.0000,0.2000,1.0000,0.1000
196073081,0.0,0.1,0.1,0.0,1.0,0.4,0.2000,0.1000,0.0000,0.2000
119569203-1,0.0,0.0,0.0,0.0,0.3,0.1,0.0000,0.0000,0.0000,0.0000
254342705,0.0,0.1,0.0,0.1,0.1,0.1,0.0000,0.1000,0.0000,0.0000
