Date,30 year rate,15 year rate
2018-07-01 00:00:00.000,0.044,0.035
2018-07-02 00:00:00.000,0.044,0.035
2018-07-03 00:00:00.000,0.041,0.035
2018-07-04 00:00:00.000,0.044,0.035
2018-07-05 00:00:00.000,0.04,0.032
2018-07-06 00:00:00.000,0.044,0.032
2018-07-07 00:00:00.000,0.043,0.032
2018-07-08 00:00:00.000,0.04,0.031
2018-07-09 00:00:00.000,0.041,0.035
2018-07-10 00:00:00.000,0.045,0.031
2018-07-11 00:00:00.000,0.04,0.03
2018-07-12 00:00:00.000,0.041,0.031
2018-07-13 00:00:00.000,0.04,0.03
2018-07-14 00:00:00.000,0.041,0.034
2018-07-15 00:00:00.000,0.045,0.035
2018-07-16 00:00:00.000,0.045,0.035
2018-07-17 00:00:00.000,0.042,0.033
2018-07-18 00:00:00.000,0.045,0.031
2018-07-19 00:00:00.000,0.043,0.032
2018-07-20 00:00:00.000,0.042,0.035
2018-07-21 00:00:00.000,0.044,0.034
2018-07-22 00:00:00.000,0.042,0.031
2018-07-23 00:00:00.000,0.045,0.035
2018-07-24 00:00:00.000,0.041,0.03
2018-07-25 00:00:00.000,0.04,0.031
2018-07-26 00:00:00.000,0.044,0.031
2018-07-27 00:00:00.000,0.045,0.032
2018-07-28 00:00:00.000,0.045,0.03
2018-07-29 00:00:00.000,0.042,0.033
2018-07-30 00:00:00.000,0.041,0.03
2018-07-31 00:00:00.000,0.045,0.032
2018-08-01 00:00:00.000,0.043,0.031
2018-08-02 00:00:00.000,0.04,0.033
2018-08-03 00:00:00.000,0.041,0.033
2018-08-04 00:00:00.000,0.043,0.035
2018-08-05 00:00:00.000,0.044,0.032
2018-08-06 00:00:00.000,0.042,0.032
2018-08-07 00:00:00.000,0.04,0.03
2018-08-08 00:00:00.000,0.044,0.03
2018-08-09 00:00:00.000,0.042,0.032
2018-08-10 00:00:00.000,0.044,0.034
2018-08-11 00:00:00.000,0.042,0.03
2018-08-12 00:00:00.000,0.04,0.034
2018-08-13 00:00:00.000,0.043,0.03
2018-08-14 00:00:00.000,0.043,0.031
2018-08-15 00:00:00.000,0.044,0.032
2018-08-16 00:00:00.000,0.041,0.033
2018-08-17 00:00:00.000,0.043,0.033
2018-08-18 00:00:00.000,0.044,0.035
2018-08-19 00:00:00.000,0.04,0.034
2018-08-20 00:00:00.000,0.04,0.031
2018-08-21 00:00:00.000,0.044,0.03
2018-08-22 00:00:00.000,0.045,0.03
2018-08-23 00:00:00.000,0.044,0.033
2018-08-24 00:00:00.000,0.041,0.034
2018-08-25 00:00:00.000,0.04,0.033
2018-08-26 00:00:00.000,0.045,0.031
2018-08-27 00:00:00.000,0.044,0.035
2018-08-28 00:00:00.000,0.04,0.032
2018-08-29 00:00:00.000,0.043,0.034
2018-08-30 00:00:00.000,0.042,0.035
2018-08-31 00:00:00.000,0.042,0.031
2018-09-01 00:00:00.000,0.044,0.035
2018-09-02 00:00:00.000,0.042,0.034
2018-09-03 00:00:00.000,0.04,0.035
2018-09-04 00:00:00.000,0.04,0.032
2018-09-05 00:00:00.000,0.04,0.034
2018-09-06 00:00:00.000,0.044,0.035
2018-09-07 00:00:00.000,0.041,0.032
2018-09-08 00:00:00.000,0.044,0.035
2018-09-09 00:00:00.000,0.045,0.035
2018-09-10 00:00:00.000,0.042,0.032
2018-09-11 00:00:00.000,0.045,0.031
2018-09-12 00:00:00.000,0.041,0.031
2018-09-13 00:00:00.000,0.042,0.031
2018-09-14 00:00:00.000,0.045,0.034
2018-09-15 00:00:00.000,0.04,0.032
2018-09-16 00:00:00.000,0.044,0.032
2018-09-17 00:00:00.000,0.04,0.033
2018-09-18 00:00:00.000,0.045,0.031
2018-09-19 00:00:00.000,0.041,0.033
2018-09-20 00:00:00.000,0.045,0.034
2018-09-21 00:00:00.000,0.04,0.032
2018-09-22 00:00:00.000,0.04,0.03
2018-09-23 00:00:00.000,0.042,0.033
2018-09-24 00:00:00.000,0.045,0.031
2018-09-25 00:00:00.000,0.042,0.033
2018-09-26 00:00:00.000,0.043,0.031
2018-09-27 00:00:00.000,0.044,0.033
2018-09-28 00:00:00.000,0.045,0.032
2018-09-29 00:00:00.000,0.045,0.032
2018-09-30 00:00:00.000,0.043,0.035
