Country,Inflation Factor
"Afghanistan",
"Albania",
"Angola",
"Antigua and Barbuda",
"Armenia",
"Azerbaijan",
"Bahrain",
"Belarus",
"Bhutan",
"Bosnia and Herzegovina",
"Bulgaria",
"Cambodia",
"Cape Verde",
"Comoros",
"Croatia",
"Cyprus",
"Czech Republic",
"Djibouti",
"Dominica",
"Equatorial Guinea",
"Eritrea",
"Estonia",
"Ethiopia",
"Grenada",
"Guinea",
"Haiti",
"Hungary",
"Iceland",
"Jordan",
"Kazakhstan",
"Kyrgyz Republic",
"Lao",
"Latvia",
"Lebanon",
"Libya",
"Lithuania",
"Macedonia, FYR",
"Maldives",
"Marshall Islands",
"Mauritius",
"Micronesia, Fed. Sts.",
"Moldova",
"Mongolia",
"Montenegro",
"Mozambique",
"Namibia",
"Nauru",
"Palau",
"Palestine",
"Poland",
"Qatar",
"Romania",
"Russia",
"Samoa",
"San Marino",
"Sao Tome and Principe",
"Serbia",
"Slovak Republic",
"Slovenia",
"Solomon Islands",
"South Sudan",
"St. Kitts and Nevis",
"St. Lucia",
"Suriname",
"Switzerland",
"Tajikistan",
"Tanzania",
"Timor-Leste",
"Tonga",
"Turkmenistan",
"Tuvalu",
"Uganda",
"Ukraine",
"United Arab Emirates",
"Uzbekistan",
"Vanuatu",
"Vietnam",
"Yemen",
"Algeria",2.8023093739394187
"Andorra",4.2536825600630088
"Argentina",110432.91186986202
"Australia",2.7827518943873062
"Austria",1.6826966558944687
"Bahamas",1.8787656140917075
"Bangladesh",3.3848483367719608
"Barbados",2.4670566987755689
"Belgium",1.8682720894166829
"Belize",1.6089595040142044
"Benin",2.5515533088677111
"Bolivia",418.31390620722675
"Botswana",2.6738075886315356
"Brazil",380.95460341016059
"Brunei",2.2493499198753124
"Burkina Faso",2.5558301095866627
"Burundi",3.0585110328057366
"Cameroon",2.809081942395701
"Canada",2.2067171391710554
"Central African Republic",3.7234205740550834
"Chad",2.4139727152246429
"Chile",170.39565949194349
"China",1.1806041780728052
"Colombia",8.3186304725424343
"Congo, Dem. Rep.",61.545945577409967
"Congo, Rep.",3.0365147055474955
"Costa Rica",11.853205538163634
"Cote d'Ivoire",3.1440529827855466
"Cuba",1.1834669122534844
"Denmark",2.3774077012458643
"Dominican Republic",2.3142732143353291
"Ecuador",1.7132550872800354
"Egypt",2.9093991935198025
"El Salvador",2.4774491707507926
"Fiji",2.2126283514171825
"Finland",2.5644657146281982
"France",2.7142872706804146
"Gabon",3.274329681843315
"Gambia",2.3671756205841188
"Georgia",1.1290908684181054
"Germany",1.4641190304438776
"Ghana",67.857942586372161
"Greece",5.5545967037651662
"Guatemala",2.3407937169913375
"Guinea-Bissau",3.23309783498795
"Guyana",2.125216484649104
"Honduras",2.1253733471417382
"India",2.0421444980497148
"Indonesia",4.3048710418571678
"Iran",6.5262499440042765
"Iraq",2.0533021353480176
"Ireland",3.778962924422498
"Israel",977.941090876452
"Italy",4.6087602082980883
"Jamaica",4.8764995267025926
"Japan",1.5021904472977574
"Kenya",2.826652965499024
"Kiribati",2.1845239109630334
"Kuwait",2.099593207975107
"Lesotho",3.0603517662987256
"Liberia",1.7726011556609904
"Liechtenstein",1.4730175120792617
"Luxembourg",1.7985797599374767
"Madagascar",3.7299604421165617
"Malawi",2.5934355546275638
"Malaysia",1.7671354015927307
"Mali",3.098914015853488
"Malta",1.6016554291699128
"Mauritania",2.2330073528703758
"Mexico",20.485165188053774
"Monaco",2.6856432723222503
"Morocco",2.4021959752846134
"Myanmar",1.5899255337220104
"Nepal",2.2564673179700834
"Netherlands",1.6798503818927073
"New Zealand",3.6535729484229811
"Nicaragua",4.8720331037089339
"Niger",2.5425887576263428
"Nigeria",3.575869110478358
"Norway",2.2867839401737315
"Oman",1.8673287876593303
"Pakistan",2.6620325408890495
"Panama",1.8445029887070949
"Papua New Guinea",2.0907952856830083
"Paraguay",3.4064534358838143
"Peru",101.55432440831423
"Philippines",3.9054810282841093
"Portugal",6.6510327918501275
"Rwanda",3.2094903664953409
"Saudi Arabia",3.1414108556490339
"Senegal",2.3482415504321428
"Seychelles",3.0795333835507095
"Sierra Leone",3.9394703524061923
"Singapore",1.4686939657316793
"Somalia",13.22532398824147
"South Africa",3.5580212757783651
"South Korea",4.1997190283252683
"Spain",4.2536825600630088
"Sri Lanka",3.8899348365254096
"St. Vincent and the Grenadines",3.3772819955904487
"Sudan",6.8641769639513681
"Swaziland",2.4655798506640303
"Sweden",2.601771830797055
"Syria",2.6474293670046034
"Thailand",1.8436972750844274
"Togo",1.9313525575538146
"Trinidad and Tobago",3.6539381994119582
"Tunisia",2.4468439409183951
"Turkey",30.267730295358866
"United Kingdom",3.3173930752003455
"United States",1.9324770080580247
"Uruguay",56.005950279004821
"Venezuela",2.8499713050650772
"Zambia",2.6225170419707897
"Zimbabwe",1.3127922673115413
