Year,Argentina,Decade
"1961",20.3,
"1962",28.9,
"1963",25.6,
"1964",28.8,
"1965",21.2,
"1966",25.6,
"1967",29,
"1968",10.3,
"1969",7.8,
"1970",6.47,1970
"1971",31.3,1970
"1972",64.2,1970
"1973",65.5,1970
"1974",30.6,1970
"1975",198,1970
"1976",438,1970
"1977",159,1970
"1978",161,1970
"1979",147,1970
"1980",90.8,1980
"1981",106,1980
"1982",208,1980
"1983",382,1980
"1984",607,1980
"1985",626,1980
"1986",74.5,1980
"1987",127,1980
"1988",388,1980
"1989",3060,1980
"1990",2080,1990
"1991",133,1990
"1992",11.9,1990
"1993",-1.47,1990
"1994",2.85,1990
"1995",3.17,1990
"1996",-0.0524,1990
"1997",-0.464,1990
"1998",-1.71,1990
"1999",-1.84,1990
"2000",1.04,2000
"2001",-1.1,2000
"2002",30.6,2000
"2003",10.5,2000
"2004",18.4,2000
"2005",10.3,2000
"2006",13.7,2000
"2007",14.9,2000
"2008",23.2,2000
"2009",15.4,2000
"2010",20.9,2010
"2011",23.7,2010
"2012",22.3,2010
"2013",23.9,2010
"2014",40.3,2010
"2015",26.6,2010
"2016",40.1,2010
"2017",25.3,2010
