Row ID,Sales,Quantity,Discount,Profit,Sale ID
2,731.94,3,0,219.582,2
25,1044.63,3,0,240.2649,25
27,90.57,3,0,11.7741,27
48,45,3,0,4.95,48
65,146.73,3,0,68.9631,65
72,19.05,3,0,8.763,72
81,16.74,3,0,8.0352,81
90,20.1,3,0,6.633,90
94,53.34,3,0,16.5354,94
118,787.53,3,0,165.3813,118
120,47.04,3,0,18.3456,120
130,238.56,3,0,26.2416,130
134,20.04,3,0,9.6192,134
142,8.82,3,0,2.3814,142
143,10.86,3,0,5.1042,143
144,143.7,3,0,68.976,144
145,839.43,3,0,218.2518,145
149,149.97,3,0,5.9988,149
157,6.63,3,0,1.7901,157
172,20.94,3,0,9.8418,172
198,46.26,3,0,12.0276,198
259,20.37,3,0,6.9258,259
260,221.55,3,0,6.6465,260
273,5.28,3,0,2.3232,273
301,56.91,3,0,27.3168,301
306,9.84,3,0,2.8536,306
307,45.48,3,0,20.9208,307
314,87.54,3,0,37.6422,314
347,7.56,3,0,3.0996,347
393,1799.97,3,0,701.9883,393
405,35.91,3,0,9.6957,405
424,32.7,3,0,8.502,424
442,194.94,3,0,23.3928,442
443,70.95,3,0,20.5755,443
445,242.94,3,0,29.1528,445
448,59.52,3,0,15.4752,448
449,161.94,3,0,9.7164,449
451,30.48,3,0,7.9248,451
452,9.84,3,0,2.8536,452
472,340.92,3,0,3.4092,472
479,40.2,3,0,19.296,479
482,9.09,3,0,1.9089,482
493,11.07,3,0,5.0922,493
508,8.34,3,0,2.1684,508
509,46.74,3,0,11.685,509
511,126.3,3,0,40.416,511
514,6.63,3,0,1.7901,514
517,51.45,3,0,13.8915,517
519,1126.02,3,0,56.301,519
533,47.94,3,0,2.397,533
539,152.94,3,0,41.2938,539
560,42.6,3,0,16.614,560
569,19.44,3,0,9.3312,569
574,14.85,3,0,4.0095,574
575,8.82,3,0,2.3814,575
588,294.93,3,0,144.5157,588
621,88.02,3,0,27.2862,621
630,13.23,3,0,6.0858,630
636,392.94,3,0,43.2234,636
641,18.84,3,0,6.0288,641
665,10.74,3,0,5.2626,665
674,61.44,3,0,16.5888,674
676,99.39,3,0,40.7499,676
686,479.97,3,0,163.1898,686
688,19.44,3,0,9.3312,688
