Category,Subcategory,ProductName,ProductKey,DateStamp,Budget Value,Column
"Accessories","Bike Racks","Hitch Rack - 4-Bike",483,2016-01-01 00:00:00.000,1131,29307836.590700004
"Accessories","Bike Racks","Hitch Rack - 4-Bike",483,2016-02-01 00:00:00.000,2635,29307836.590700004
"Accessories","Bike Racks","Hitch Rack - 4-Bike",483,2016-03-01 00:00:00.000,4134,29307836.590700004
"Accessories","Bike Racks","Hitch Rack - 4-Bike",483,2016-04-01 00:00:00.000,2179,29307836.590700004
"Accessories","Bike Racks","Hitch Rack - 4-Bike",483,2016-05-01 00:00:00.000,2637,29307836.590700004
"Accessories","Bike Racks","Hitch Rack - 4-Bike",483,2016-06-01 00:00:00.000,3279,29307836.590700004
"Accessories","Bike Racks","Hitch Rack - 4-Bike",483,2016-07-01 00:00:00.000,2218,29307836.590700004
"Accessories","Bike Racks","Hitch Rack - 4-Bike",483,2016-08-01 00:00:00.000,3287,29307836.590700004
"Accessories","Bike Racks","Hitch Rack - 4-Bike",483,2016-09-01 00:00:00.000,3885,29307836.590700004
"Accessories","Bike Racks","Hitch Rack - 4-Bike",483,2016-10-01 00:00:00.000,2484,29307836.590700004
"Accessories","Bike Racks","Hitch Rack - 4-Bike",483,2016-11-01 00:00:00.000,5441,29307836.590700004
"Accessories","Bike Racks","Hitch Rack - 4-Bike",483,2016-12-01 00:00:00.000,3551,29307836.590700004
"Accessories","Bike Stands","All-Purpose Bike Stand",486,2016-01-01 00:00:00.000,666,29307836.590700004
"Accessories","Bike Stands","All-Purpose Bike Stand",486,2016-02-01 00:00:00.000,3695,29307836.590700004
"Accessories","Bike Stands","All-Purpose Bike Stand",486,2016-03-01 00:00:00.000,2868,29307836.590700004
"Accessories","Bike Stands","All-Purpose Bike Stand",486,2016-04-01 00:00:00.000,4862,29307836.590700004
"Accessories","Bike Stands","All-Purpose Bike Stand",486,2016-05-01 00:00:00.000,3439,29307836.590700004
"Accessories","Bike Stands","All-Purpose Bike Stand",486,2016-06-01 00:00:00.000,4612,29307836.590700004
"Accessories","Bike Stands","All-Purpose Bike Stand",486,2016-07-01 00:00:00.000,2774,29307836.590700004
"Accessories","Bike Stands","All-Purpose Bike Stand",486,2016-08-01 00:00:00.000,3003,29307836.590700004
"Accessories","Bike Stands","All-Purpose Bike Stand",486,2016-09-01 00:00:00.000,2401,29307836.590700004
"Accessories","Bike Stands","All-Purpose Bike Stand",486,2016-10-01 00:00:00.000,4413,29307836.590700004
"Accessories","Bike Stands","All-Purpose Bike Stand",486,2016-11-01 00:00:00.000,3881,29307836.590700004
"Accessories","Bike Stands","All-Purpose Bike Stand",486,2016-12-01 00:00:00.000,2143,29307836.590700004
"Accessories","Bottles and Cages","Water Bottle - 30 oz.",477,2016-01-01 00:00:00.000,1892,29307836.590700004
