LeagueID,League,LeagueCountry,LeagueImageURL
"PO1","Liga NOS","Portugal","https://tmssl.akamaized.net//images/logo/normal/po1.png"
"ES1","LaLiga","Spain","https://tmssl.akamaized.net//images/logo/normal/es1.png"
"GB1","Premier League","United Kingdom","https://tmssl.akamaized.net//images/logo/normal/gb1.png"
"BE1","Jupiler Pro League","Belgium","https://tmssl.akamaized.net//images/logo/normal/be1.png"
"NL1","Eredivisie","Netherlands","https://tmssl.akamaized.net//images/logo/normal/nl1.png"
"BRA1","Série A","Brazil","https://tmssl.akamaized.net//images/logo/normal/bra1.png"
"FR1","Ligue 1","France","https://tmssl.akamaized.net//images/logo/normal/fr1.png"
"IT1","Serie A","Italy","https://tmssl.akamaized.net//images/logo/normal/it1.png"
"L1","Bundesliga","Germany","https://tmssl.akamaized.net//images/logo/normal/l1.png"
"GB2","Championship","United Kingdom","https://tmssl.akamaized.net//images/logo/normal/gb2.png"
"L2","2. Bundesliga","Germany","https://tmssl.akamaized.net//images/logo/normal/l2.png"
"SC1","Premiership","Scotland","https://tmssl.akamaized.net//images/logo/normal/sc1.png"
"AR1N","Superliga","Argentina","https://tmssl.akamaized.net//images/logo/normal/ar1n.png"
"A1","Bundesliga","Austria","https://tmssl.akamaized.net//images/logo/normal/a1.png"
"TR1","Süper Lig","Turkey","https://tmssl.akamaized.net//images/logo/normal/tr1.png"
"IT2","Serie B","Italy","https://tmssl.akamaized.net//images/logo/normal/it2.png"
"MEXA","Liga MX Apertura","Mexico","https://tmssl.akamaized.net//images/logo/normal/mexa.png"
"FR2","Ligue 2","France","https://tmssl.akamaized.net//images/logo/normal/fr2.png"
"ES2","LaLiga2","Spain","https://tmssl.akamaized.net//images/logo/normal/es2.png"
"TS1","Fortuna Liga","Czech Republic","https://tmssl.akamaized.net//images/logo/normal/ts1.png"
"DK1","Superligaen","Denmark","https://tmssl.akamaized.net//images/logo/normal/dk1.png"
"C1","Super League","Switzerland","https://tmssl.akamaized.net//images/logo/normal/c1.png"
"RU1","Premier Liga","Russia","https://tmssl.akamaized.net//images/logo/normal/ru1.png"
"MLS1","MLS","United States","https://tmssl.akamaized.net//images/logo/normal/mls1.png"
"KR1","1.HNL","Croatia","https://tmssl.akamaized.net//images/logo/normal/kr1.png"
"PL1","Ekstraklasa","Poland","https://tmssl.akamaized.net//images/logo/normal/pl1.png"
"UAE1","UAE Gulf League","United Arab Emirates","https://tmssl.akamaized.net//images/logo/normal/uae1.png"
"L3","3. Liga","Germany","https://tmssl.akamaized.net//images/logo/normal/l3.png"
"GR1","Super League 1","Greece","https://tmssl.akamaized.net//images/logo/normal/gr1.png"
"RO1","Liga 1","Romania","https://tmssl.akamaized.net//images/logo/normal/ro1.png"
"SE1","Allsvenskan","Sweden","https://tmssl.akamaized.net//images/logo/normal/se1.png"
"GB3","League One","United Kingdom","https://tmssl.akamaized.net//images/logo/normal/gb3.png"
"JAP1","J1 League","Japan","https://tmssl.akamaized.net//images/logo/normal/jap1.png"
"NO1","Eliteserien","Norway","https://tmssl.akamaized.net//images/logo/normal/no1.png"
"FI1","Veikkausliiga","Finland","https://tmssl.akamaized.net//images/logo/normal/fi1.png"
"GB4","League Two","United Kingdom","https://tmssl.akamaized.net//images/logo/normal/gb4.png"
"C2","Challenge League","Switzerland","https://tmssl.akamaized.net//images/logo/normal/c2.png"
"AUS1","A-League","Australia","https://tmssl.akamaized.net//images/logo/normal/aus1.png"
"SFA1","ABSA Premiership","South Africa","https://tmssl.akamaized.net//images/logo/normal/sfa1.png"
