ID Pedido,ID Produto,Quantidade_Vendida,Preço,Faturamento,Pedido.Data_venda
82588,14,28,16.0,448.0,2018-01-15 00:00:00.000
29675,31,31,24.0,744.0,2016-02-03 00:00:00.000
12273,23,31,24.0,744.0,2015-06-14 00:00:00.000
23077,15,63,3.5,220.5,2015-11-06 00:00:00.000
51241,31,28,24.0,672.0,2016-11-17 00:00:00.000
40952,11,69,3.0,207.0,2016-07-01 00:00:00.000
12691,12,10,16.5,165.0,2015-06-19 00:00:00.000
86002,7,17,16.5,280.5,2018-03-02 00:00:00.000
5750,22,20,22.0,440.0,2015-03-18 00:00:00.000
81498,28,72,7.5,540.0,2018-01-01 00:00:00.000
36022,6,64,20.0,1280.0,2016-04-27 00:00:00.000
37102,5,90,2.5,225.0,2016-05-12 00:00:00.000
87346,28,62,7.5,465.0,2018-03-20 00:00:00.000
314,24,91,4.5,409.5,2015-01-04 00:00:00.000
77750,23,83,24.0,1992.0,2017-11-12 00:00:00.000
61468,1,71,3.5,248.5,2017-04-05 00:00:00.000
61898,19,58,3.5,203.0,2017-04-10 00:00:00.000
79908,18,69,4.5,310.5,2017-12-10 00:00:00.000
3555,4,97,4.5,436.5,2015-02-17 00:00:00.000
58243,32,98,18.0,1764.0,2017-02-20 00:00:00.000
81551,33,21,22.0,462.0,2018-01-01 00:00:00.000
57503,9,77,7.0,539.0,2017-02-10 00:00:00.000
74331,30,12,20.0,240.0,2017-09-26 00:00:00.000
50499,17,34,4.5,153.0,2016-11-07 00:00:00.000
14290,3,95,4.0,380.0,2015-07-11 00:00:00.000
49255,14,42,16.0,672.0,2016-10-21 00:00:00.000
80044,29,71,20.0,1420.0,2017-12-12 00:00:00.000
54033,6,27,20.0,540.0,2016-12-25 00:00:00.000
26539,31,56,24.0,1344.0,2015-12-23 00:00:00.000
59013,22,60,22.0,1320.0,2017-03-02 00:00:00.000
19119,17,20,4.5,90.0,2015-09-14 00:00:00.000
4376,24,76,4.5,342.0,2015-02-28 00:00:00.000
74256,1,32,3.5,112.0,2017-09-25 00:00:00.000
46356,23,83,24.0,1992.0,2016-09-12 00:00:00.000
81088,2,95,22.5,2137.5,2017-12-26 00:00:00.000
61156,8,86,6.0,516.0,2017-04-01 00:00:00.000
86533,20,56,24.0,1344.0,2018-03-09 00:00:00.000
22194,1,92,3.5,322.0,2015-10-25 00:00:00.000
64249,2,79,22.5,1777.5,2017-05-12 00:00:00.000
4301,30,52,20.0,1040.0,2015-02-27 00:00:00.000
11423,2,64,22.5,1440.0,2015-06-02 00:00:00.000
55290,5,12,2.5,30.0,2017-01-11 00:00:00.000
70571,1,12,3.5,42.0,2017-08-06 00:00:00.000
26816,20,72,24.0,1728.0,2015-12-26 00:00:00.000
