Date,2020-12-31 00:00:00.000,2019-12-31 00:00:00.000,2018-12-31 00:00:00.000,2017-12-31 00:00:00.000,2016-12-31 00:00:00.000
Cash & Equivalents,19384,6268,3685.62,3367.91,3393.22
Cash and Short Term Investments,19384,6268,3685.62,3367.91,3393.22
"Accounts Receivable - Trade, Net",1886,1324,949.02,515.38,499.14
"Total Receivables, Net",1886,1324,949.02,515.38,499.14
Total Inventory,4101,3552,3113.45,2263.54,2067.45
Prepaid Expenses,1346,713,365.67,268.37,194.47
Total Current Assets,26717,12103,8306.31,6570.52,6259.8
"Property/Plant/Equipment, Total - Gross",29820,24985,23106.64,11751.32,6980.44
"Accumulated Depreciation, Total",-6518,-4863,-3652.22,-1723.79,-997.49
"Property/Plant/Equipment, Total - Net",23375,20199,19691.23,20491.62,15036.92
"Goodwill, Net",207.00,198.00,68.16,60.24,--
"Intangibles, Net",313,339,282.49,361.5,376.15
"Other Long Term Assets, Total",1536,1077,969.88,714.85,484.92
Total Assets,52148,34309,29739.61,28655.37,22664.08
Accounts Payable,6051,3771,3404.45,2390.25,1860.34
Accrued Expenses,2814,2091,1372.97,1324.51,1057.13
Notes Payable/Short Term Debt,0,0,0,0,0
Current Port. of  LT Debt/Capital Leases,2132,1785,2567.7,896.55,1150.15
"Other Current liabilities, Total",3251,3020,2647.02,3063.36,1759.39
Total Current Liabilities,14248,10667,9992.14,7674.67,5827.01
Long Term Debt,8513,10402,8410.49,8829.06,5978.28
Capital Lease Obligations,"1,094.00","1,232.00",993.18,589.33,--
Total Long Term Debt,9607,11634,9403.67,9418.39,5978.28
Total Debt,11739,13419,11971.37,10314.94,7128.43
Deferred Income Tax,151.00,--,--,--,--
Minority Interest,1454,1492,1390.36,1395.08,1152.21
"Other Liabilities, Total",4463,3898,4030.2,5929.99,4953.66
Total Liabilities,29923,27691,24816.37,24418.13,17911.17
"Common Stock, Total",1,0.18,0.17,0.17,0.16
Additional Paid-In Capital,27260,12736.82,10249.12,9178.02,7773.73
Retained Earnings (Accumulated Deficit),-5399,-6083,-5317.83,-4974.3,-2997.24
"Other Equity, Total",363,-36,-8.22,33.35,-23.74
Total Equity,22225,6618,4923.24,4237.24,4752.91
Total Liabilities & Shareholders' Equity,52148,34309,29739.61,28655.37,22664.08
Total Common Shares Outstanding,960,905,863.02,843.99,807.81
"Tangible Book Value per Share, Common Eq",22.61,6.72,5.3,4.52,5.42
"Other Current Assets, Total",246,192.55,155.32,105.52,22.63
Note Receivable - Long Term,393.00,421.55,456.65,506.30,--
