Date,2020-12-31 00:00:00.000,2019-12-31 00:00:00.000,2018-12-31 00:00:00.000,2017-12-31 00:00:00.000,2016-12-31 00:00:00.000
Net Income/Starting Line,862,-775,-1062.58,-2240.58,-773.05
Depreciation/Depletion,2322,2154,1901.05,1636,947.1
Non-Cash Items,2575,1375,1201.38,1040.52,395.98
Cash Taxes Paid,115,54,35.41,65.7,16.39
Cash Interest Paid,444,455,380.84,182.57,38.69
Changes in Working Capital,184,-349,57.95,-496.6,-693.86
Cash from Operating Activities,5943,2405,2097.8,-60.65,-123.83
Capital Expenditures,-3242,-1437,-2319.52,-4081.35,-1440.47
"Other Investing Cash Flow Items, Total",110,1,-17.91,-114.52,359.39
Cash from Investing Activities,-3132,-1436,-2337.43,-4195.88,-1081.09
Financing Cash Flow Items,-225,-554,188.9,547.49,160.24
"Issuance (Retirement) of Stock, Net",12686,1285,295.71,481.79,1865.55
"Issuance (Retirement) of Debt, Net",-2488,798,89.14,3385.59,1718.19
Cash from Financing Activities,9973,1529,573.76,4414.86,3743.98
Foreign Exchange Effects,334,8,-22.7,39.73,-6.55
Net Change in Cash,13118,2506,311.43,198.06,2532.51
