Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 09, 2021","677.77","680.97","669.43","677.02","677.02","21,402,600"
"Apr 08, 2021","677.38","689.55","671.65","683.80","683.80","23,924,300"
"Apr 07, 2021","687.00","691.38","667.84","670.97","670.97","26,309,400"
"Apr 06, 2021","690.30","696.55","681.37","691.62","691.62","28,271,800"
"Apr 05, 2021","707.71","708.16","684.70","691.05","691.05","41,842,800"
"Apr 01, 2021","688.37","692.42","659.42","661.75","661.75","35,206,300"
"Mar 31, 2021","646.62","672.00","641.11","667.93","667.93","33,337,300"
"Mar 30, 2021","601.75","637.66","591.01","635.62","635.62","39,432,400"
"Mar 29, 2021","615.64","616.48","596.02","611.29","611.29","28,637,000"
"Mar 26, 2021","641.87","643.82","599.89","618.71","618.71","33,778,400"
"Mar 25, 2021","613.00","645.50","609.50","640.39","640.39","39,224,900"
"Mar 24, 2021","667.91","668.02","630.11","630.27","630.27","33,795,200"
"Mar 23, 2021","675.77","677.80","657.51","662.16","662.16","30,491,900"
"Mar 22, 2021","684.59","699.62","668.75","670.00","670.00","39,512,200"
"Mar 19, 2021","646.60","657.23","624.62","654.87","654.87","42,827,400"
"Mar 18, 2021","684.29","689.23","652.00","653.16","653.16","33,224,800"
"Mar 17, 2021","656.87","703.73","651.01","701.81","701.81","40,083,300"
"Mar 16, 2021","703.35","707.92","671.00","676.88","676.88","31,903,400"
"Mar 15, 2021","694.09","713.18","684.04","707.94","707.94","29,335,600"
"Mar 12, 2021","670.00","694.88","666.14","693.73","693.73","33,583,800"
"Mar 11, 2021","699.40","702.50","677.18","699.60","699.60","36,253,900"
"Mar 10, 2021","700.30","717.85","655.06","668.06","668.06","60,605,700"
"Mar 09, 2021","608.18","678.09","595.21","673.58","673.58","67,523,300"
"Mar 08, 2021","600.55","620.13","558.79","563.00","563.00","51,787,000"
"Mar 05, 2021","626.06","627.84","539.49","597.95","597.95","89,396,500"
"Mar 04, 2021","655.80","668.45","600.00","621.44","621.44","65,919,500"
"Mar 03, 2021","687.99","700.70","651.71","653.20","653.20","30,208,000"
"Mar 02, 2021","718.28","721.11","685.00","686.44","686.44","23,732,200"
"Mar 01, 2021","690.11","719.00","685.05","718.43","718.43","27,136,200"
"Feb 26, 2021","700.00","706.70","659.51","675.50","675.50","41,089,200"
"Feb 25, 2021","726.15","737.21","670.58","682.22","682.22","39,023,900"
"Feb 24, 2021","711.85","745.00","694.17","742.02","742.02","36,767,000"
"Feb 23, 2021","662.13","713.61","619.00","698.84","698.84","66,606,900"
"Feb 22, 2021","762.64","768.50","710.20","714.50","714.50","37,269,700"
"Feb 19, 2021","795.00","796.79","777.37","781.30","781.30","18,958,300"
"Feb 18, 2021","780.90","794.69","776.27","787.38","787.38","17,957,100"
"Feb 17, 2021","779.09","799.84","762.01","798.15","798.15","25,996,500"
"Feb 16, 2021","818.00","821.00","792.44","796.22","796.22","19,802,300"
"Feb 12, 2021","801.26","817.33","785.33","816.12","816.12","23,768,300"
"Feb 11, 2021","812.44","829.88","801.73","811.66","811.66","21,622,800"
