dev_group_w_other,month,device_count,percent_device_count
"Alibaba",2020-11-01 00:00:00.000,3,0.07
"Alibaba",2020-12-01 00:00:00.000,3,0.07
"Alibaba",2021-01-01 00:00:00.000,3,0.07
"Alibaba",2021-02-01 00:00:00.000,3,0.07
"Alibaba",2021-03-01 00:00:00.000,3,0.07
"Amazon",2020-11-01 00:00:00.000,1033,25.23
"Amazon",2020-12-01 00:00:00.000,1033,25.05
"Amazon",2021-01-01 00:00:00.000,1033,24.78
"Amazon",2021-02-01 00:00:00.000,1121,25.67
"Amazon",2021-03-01 00:00:00.000,1121,25.49
"Amazon",2021-04-01 00:00:00.000,548,28.38
"Amazon",2021-05-01 00:00:00.000,556,28.45
"Amazon",2021-06-01 00:00:00.000,564,46.92
"Amazon",2021-07-01 00:00:00.000,570,48.31
"Amazon",2021-08-01 00:00:00.000,579,48.45
"Amazon",2021-09-01 00:00:00.000,573,46.55
"Amazon",2021-10-01 00:00:00.000,573,47.32
"Amazon",2021-11-01 00:00:00.000,13,2.38
"Azure",2020-11-01 00:00:00.000,40,0.98
"Azure",2020-12-01 00:00:00.000,40,0.97
"Azure",2021-01-01 00:00:00.000,40,0.96
"Azure",2021-02-01 00:00:00.000,40,0.92
"Azure",2021-03-01 00:00:00.000,40,0.91
"Azure",2021-04-01 00:00:00.000,20,1.04
"Azure",2021-05-01 00:00:00.000,20,1.02
"Azure",2021-06-01 00:00:00.000,12,1
"Azure",2021-07-01 00:00:00.000,12,1.02
"Drop",2020-11-01 00:00:00.000,12,0.29
"Drop",2020-12-01 00:00:00.000,12,0.29
"Drop",2021-01-01 00:00:00.000,13,0.31
"Drop",2021-02-01 00:00:00.000,16,0.37
"Drop",2021-03-01 00:00:00.000,16,0.36
"Drop",2021-04-01 00:00:00.000,1,0.05
"Drop",2021-05-01 00:00:00.000,1,0.05
"GCE",2020-11-01 00:00:00.000,20,0.49
"GCE",2020-12-01 00:00:00.000,20,0.48
"GCE",2021-01-01 00:00:00.000,20,0.48
"GCE",2021-02-01 00:00:00.000,39,0.89
"GCE",2021-03-01 00:00:00.000,51,1.16
"GCE",2021-04-01 00:00:00.000,30,1.55
"GCE",2021-05-01 00:00:00.000,20,1.02
"GCE",2021-06-01 00:00:00.000,23,1.91
"GCE",2021-07-01 00:00:00.000,26,2.2
"GCE",2021-08-01 00:00:00.000,23,1.92
"GCE",2021-09-01 00:00:00.000,26,2.11
"GCE",2021-10-01 00:00:00.000,26,2.15
"Narnia",2020-11-01 00:00:00.000,67,1.64
"Narnia",2020-12-01 00:00:00.000,67,1.62
"Narnia",2021-01-01 00:00:00.000,67,1.61
"Narnia",2021-02-01 00:00:00.000,67,1.53
"Narnia",2021-03-01 00:00:00.000,67,1.52
"Narnia",2021-04-01 00:00:00.000,33,1.71
"Narnia",2021-05-01 00:00:00.000,33,1.69
"Narnia",2021-06-01 00:00:00.000,20,1.66
"Narnia",2021-07-01 00:00:00.000,20,1.69
"Narnia",2021-08-01 00:00:00.000,20,1.67
"Narnia",2021-09-01 00:00:00.000,20,1.62
"Narnia",2021-10-01 00:00:00.000,20,1.65
"Narnia",2021-11-01 00:00:00.000,21,3.85
"New Building",2020-11-01 00:00:00.000,14,0.34
"New Building",2020-12-01 00:00:00.000,14,0.34
"New Building",2021-01-01 00:00:00.000,14,0.34
"New Building",2021-02-01 00:00:00.000,14,0.32
"New Building",2021-03-01 00:00:00.000,14,0.32
"New Building",2021-04-01 00:00:00.000,14,0.73
"New Building",2021-05-01 00:00:00.000,14,0.72
"New Building",2021-06-01 00:00:00.000,14,1.16
"New Building",2021-07-01 00:00:00.000,14,1.19
"New Building",2021-08-01 00:00:00.000,14,1.17
"New Building",2021-09-01 00:00:00.000,14,1.14
"New Building",2021-10-01 00:00:00.000,14,1.16
"New Building",2021-11-01 00:00:00.000,13,2.38
"New Haven",2020-11-01 00:00:00.000,300,7.33
"New Haven",2020-12-01 00:00:00.000,305,7.4
"New Haven",2021-01-01 00:00:00.000,313,7.51
"New Haven",2021-02-01 00:00:00.000,314,7.19
"New Haven",2021-03-01 00:00:00.000,318,7.23
"New Haven",2021-04-01 00:00:00.000,227,11.76
"New Haven",2021-05-01 00:00:00.000,229,11.72
"New Haven",2021-06-01 00:00:00.000,187,15.56
"New Haven",2021-07-01 00:00:00.000,189,16.02
"New Haven",2021-08-01 00:00:00.000,193,16.15
"New Haven",2021-09-01 00:00:00.000,194,15.76
"New Haven",2021-10-01 00:00:00.000,197,16.27
"New Haven",2021-11-01 00:00:00.000,193,35.35
"Test-Building",2021-06-01 00:00:00.000,1,0.08
"Test-Building",2021-07-01 00:00:00.000,1,0.08
"Test-Building",2021-09-01 00:00:00.000,14,1.14
"Test-Building",2021-10-01 00:00:00.000,14,1.16
"Undefined Loc",2020-11-01 00:00:00.000,2565,62.64
"Undefined Loc",2020-12-01 00:00:00.000,2589,62.78
"Undefined Loc",2021-01-01 00:00:00.000,2625,62.96
"Undefined Loc",2021-02-01 00:00:00.000,2712,62.1
"Undefined Loc",2021-03-01 00:00:00.000,2727,62.01
"Undefined Loc",2021-04-01 00:00:00.000,1017,52.67
"Undefined Loc",2021-05-01 00:00:00.000,1040,53.22
"Undefined Loc",2021-06-01 00:00:00.000,379,31.53
"Undefined Loc",2021-07-01 00:00:00.000,346,29.32
"Undefined Loc",2021-08-01 00:00:00.000,365,30.54
"Undefined Loc",2021-09-01 00:00:00.000,389,31.6
"Undefined Loc",2021-10-01 00:00:00.000,366,30.22
"Undefined Loc",2021-11-01 00:00:00.000,305,55.86
"West Haven",2020-11-01 00:00:00.000,41,1
"West Haven",2020-12-01 00:00:00.000,41,0.99
"West Haven",2021-01-01 00:00:00.000,41,0.98
"West Haven",2021-02-01 00:00:00.000,41,0.94
"West Haven",2021-03-01 00:00:00.000,41,0.93
"West Haven",2021-04-01 00:00:00.000,41,2.12
"West Haven",2021-05-01 00:00:00.000,41,2.1
"West Haven",2021-06-01 00:00:00.000,2,0.17
"West Haven",2021-07-01 00:00:00.000,2,0.17
"West Haven",2021-08-01 00:00:00.000,1,0.08
"West Haven",2021-09-01 00:00:00.000,1,0.08
"West Haven",2021-10-01 00:00:00.000,1,0.08
"West Haven",2021-11-01 00:00:00.000,1,0.18
