Host Last Discovered,VM Manager Name,Host Device Name,Host OS Name,Host Cores,Host Ram,VM Count Allocated,Total vCores Allocated,Total Ram Allocated,VM Count In Service,Total vCores In Service,Total Ram In Service,VMs Allocated,VMs In Service,Cores Percent Allocated,Ram Percent Allocated,Cores Percent In Service,Ram Percent In Service,Host ID
2021-02-19 05:06:20.193,"","USNHCTVH004","",1,4,2,,,2,,,"USNHCTVSAPP01 | USNHCTVSWEB02","USNHCTVSAPP01 | USNHCTVSWEB02",,,,,39
2021-02-19 05:06:20.230,"","USNHCTVH007","",1,4,1,,,1,,,"USNHCTVSSQL02","USNHCTVSSQL02",,,,,40
2021-02-19 05:06:20.270,"","USNHCTVH006","",1,4,1,,,1,,,"USNHCTVSAPP02","USNHCTVSAPP02",,,,,41
2021-02-19 05:06:20.306,"","USNHCTVH005","",1,4,1,,,1,,,"USNHCTVSSQL01","USNHCTVSSQL01",,,,,42
2021-02-19 05:06:20.346,"Device42-vAppliance.swdomain.local","USNHCTVH003","",1,4,2,,,2,,,"Device42-vAppliance.swdomain.local | USNHCTVSWEB01","Device42-vAppliance.swdomain.local | USNHCTVSWEB01",,,,,43
2021-02-19 05:06:20.740,"","USNHCTVH001","ESXi 5.5",,,1,,,1,,,"USNHCTVSDC1","USNHCTVSDC1",,,,,116
2021-02-19 05:06:21.566,"","USNHCTVH002","ESXi 5.5",,,1,,,1,,,"USNHCTVSDC2","USNHCTVSDC2",,,,,153
2021-02-19 05:06:24.490,"","nh-hyperv-02","Microsoft Hyper-V Server 2012 R2",8,16,5,8,1038,5,8,1038,"nh-apidoc-01 | nh-centos-05 | d42_555 | nh-cloudstack-02 | nh-win2k3r2-vm-","nh-apidoc-01 | nh-centos-05 | d42_555 | nh-cloudstack-02 | nh-win2k3r2-vm-",100,6487.5,100,6487.5,368
2021-02-19 05:06:29.816,"","lxc-dev","Ubuntu",1,4,2,,,2,,,"yt | lxc-priv","yt | lxc-priv",,,,,784
2021-11-12 05:13:12.603,"","esxi-003.device42.pvt","VMware ESXi",12,96,61,115,773.5,61,115,773.5,"FA_RC | cent8uq01wh4219 | sa-ubu2004 | FA_WinSrv2019 | SA-Centos4-002 | Endurance-D42 Clone | xen | SA-RHEL5-1.device42.pvt | vCenter-Device42-Lab | web-frontend-001 | solusvm | oracle-db-001 | sa-rhel5-004 | puppet | vHMC-001 | logstash-2 | cent7uq02wh4219 | ArrayIQ-3.4-1102 | D42_RC_IK_CB | logstash | splunk | windows10-d42test | web-backend-001 | SA-RHEL4-1 | ucspe.device42.pvt | Demo-AIQ | cent7uq01wh4219 | sa-saas-RC | sa-rhel-003 | kvmct01wh4219 | Hadoop | alteon-va | elasticsearch-2 | wh-stackstorm1 | Marco_test1 | d42ma-mw | BIG-IP F5 12.1.1.2.0.204 | trial-demo-rc | hbspk | win2k19wq01wh4219 | SAP-Hana | Windows NT4 | D42-Customer-WP | lab-training-rc | FA_MA | windows-2016 | D42_MA_IK_CB | sa-rhel5-003 | f5-appliance | BMC_Discovery_Eval | f5-webnode1 | D42_WDS_IK_CB | PM Usability RC | CDS Backup | SA-RHEL8-1.device42.pvt | AzureMigrateApp - Test | app-test | webapp-test | log-insight | SA-Centos5-002 | oracle12c.device42.pvt","FA_RC | cent8uq01wh4219 | sa-ubu2004 | FA_WinSrv2019 | SA-Centos4-002 | Endurance-D42 Clone | xen | SA-RHEL5-1.device42.pvt | vCenter-Device42-Lab | web-frontend-001 | solusvm | oracle-db-001 | sa-rhel5-004 | puppet | vHMC-001 | logstash-2 | cent7uq02wh4219 | ArrayIQ-3.4-1102 | D42_RC_IK_CB | logstash | splunk | windows10-d42test | web-backend-001 | SA-RHEL4-1 | ucspe.device42.pvt | Demo-AIQ | cent7uq01wh4219 | sa-saas-RC | sa-rhel-003 | kvmct01wh4219 | Hadoop | alteon-va | elasticsearch-2 | wh-stackstorm1 | Marco_test1 | d42ma-mw | BIG-IP F5 12.1.1.2.0.204 | trial-demo-rc | hbspk | win2k19wq01wh4219 | SAP-Hana | Windows NT4 | D42-Customer-WP | lab-training-rc | FA_MA | windows-2016 | D42_MA_IK_CB | sa-rhel5-003 | f5-appliance | BMC_Discovery_Eval | f5-webnode1 | D42_WDS_IK_CB | PM Usability RC | CDS Backup | SA-RHEL8-1.device42.pvt | AzureMigrateApp - Test | app-test | webapp-test | log-insight | SA-Centos5-002 | oracle12c.device42.pvt",958.3333,805.7292,958.3333,805.7292,906
