TYPE_NAME,DATA_TYPE,COLUMN_SIZE,LITERAL_PREFIX,LITERAL_SUFFIX,CREATE_PARAMS,NULLABLE,CASE_SENSITIVE,SEARCHABLE,UNSIGNED_ATTRIBUTE,FIXED_PREC_SCALE,AUTO_UNIQUE_VALUE,LOCAL_TYPE_NAME,MINIMUM_SCALE,MAXIMUM_SCALE,SQL_DATA_TYPE,SQL_DATETIME_SUB,NUM_PREC_RADIX,INTERVAL_PRECISION,USER_DATA_TYPE,ODBC Type Name
"bit",-7,1,"","","",1,0,3,,0,,"bit(1)",,,,,,,,"BIT"
"tinyint",-6,3,"","","",1,0,3,0,0,0,"tinyint",,,,,10,,,"TINYINT"
"tinyint unsigned",-6,3,"","","",1,0,3,1,0,0,"tinyint unsigned",,,,,10,,,"TINYINT"
"tinyint auto_increment",-6,3,"","","",0,0,3,0,0,1,"tinyint auto_increment",,,,,10,,,"TINYINT"
"tinyint unsigned auto_increment",-6,3,"","","",0,0,3,1,0,1,"tinyint unsigned auto_increment",,,,,10,,,"TINYINT"
"bigint",-5,19,"","","",1,0,3,0,0,0,"bigint",,,,,10,,,"BIGINT"
"bigint unsigned",-5,20,"","","",1,0,3,1,0,0,"bigint unsigned",,,,,10,,,"BIGINT"
"bigint auto_increment",-5,19,"","","",0,0,3,0,0,1,"bigint auto_increment",,,,,10,,,"BIGINT"
"bigint unsigned auto_increment",-5,20,"","","",0,0,3,1,0,1,"bigint unsigned auto_increment",,,,,10,,,"BIGINT"
"long varbinary",-4,16777215,"0x","","",1,0,3,,0,,"mediumblob",,,,,,,,"LONGVARBINARY"
"blob",-4,65535,"'","'","",1,0,3,,0,,"binary large object (0-65535)",,,,,,,,"LONGVARBINARY"
"longblob",-4,2147483647,"'","'","",1,0,3,,0,,"binary large object, use mediumblob instead",,,,,,,,"LONGVARBINARY"
"tinyblob",-4,255,"'","'","",1,0,3,,0,,"binary large object (0-255)",,,,,,,,"LONGVARBINARY"
"mediumblob",-4,16777215,"'","'","",1,0,3,,0,,"binary large object",,,,,,,,"LONGVARBINARY"
"varbinary",-3,255,"'","'","length",1,0,3,,0,,"varbinary",,,,,,,,"VARBINARY"
"binary",-2,255,"'","'","length",1,0,3,,0,,"binary",,,,,,,,"BINARY"
"long varchar",-1,16777215,"'","'","",1,0,3,,0,,"mediumtext",,,,,,,,"LONGVARCHAR"
"text",-1,65535,"'","'","",1,0,3,,0,,"text(0-65535)",,,,,,,,"LONGVARCHAR"
"mediumtext",-1,16777215,"'","'","",1,0,3,,0,,"mediumtext",,,,,,,,"LONGVARCHAR"
"longtext",-1,2147483647,"'","'","",1,0,3,,0,,"longtext",,,,,,,,"LONGVARCHAR"
"tinytext",-1,255,"'","'","",1,0,3,,0,,"tinytext",,,,,,,,"LONGVARCHAR"
"char",1,255,"'","'","length",1,0,3,,0,,"char",,,,,,,,"CHAR"
"numeric",2,19,"","","precision,scale",1,0,3,0,0,0,"numeric",0,19,,,10,,,"NUMERIC"
"decimal",3,19,"","","precision,scale",1,0,3,0,0,0,"decimal",0,19,,,10,,,"DECIMAL"
"integer",4,10,"","","",1,0,3,0,0,0,"integer",,,,,10,,,"INTEGER"
"integer unsigned",4,10,"","","",1,0,3,1,0,0,"integer unsigned",,,,,10,,,"INTEGER"
"int",4,10,"","","",1,0,3,0,0,0,"integer",,,,,10,,,"INTEGER"
"int unsigned",4,10,"","","",1,0,3,1,0,0,"integer unsigned",,,,,10,,,"INTEGER"
"mediumint",4,7,"","","",1,0,3,0,0,0,"Medium integer",,,,,10,,,"INTEGER"
"mediumint unsigned",4,8,"","","",1,0,3,1,0,0,"Medium integer unsigned",,,,,10,,,"INTEGER"
"integer auto_increment",4,10,"","","",0,0,3,0,0,1,"integer auto_increment",,,,,10,,,"INTEGER"
"integer unsigned auto_increment",4,10,"","","",0,0,3,1,0,1,"integer unsigned auto_increment",,,,,10,,,"INTEGER"
"int auto_increment",4,10,"","","",0,0,3,0,0,1,"integer auto_increment",,,,,10,,,"INTEGER"
"int unsigned auto_increment",4,10,"","","",0,0,3,1,0,1,"integer unsigned auto_increment",,,,,10,,,"INTEGER"
"mediumint auto_increment",4,7,"","","",0,0,3,0,0,1,"Medium integer auto_increment",,,,,10,,,"INTEGER"
"mediumint unsigned auto_increment",4,8,"","","",0,0,3,1,0,1,"Medium integer unsigned auto_increment",,,,,10,,,"INTEGER"
"smallint",5,5,"","","",1,0,3,0,0,0,"smallint",,,,,10,,,"SMALLINT"
"smallint unsigned",5,5,"","","",1,0,3,1,0,0,"smallint unsigned",,,,,10,,,"SMALLINT"
"smallint auto_increment",5,5,"","","",0,0,3,0,0,1,"smallint auto_increment",,,,,10,,,"SMALLINT"
"smallint unsigned auto_increment",5,5,"","","",0,0,3,1,0,1,"smallint unsigned auto_increment",,,,,10,,,"SMALLINT"
"double",6,15,"","","",1,0,3,0,0,0,"double",0,4,,,10,,,"FLOAT"
"double auto_increment",6,15,"","","",0,0,3,0,0,1,"double auto_increment",0,4,,,10,,,"FLOAT"
"float",7,7,"","","",1,0,0,0,0,0,"float",0,2,,,10,,,"REAL"
"float auto_increment",7,7,"","","",0,0,0,0,0,1,"float auto_increment",0,2,,,10,,,"REAL"
"double",8,15,"","","",1,0,3,0,0,0,"double",0,4,,,10,,,"DOUBLE"
"double auto_increment",8,15,"","","",0,0,3,0,0,1,"double auto_increment",0,4,,,10,,,"DOUBLE"
"date",91,10,"'","'","",1,0,3,,0,,"date",,,,91,,,,"TYPE_DATE"
"time",92,8,"'","'","",1,0,3,,0,,"time",,,,92,,,,"TYPE_TIME"
"year",5,4,"","","",1,0,3,0,0,0,"year",,,,,10,,,"SMALLINT"
"datetime",93,21,"'","'","",1,0,3,,0,,"datetime",0,0,,93,,,,"TYPE_TIMESTAMP"
"timestamp",93,14,"'","'","",0,0,3,,0,,"timestamp",0,0,,93,,,,"TYPE_TIMESTAMP"
"varchar",12,255,"'","'","length",1,0,3,,0,,"varchar",,,,,,,,"VARCHAR"
