Customer ID,Date of Birth,Gender,Circle Open,Circle To,Circle Current,Circle Close,Sale Line Recurrence Status,Sale Line Start Date,Sale Line End Date,Entry Date,Age,Age Group
250600,,"Female",2002-12-18 00:00:00.000,,"Yes",,"Active",2003-01-15 00:00:00.000,,2002-12-18 00:00:00.000,1,"Unknown"
392703,,"Female",2019-09-10 00:00:00.000,,"Yes",,"Active",2020-12-01 00:00:00.000,,2020-12-01 00:00:00.000,1,"Unknown"
374197,,"Female",2017-06-28 00:00:00.000,,"Yes",,"Active",2017-07-20 00:00:00.000,,2017-06-28 00:00:00.000,1,"Unknown"
120122,,"Female",2003-02-01 00:00:00.000,,"Yes",,"Active",2011-01-01 00:00:00.000,,2011-01-01 00:00:00.000,1,"Unknown"
263072,,"Female",2004-03-12 00:00:00.000,,"Yes",,"Active",2009-03-20 00:00:00.000,,2009-03-20 00:00:00.000,1,"Unknown"
261148,,"Female",2018-05-01 00:00:00.000,,"Yes",,"Active",2018-05-01 00:00:00.000,,2018-05-01 00:00:00.000,1,"Unknown"
235641,,"Female",2001-10-01 00:00:00.000,,"Yes",,"Active",2001-10-01 00:00:00.000,,2001-10-01 00:00:00.000,1,"Unknown"
380611,,"Female",2018-05-01 00:00:00.000,,"Yes",,"Active",2018-05-01 00:00:00.000,,2018-05-01 00:00:00.000,1,"Unknown"
286365,,"Female",2006-12-14 00:00:00.000,,"Yes",,"Active",2006-12-20 00:00:00.000,,2006-12-14 00:00:00.000,1,"Unknown"
286924,,"Female",2007-02-09 00:00:00.000,,"Yes",,"Active",2019-09-15 00:00:00.000,,2019-09-15 00:00:00.000,1,"Unknown"
236081,,"Female",2001-11-01 00:00:00.000,,"Yes",,"Active",2018-10-01 00:00:00.000,,2018-10-01 00:00:00.000,1,"Unknown"
375044,,"Female",2017-08-10 00:00:00.000,,"Yes",,"Active",2017-09-20 00:00:00.000,,2017-08-10 00:00:00.000,1,"Unknown"
242414,,"Female",2002-04-09 00:00:00.000,,"Yes",,"Active",2002-04-20 00:00:00.000,,2002-04-09 00:00:00.000,1,"Unknown"
266328,,"Female",2004-10-01 00:00:00.000,,"Yes",,"Active",2008-10-01 00:00:00.000,,2008-10-01 00:00:00.000,1,"Unknown"
240060,,"Female",2002-03-08 00:00:00.000,,"Yes",,"Active",2014-07-20 00:00:00.000,,2014-07-20 00:00:00.000,1,"Unknown"
288878,,"Female",2007-03-09 00:00:00.000,,"Yes",,"Active",2007-03-15 00:00:00.000,,2007-03-09 00:00:00.000,1,"Unknown"
282275,,"Female",2020-04-23 00:00:00.000,,"Yes",,"Active",2020-05-20 00:00:00.000,,2020-04-23 00:00:00.000,1,"Unknown"
