ID-Produto,variable,value
SKU-0000305,Loja,A9991
SKU-0000040,Loja,R1296
SKU-0000342,Loja,R1296
SKU-0000219,Loja,SP8822
SKU-0000156,Loja,SP8822
SKU-0000200,Loja,SP8822
SKU-0000173,Loja,S6543
SKU-0000102,Loja,SP8823
SKU-0000404,Loja,R1298
SKU-0000031,Loja,SP8821
SKU-0000073,Loja,A9990
SKU-0000169,Loja,A9990
SKU-0000141,Loja,A9990
SKU-0000356,Loja,R1297
SKU-0000382,Loja,R1295
SKU-0000056,Loja,SP8823
SKU-0000370,Loja,R1295
SKU-0000288,Loja,SP8821
SKU-0000434,Loja,R1297
SKU-0000083,Loja,SP8823
SKU-0000078,Loja,SP8823
SKU-0000133,Loja,SP8822
SKU-0000228,Loja,SP8822
SKU-0000118,Loja,SP8822
SKU-0000221,Loja,SP8822
SKU-0000383,Loja,R1295
SKU-0000080,Loja,SP8823
SKU-0000448,Loja,R1295
SKU-0000010,Loja,SP8821
SKU-0000276,Loja,SP8821
SKU-0000385,Loja,R1295
SKU-0000249,Loja,SP8822
SKU-0000423,Loja,R1295
SKU-0000114,Loja,SP8822
SKU-0000452,Loja,R1295
SKU-0000077,Loja,SP8823
SKU-0000282,Loja,P0761
SKU-0000323,Loja,R1296
SKU-0000125,Loja,SP8822
SKU-0000079,Loja,A9990
SKU-0000290,Loja,A9990
SKU-0000091,Loja,SA7761
SKU-0000186,Loja,SP8822
SKU-0000074,Loja,SP8823
SKU-0000154,Loja,A9990
SKU-0000076,Loja,SP8823
SKU-0000071,Loja,V7654
SKU-0000238,Loja,SP8822
SKU-0000415,Loja,R1295
SKU-0000299,Loja,A9991
SKU-0000262,Loja,SP8821
SKU-0000034,Loja,SP8823
SKU-0000248,Loja,A9990
SKU-0000318,Loja,R1296
SKU-0000407,Loja,R1298
SKU-0000431,Loja,R1295
SKU-0000012,Loja,A9990
SKU-0000402,Loja,R1298
SKU-0000016,Loja,A9990
SKU-0000445,Loja,R1295
SKU-0000403,Loja,R1295
SKU-0000001,Loja,SP8821
SKU-0000020,Loja,SP8821
SKU-0000295,Loja,A9991
SKU-0000375,Loja,R1295
SKU-0000057,Loja,V7654
SKU-0000193,Loja,R1296
SKU-0000393,Loja,R1295
SKU-0000303,Loja,V7654
SKU-0000210,Loja,V7654
SKU-0000306,Loja,V7654
SKU-0000389,Loja,R1295
SKU-0000026,Loja,SP8821
SKU-0000369,Loja,R1295
SKU-0000204,Loja,SP8822
SKU-0000308,Loja,R1296
SKU-0000043,Loja,A9990
SKU-0000181,Loja,SP8822
SKU-0000449,Loja,R1295
SKU-0000117,Loja,SP8822
SKU-0000363,Loja,R1297
SKU-0000332,Loja,R1296
SKU-0000297,Loja,V7654
SKU-0000023,Loja,SP8821
SKU-0000047,Loja,SP8823
SKU-0000443,Loja,R1295
SKU-0000453,Loja,R1295
SKU-0000138,Loja,A9990
SKU-0000094,Loja,SP8823
SKU-0000058,Loja,R1296
SKU-0000155,Loja,SP8822
SKU-0000025,Loja,SP8821
SKU-0000018,Loja,SP8821
SKU-0000067,Loja,SP8823
SKU-0000411,Loja,R1295
SKU-0000321,Loja,R1296
SKU-0000032,Loja,SP8821
SKU-0000085,Loja,SP8823
SKU-0000315,Loja,R1296
SKU-0000127,Loja,SP8822
SKU-0000305,ID-Vendedor,1002
SKU-0000040,ID-Vendedor,1008
SKU-0000342,ID-Vendedor,1009
SKU-0000219,ID-Vendedor,1001
SKU-0000156,ID-Vendedor,1002
SKU-0000200,ID-Vendedor,1004
SKU-0000173,ID-Vendedor,1004
SKU-0000102,ID-Vendedor,1003
SKU-0000404,ID-Vendedor,1001
SKU-0000031,ID-Vendedor,1001
SKU-0000073,ID-Vendedor,1006
SKU-0000169,ID-Vendedor,1002
SKU-0000141,ID-Vendedor,1004
SKU-0000356,ID-Vendedor,1001
SKU-0000382,ID-Vendedor,1001
SKU-0000056,ID-Vendedor,1005
SKU-0000370,ID-Vendedor,1001
SKU-0000288,ID-Vendedor,1007
SKU-0000434,ID-Vendedor,1004
SKU-0000083,ID-Vendedor,1001
SKU-0000078,ID-Vendedor,1007
SKU-0000133,ID-Vendedor,1006
SKU-0000228,ID-Vendedor,1004
SKU-0000118,ID-Vendedor,1006
SKU-0000221,ID-Vendedor,1002
SKU-0000383,ID-Vendedor,1003
SKU-0000080,ID-Vendedor,1002
SKU-0000448,ID-Vendedor,1002
SKU-0000010,ID-Vendedor,1002
SKU-0000276,ID-Vendedor,1002
SKU-0000385,ID-Vendedor,1005
SKU-0000249,ID-Vendedor,1004
SKU-0000423,ID-Vendedor,1005
SKU-0000114,ID-Vendedor,1001
SKU-0000452,ID-Vendedor,1007
SKU-0000077,ID-Vendedor,1006
SKU-0000282,ID-Vendedor,1005
SKU-0000323,ID-Vendedor,1005
SKU-0000125,ID-Vendedor,1003
SKU-0000079,ID-Vendedor,1003
SKU-0000290,ID-Vendedor,1009
SKU-0000091,ID-Vendedor,1007
SKU-0000186,ID-Vendedor,1009
SKU-0000074,ID-Vendedor,1003
SKU-0000154,ID-Vendedor,1005
SKU-0000076,ID-Vendedor,1005
SKU-0000071,ID-Vendedor,1009
SKU-0000238,ID-Vendedor,1003
SKU-0000415,ID-Vendedor,1005
SKU-0000299,ID-Vendedor,1001
SKU-0000262,ID-Vendedor,1005
SKU-0000034,ID-Vendedor,1002
SKU-0000248,ID-Vendedor,1009
SKU-0000318,ID-Vendedor,1004
SKU-0000407,ID-Vendedor,1001
SKU-0000431,ID-Vendedor,1006
SKU-0000012,ID-Vendedor,1006
SKU-0000402,ID-Vendedor,1001
SKU-0000016,ID-Vendedor,1005
SKU-0000445,ID-Vendedor,1002
SKU-0000403,ID-Vendedor,1004
SKU-0000001,ID-Vendedor,1009
SKU-0000020,ID-Vendedor,1002
SKU-0000295,ID-Vendedor,1007
SKU-0000375,ID-Vendedor,1001
SKU-0000057,ID-Vendedor,1006
SKU-0000193,ID-Vendedor,1007
SKU-0000393,ID-Vendedor,1001
SKU-0000303,ID-Vendedor,1003
SKU-0000210,ID-Vendedor,1007
SKU-0000306,ID-Vendedor,1004
SKU-0000389,ID-Vendedor,1005
SKU-0000026,ID-Vendedor,1005
SKU-0000369,ID-Vendedor,1002
SKU-0000204,ID-Vendedor,1009
SKU-0000308,ID-Vendedor,1009
SKU-0000043,ID-Vendedor,1001
SKU-0000181,ID-Vendedor,1004
SKU-0000449,ID-Vendedor,1002
SKU-0000117,ID-Vendedor,1009
SKU-0000363,ID-Vendedor,1005
SKU-0000332,ID-Vendedor,1001
SKU-0000297,ID-Vendedor,1002
SKU-0000023,ID-Vendedor,1006
SKU-0000047,ID-Vendedor,1005
SKU-0000443,ID-Vendedor,1002
SKU-0000453,ID-Vendedor,1002
SKU-0000138,ID-Vendedor,1006
SKU-0000094,ID-Vendedor,1009
SKU-0000058,ID-Vendedor,1007
SKU-0000155,ID-Vendedor,1009
SKU-0000025,ID-Vendedor,1004
SKU-0000018,ID-Vendedor,1007
SKU-0000067,ID-Vendedor,1006
SKU-0000411,ID-Vendedor,1007
SKU-0000321,ID-Vendedor,1002
SKU-0000032,ID-Vendedor,1001
SKU-0000085,ID-Vendedor,1006
SKU-0000315,ID-Vendedor,1009
SKU-0000127,ID-Vendedor,1009
SKU-0000305,Data Venda,2015-11-25 00:00:00.000
SKU-0000040,Data Venda,2012-01-01 00:00:00.000
SKU-0000342,Data Venda,2015-08-02 00:00:00.000
SKU-0000219,Data Venda,2014-03-01 00:00:00.000
SKU-0000156,Data Venda,2014-01-01 00:00:00.000
SKU-0000200,Data Venda,2014-08-01 00:00:00.000
SKU-0000173,Data Venda,2015-05-02 00:00:00.000
SKU-0000102,Data Venda,2013-03-02 00:00:00.000
SKU-0000404,Data Venda,2015-12-02 00:00:00.000
SKU-0000031,Data Venda,2013-04-02 00:00:00.000
SKU-0000073,Data Venda,2012-10-01 00:00:00.000
SKU-0000169,Data Venda,2015-01-02 00:00:00.000
SKU-0000141,Data Venda,2013-03-14 00:00:00.000
SKU-0000356,Data Venda,2014-10-01 00:00:00.000
SKU-0000382,Data Venda,2014-12-01 00:00:00.000
SKU-0000056,Data Venda,2013-05-02 00:00:00.000
SKU-0000370,Data Venda,2015-12-02 00:00:00.000
SKU-0000288,Data Venda,2015-12-02 00:00:00.000
SKU-0000434,Data Venda,2015-08-02 00:00:00.000
SKU-0000083,Data Venda,2013-08-02 00:00:00.000
SKU-0000078,Data Venda,2013-03-02 00:00:00.000
SKU-0000133,Data Venda,2013-10-02 00:00:00.000
SKU-0000228,Data Venda,2014-12-01 00:00:00.000
SKU-0000118,Data Venda,2013-07-02 00:00:00.000
SKU-0000221,Data Venda,2014-05-01 00:00:00.000
SKU-0000383,Data Venda,2015-01-02 00:00:00.000
SKU-0000080,Data Venda,2013-05-02 00:00:00.000
SKU-0000448,Data Venda,2015-05-18 00:00:00.000
SKU-0000010,Data Venda,2012-09-04 00:00:00.000
SKU-0000276,Data Venda,2015-12-02 00:00:00.000
SKU-0000385,Data Venda,2015-03-02 00:00:00.000
SKU-0000249,Data Venda,2015-09-02 00:00:00.000
SKU-0000423,Data Venda,2015-07-02 00:00:00.000
SKU-0000114,Data Venda,2013-03-02 00:00:00.000
SKU-0000452,Data Venda,2015-07-22 00:00:00.000
