Product ID,Product Name,Cost,Original Sale Price,Discount Code,Discount,Current Price,Taxes,Product Name 1,Product Name 2
"ENX2000","Product 1",1367,2241,"",0,2241,336.15,"Product 1","Product 1"
"ENX2001","Product 2",504,951,"",0,951,142.65,"Product 2","Product 2"
"ENX2002","Product 3",534,847,"",0,847,127.05,"Product 3","Product 3"
"ENX2003","Product 4",1516,1783,"",0,1783,267.45,"Product 4","Product 4"
"ENX2004","Product 5",665,1278,"",0,1278,191.7,"Product 5","Product 5"
"ENX2005","Product 6",561,684,"",0,684,102.6,"Product 6","Product 6"
"ENX2006","Product 7",1443,1826,"",0,1826,273.9,"Product 7","Product 7"
"ENX2007","Product 8",1054,1405,"",0,1405,210.75,"Product 8","Product 8"
"ENX2008","Product 9",208,315,"",0,315,47.25,"Product 9","Product 9"
"ENX2009","Product 10",420,584,"",0,584,87.6,"Product 10","Product 10"
"ENX2010","Product 11",1305,1812,"",0,1812,271.8,"Product 11","Product 11"
"ENX2011","Product 12",435,530,"",0,530,79.5,"Product 12","Product 12"
"ENX2012","Product 13",947,1353,"",0,1353,202.95,"Product 13","Product 13"
"ENX2013","Product 14",269,368,"",0,368,55.199999999999996,"Product 14","Product 14"
"ENX2014","Product 15",1067,1809,"",0,1809,271.34999999999997,"Product 15","Product 15"
"ENX2015","Product 16",389,637,"",0,637,95.55,"Product 16","Product 16"
"ENX2016","Product 17",1108,1351,"",0,1351,202.65,"Product 17","Product 17"
"ENX2017","Product 18",22,35,"",0,35,5.25,"Product 18","Product 18"
"ENX2018","Product 19",1321,1972,"",0,1972,295.8,"Product 19","Product 19"
"ENX2019","Product 20",536,800,"",0,800,120,"Product 20","Product 20"
"ENX2020","Product 21",1223,2005,"",0,2005,300.75,"Product 21","Product 21"
"ENX2021","Product 22",171,217,"",0,217,32.55,"Product 22","Product 22"
"ENX2022","Product 23",421,561,"",0,561,84.149999999999991,"Product 23","Product 23"
"ENX2023","Product 24",450,818,"",0,818,122.69999999999999,"Product 24","Product 24"
"ENX2024","Product 25",292,356,"",0,356,53.4,"Product 25","Product 25"
"ENX2025","Product 26",387,667,"",0,667,100.05,"Product 26","Product 26"
"ENX2026","Product 27",786,947,"",0,947,142.04999999999998,"Product 27","Product 27"
"ENX2027","Product 28",1473,2497,"",0,2497,374.55,"Product 28","Product 28"
"ENX2028","Product 29",1484,2283,"",0,2283,342.45,"Product 29","Product 29"
"ENX2029","Product 30",1294,1848,"",0,1848,277.2,"Product 30","Product 30"
"ENX2030","Product 31",1044,1899,"",0,1899,284.84999999999997,"Product 31","Product 31"
"ENX2031","Product 32",1261,1638,"",0,1638,245.7,"Product 32","Product 32"
"ENX2032","Product 33",1397,1967,"",0,1967,295.05,"Product 33","Product 33"
"ENX2033","Product 34",1200,2182,"",0,2182,327.3,"Product 34","Product 34"
"ENX2034","Product 35",540,871,"",0,871,130.65,"Product 35","Product 35"
"ENX2035","Product 36",376,458,"",0,458,68.7,"Product 36","Product 36"
"ENX2036","Product 37",1234,1582,"",0,1582,237.29999999999998,"Product 37","Product 37"
"ENX2037","Product 38",634,880,"",0,880,132,"Product 38","Product 38"
"ENX2038","Product 39",255,392,"",0,392,58.8,"Product 39","Product 39"
"ENX2039","Product 40",409,817,"",0,817,122.55,"Product 40","Product 40"
"ENX2040","Product 41",945,1889,"",0,1889,283.34999999999997,"Product 41","Product 41"
"ENX2041","Product 42",1090,1380,"",0,1380,207,"Product 42","Product 42"
"ENX2042","Product 43",154,203,"",0,203,30.45,"Product 43","Product 43"
"ENX2043","Product 44",425,545,"",0,545,81.75,"Product 44","Product 44"
"ENX2044","Product 45",478,886,"",0,886,132.9,"Product 45","Product 45"
"ENX2045","Product 46",395,556,"",0,556,83.399999999999991,"Product 46","Product 46"
"ENX2046","Product 47",1518,2410,"",0,2410,361.5,"Product 47","Product 47"
"ENX2047","Product 48",200,290,"",0,290,43.5,"Product 48","Product 48"
"ENX2048","Product 49",296,502,"",0,502,75.3,"Product 49","Product 49"
"ENX2049","Product 50",562,826,"",0,826,123.89999999999999,"Product 50","Product 50"
"ENX2050","Product 51",1291,2391,"",0,2391,358.65,"Product 51","Product 51"
"ENX2051","Product 52",732,1077,"",0,1077,161.54999999999998,"Product 52","Product 52"
"ENX2052","Product 53",1251,1526,"",0,1526,228.9,"Product 53","Product 53"
"ENX2053","Product 54",358,596,"",0,596,89.399999999999991,"Product 54","Product 54"
"ENX2054","Product 55",79,127,"",0,127,19.05,"Product 55","Product 55"
"ENX2055","Product 56",1896,2495,"",0,2495,374.25,"Product 56","Product 56"
"ENX2056","Product 57",1046,1635,"",0,1635,245.25,"Product 57","Product 57"
"ENX2057","Product 58",130,181,"",0,181,27.15,"Product 58","Product 58"
"ENX2058","Product 59",1535,2257,"",0,2257,338.55,"Product 59","Product 59"
"ENX2059","Product 60",971,1494,"",0,1494,224.1,"Product 60","Product 60"
"ENX2060","Product 61",807,1467,"",0,1467,220.04999999999998,"Product 61","Product 61"
"ENX2061","Product 62",584,913,"",0,913,136.95,"Product 62","Product 62"
"ENX2062","Product 63",1774,2464,"",0,2464,369.59999999999997,"Product 63","Product 63"
"ENX2063","Product 64",871,1708,"",0,1708,256.2,"Product 64","Product 64"
"ENX2064","Product 65",962,1414,"",0,1414,212.1,"Product 65","Product 65"
"ENX2065","Product 66",1965,2396,"",0,2396,359.4,"Product 66","Product 66"
"ENX2066","Product 67",1485,2091,"",0,2091,313.65,"Product 67","Product 67"
"ENX2067","Product 68",683,1119,"",0,1119,167.85,"Product 68","Product 68"
"ENX2068","Product 69",900,1500,"",0,1500,225,"Product 69","Product 69"
"ENX2069","Product 70",291,378,"",0,378,56.699999999999996,"Product 70","Product 70"
"ENX2070","Product 71",1220,1671,"",0,1671,250.64999999999998,"Product 71","Product 71"
"ENX2071","Product 72",72,136,"",0,136,20.4,"Product 72","Product 72"
"ENX2072","Product 73",1378,1887,"",0,1887,283.05,"Product 73","Product 73"
"ENX2073","Product 74",61,95,"",0,95,14.25,"Product 74","Product 74"
"ENX2074","Product 75",408,504,"",0,504,75.6,"Product 75","Product 75"
"ENX2075","Product 76",208,400,"",0,400,60,"Product 76","Product 76"
"ENX2076","Product 77",791,1522,"",0,1522,228.29999999999998,"Product 77","Product 77"
"ENX2077","Product 78",424,530,"",0,530,79.5,"Product 78","Product 78"
"ENX2078","Product 79",971,1798,"",0,1798,269.7,"Product 79","Product 79"
"ENX2079","Product 80",1363,1725,"",0,1725,258.75,"Product 80","Product 80"
"ENX2080","Product 81",1788,2353,"",0,2353,352.95,"Product 81","Product 81"
"ENX2081","Product 82",1190,1566,"",0,1566,234.89999999999998,"Product 82","Product 82"
"ENX2082","Product 83",838,1103,"",0,1103,165.45,"Product 83","Product 83"
"ENX2083","Product 84",1777,2141,"",0,2141,321.15,"Product 84","Product 84"
"ENX2084","Product 85",1230,1783,"",0,1783,267.45,"Product 85","Product 85"
"ENX2085","Product 86",1173,1862,"",0,1862,279.3,"Product 86","Product 86"
"ENX2086","Product 87",84,123,"",0,123,18.45,"Product 87","Product 87"
"ENX2087","Product 88",818,1022,"",0,1022,153.29999999999998,"Product 88","Product 88"
"ENX2088","Product 89",416,603,"",0,603,90.45,"Product 89","Product 89"
