DS_ESTADO,UF,DS_REGIAO,DS_PAIS
"Acre","AC","Norte","Brasil"
"Alagoas","AL","Nordeste","Brasil"
"Amapa","AP","Norte","Brasil"
"Amazonas","AM","Norte","Brasil"
"Bahia","BA","Nordeste","Brasil"
"Ceara","CE","Nordeste","Brasil"
"Distrito Federal","DF","Centro-Oeste","Brasil"
"Espirito Santo","ES","Sudeste","Brasil"
"Goias","GO","Centro-Oeste","Brasil"
"Maranhao","MA","Nordeste","Brasil"
"Mato Grosso","MT","Centro-Oeste","Brasil"
"Mato Grosso do Sul","MS","Centro-Oeste","Brasil"
"Minas Gerais","MG","Sudeste","Brasil"
"Para","PA","Norte","Brasil"
"Paraiba","PB","Nordeste","Brasil"
"Parana","PR","Sul","Brasil"
"Pernambuco","PE","Nordeste","Brasil"
"Piaui","PI","Nordeste","Brasil"
"Rio de Janeiro","RJ","Sudeste","Brasil"
"Rio Grande do Norte","RN","Nordeste","Brasil"
"Rio Grande do Sul","RS","Sul","Brasil"
"Rondonia","RO","Norte","Brasil"
"Roraima","RR","Norte","Brasil"
"Santa Catarina","SC","Sul","Brasil"
"Sao Paulo","SP","Sudeste","Brasil"
"Sergipe","SE","Nordeste","Brasil"
"Tocantins","TO","Norte","Brasil"
