PK_dim_Endereco,CEP,Endereco,Bairro,Cidade,UF,Endereco Completo,Nome UF
"2020.10-54.610","01154-000","Av. Gen. Olímpio da Silveira","Santa Cecilia","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.10-54.611","01154-000","Av. Gen. Olímpio da Silveira","Santa Cecilia","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.10-59.621","02416-040","R. Clementino","Jardim Paraíso","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.10-59.624","01141-000","","Várzea da Barra Funda","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.10-59.625","01141-000","","Várzea da Barra Funda","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.10-59.626","01141-000","","Várzea da Barra Funda","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.10-59.627","01141-000","","Várzea da Barra Funda","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.10-null.622","01141-000","","Várzea da Barra Funda","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.10-null.623","01141-000","","Várzea da Barra Funda","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.11-59.628","05088-000","R. Aliança Liberal","Bela Aliança","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.11-59.629","","R. Aliança Liberal","Bela Aliança","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.11-59.631","05088-000","R. Aliança Liberal","Bela Aliança","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.11-59.634","05088-000","R. Aliança Liberal","Bela Aliança","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.11-59.635","05088-000","R. Aliança Liberal","Bela Aliança","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.11-59.636","01141-000","","Várzea da Barra Funda","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.11-59.637","05088-000","R. Aliança Liberal","Bela Aliança","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
