atributo,valor,protocolo,idx,MET.atributo,MET.nome,MET.valor,MET.protocolo,MET.servico,MET.idx,FK_Z_dim_DIM,FK_Z_dim_SERVICO,FK_Z_dim_MET,FK_dim_DECISAO,reg_nativo
zipcode,65110-000,2020.7-55.543,1016,quantidadedeusuariosdobpcinscritosnocadunicoidosos,Quantidade de Usuários do BPC inscritos no CadÚnico Idosos,0.0,2020.7-55.541,Situação de Assistência Social do Municipio,1035.0,1,3,3.0,11,0
apresentacao,"Pacote 100,00 UN",2020.11-59.635,335,quantidade,Quantidade,56.0,2020.11-59.636,Compra de Materiais,324.0,10,1,1.0,11,0
state,MA,2020.7-55.548,947,quantidadedeusuariosdobpcinscritosnocadunicoidosos,Quantidade de Usuários do BPC inscritos no CadÚnico Idosos,0.0,2020.7-55.548,Situação de Assistência Social do Municipio,956.0,5,3,3.0,11,0
city,São Paulo,2020.12-32.672,93,,,,,,,4,4,,13,1
state,SP,2020.7-55.537,1065,quantidadedeusuariosdobpcinscritosnocadunicopcd,Quantidade de Usuários do BPC inscritos no CadÚnico PCD,0.0,2020.7-55.548,Situação de Assistência Social do Municipio,957.0,5,3,4.0,11,0
street,R. Aliança Liberal,2020.11-59.629,392,quantidade,Quantidade,10.0,2020.10-null.622,Compra de Materiais,488.0,2,1,1.0,11,0
state,MA,2020.7-55.547,966,quantosfaltamdeacordocomosdadosdocadunicoeibge,"Quantos faltam, de acordo com os dados do CadUnico e IBGE",2.0,2020.7-55.547,Situação de Assistência Social do Municipio,978.0,5,3,5.0,11,0
item,Seringa,2020.9-59.606,572,quantidade,Quantidade,100.0,2020.11-59.637,Compra de Materiais,307.0,7,1,1.0,11,0
street,Av. Gen. Olímpio da Silveira,2020.9-59.600,633,quantidade,Quantidade,100.0,2020.11-59.637,Compra de Materiais,307.0,2,1,1.0,11,0
apresentacao,"Pacote 100,00 UN",2020.11-59.631,383,quantidade,Quantidade,1000.0,2020.11-59.629,Compra de Materiais,403.0,10,1,1.0,11,0
email,livia.xavier@alpar.com.br,2020.10-null.622,489,quantidade,Quantidade,120.0,2020.9-59.606,Compra de Materiais,574.0,14,1,1.0,11,0
