Symbol,* Cash,^SP500TR,BIL,BND,BNDX,DBC,DES,EDV,EMB,ESGE,EWU,EWW,FDL,GLD,IDV,MUB,PFFD,PFXF,RSP,SPY,VB,VBR,VEA,VNQ,VOO,VT,VWO,VWOB,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XME,XSOE,PDBC
SymbolName,Cash Value,Index - US Total Market TR Index Dow Jones,SPDR® Bloomberg Barclays 1-3 Month T-Bill,Vanguard Total Bond Market Index Fund ETF Shares,Vanguard Total International Bond Index Fund ETF Shares,Invesco DB Commodity Index Tracking Fund ,WisdomTree U.S. SmallCap Dividend Fund,Vanguard Extended Duration Treasury Index Fund ETF Shares,iShares J.P. Morgan USD Emerging Markets Bond ETF,iShares ESG Aware MSCI EM ETF,iShares MSCI United Kingdom ETF,iShares MSCI Mexico ETF,First Trust Morningstar Dividend Leaders Index Fund,SPDR® Gold Shares,iShares International Select Dividend ETF,iShares National Muni Bond ETF,Global X U.S. Preferred ETF,VanEck Vectors Preferred Securities ex Financials ETF,Invesco S&P 500® Equal Weight ETF,SPDR® S&P 500 ETF Trust,Vanguard Small-Cap Index Fund ETF Shares,Vanguard Small-Cap Value Index Fund ETF Shares,Vanguard FTSE Developed Markets ETF,Vanguard Real Estate Index Fund ETF Shares,Vanguard S&P 500 ETF,Index - Global Total Market TR Index Dow Jones,Vanguard FTSE Emerging Markets ETF,Vanguard Emerging Markets Government Bond Index Fund ETF Shares,Materials Select Sector SPDR® Fund,Communication Services Select Sector SPDR® Fund,Energy Select Sector SPDR® Fund,Financial Select Sector SPDR® Fund,Industrial Select Sector SPDR® Fund,Technology Select Sector SPDR® Fund,Consumer Staples Select Sector SPDR® Fund,Utilities Select Sector SPDR® Fund,Health Care Select Sector SPDR® Fund,Consumer Discretionary Select Sector SPDR® Fund,SPDR® S&P Metals and Mining ETF,WisdomTree Emerging Markets ex-State-Owned Enterprises Fund,Invesco Optimum Yld Dvsfd Cmd Str No K-1
Currency,Cash,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
MER,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0005,0.0011,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allocation,Bucket1,US Broad,Bucket1,Bucket2,Bucket2,Bucket4,Bucket3,Bucket2,Bucket2,Bucket4,Bucket4,Bucket4,Bucket3,Bucket4,Bucket3,Bucket2,Bucket3,Bucket3,Bucket4,US Broad,Bucket4,Bucket4,US Broad,Bucket3,US Broad,US Broad,US Broad,Bucket2,Bucket4,Bucket4,Bucket4,Bucket4,Bucket4,Bucket4,Bucket4,Bucket4,Bucket4,Bucket4,Bucket4,Bucket4,Bucket4
SymbolGroup1,Cash,Index,Ultrashort Bond,Intermediate Core Bond,World Bond-USD Hedged,Commodities Broad Based,Small Value,Long Government,Emerging Markets Bond,Diversified Emerging Mkts,Miscellaneous Region,Miscellaneous Region,Preferred Stock,Commodities Focused,Foreign Large Value,Muni National Interm,Preferred Stock,Preferred Stock,Large Blend,Large Blend,Small Blend,Small Value,Index,Real Estate,Index,Index,Index,Emerging Markets Bond,Natural Resources,Communications,Equity Energy,Financial,Industrials,Technology,Consumer Defensive,Utilities,Health,Consumer Cyclical,Natural Resources,Diversified Emerging Mkts,Commodities Broad Based
SymbolGroup2,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SymbolGroup3,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,,US,,,,,,,,,,,,,,,,,,,,,Europe,,US,Global,Asia,,,,,,,,,,,,,,
WHTPercent,1e-07,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,
ActiveSymbol,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
SectorSum,1.0000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
