QtyHeldBeforeSale,QtyHeldEoDFlag,CBCycleNo,SellNo,CBBuyToDate,CostBasisImpact,ExchRate1,TotalAmntRpt1,ExchRate2,ExchRate3,TotalAmntRpt2,TotalAmntRpt3,CBBuyToDateRpt1,CBBuyToDateRpt2,CBBuyToDateRpt3,CostBasisImpactRpt1,CostBasisImpactRpt2,CostBasisImpactRpt3,Account,Date,TransType,TransSubType,SymbolName,Qty,Price,Fee,ExchRate,Comment,CostBasisOverride,AccruedInterest,ExchRateRpt1Override,ExchRateRpt2Override,ExchRateRpt3Override,TTR,TotalAmnt,CashImpact,CashBalance,QtyChange,QtyHeld,Symbol,TransID,QHBS,CBI,ExchRate4,ExchRate5,TotalAmntRpt4,TotalAmntRpt5,CBBuyToDateRpt4,CBBuyToDateRpt5,CostBasisImpactRpt4,CostBasisImpactRpt5
7290,0,1,1,591086.91,-591086.91,1.0,616077.9,,,0,0,591086.91,0,0,-591086.91,0,0,Dag,2008-05-01 00:00:00.000,Sell,,GLD,7290.0,84.51,,,,,,,,,11,616077.9,616077.9,-505430.47,-7290.0,0.0,GLD,126,7290.0,-591086.91,,,0,0,0,0,0,0
3660,0,6,1,221700.91,-221700.91,1.0,204960.0,,,0,0,221700.91,0,0,-221700.91,0,0,Dag,2008-07-01 00:00:00.000,Sell,,EWW,3660.0,56.0,,,,,,,,,11,204960.0,204960.0,462975.51,-3660.0,0.0,EWW,138,3660.0,-221700.91,,,0,0,0,0,0,0
4710,0,2,1,130983.03,-130983.03,1.0,135828.58,,,0,0,130983.03,0,0,-130983.03,0,0,Dag,2007-03-01 00:00:00.000,Sell,,XLF,4710.0,28.83834,,,,,,,,,11,135828.58,135828.58,-962613.02,-4710.0,0.0,XLF,82,4710.0,-130983.03,,,0,0,0,0,0,0
0,1,10,0,0.0,145581.8,1.0,145581.8,,,0,0,0.0,0,0,145581.8,0,0,Dag,2020-12-01 00:00:00.000,Buy,,FDL,4940.0,29.47,,,,,,,,,2,145581.8,-145581.8,-335505.2,4940.0,4940.0,FDL,461,4940.0,145581.8,,,0,0,0,0,0,0
4170,0,6,1,135441.73,-135441.73,1.0,125517.0,,,0,0,135441.73,0,0,-135441.73,0,0,Dag,2008-10-01 00:00:00.000,Sell,,XLV,4170.0,30.1,,,,,,,,,11,125517.0,125517.0,1071820.51,-4170.0,0.0,XLV,152,4170.0,-135441.73,,,0,0,0,0,0,0
0,1,4,0,0.0,49779.03,1.0,49779.03,,,0,0,0.0,0,0,49779.03,0,0,Dag,2010-11-01 00:00:00.000,Buy,,XLF,4200.0,11.85215,,,,,,,,,2,49779.03,-49779.03,-1771235.21,4200.0,4200.0,XLF,204,4200.0,49779.03,,,0,0,0,0,0,0
0,1,0,0,0.0,0.0,1.00001,0.00100001,1.00001,1.00001,0,0,0.0,0,0,0.0,0,0,SPY,2002-12-31 00:00:00.000,Deposit,System,* Cash,0.001,0.001,1e-05,1.0000001,DO NOT DELETE. Adjust Date and Portfolio,0.001,1e-05,1.00001,1.00001,1.00001,4,0.001,0.001,0.001,0.001,0.0001,* Cash,2,1e-05,1e-05,,,0,0,0,0,0,0
19970,0,1,1,321943.36,-321943.36,1.0,375635.7,,,0,0,321943.36,0,0,-321943.36,0,0,Dag,2004-08-02 00:00:00.000,Sell,,EWW,19970.0,18.81,,,,,,,,,11,375635.7,375635.7,-33216.48,-19970.0,0.0,EWW,27,19970.0,-321943.36,,,0,0,0,0,0,0
28680,0,7,1,755195.16,-755195.16,1.0,875026.8,,,0,0,755195.16,0,0,-755195.16,0,0,Dag,2017-04-03 00:00:00.000,Sell,,XME,28680.0,30.51,,,,,,,,,11,875026.8,875026.8,-2048052.52,-28680.0,0.0,XME,361,28680.0,-755195.16,,,0,0,0,0,0,0
0,1,1,0,0.0,37004.06,1.0,37004.06,,,0,0,0.0,0,0,37004.06,0,0,Dag,2003-05-01 00:00:00.000,Buy,,XLF,1950.0,18.97644,,,,,,,,,2,37004.06,-37004.06,962995.94,1950.0,1950.0,XLF,4,1950.0,37004.06,,,0,0,0,0,0,0
