Date,CountyName,State,FipsCode,Cases,Deaths
2020-06-21 00:00:00.000,Hancock,Illinois,17067.0,18,1.0
2020-08-10 00:00:00.000,Aguadilla,Puerto Rico,72005.0,230,
2020-05-18 00:00:00.000,Upson,Georgia,13293.0,261,31.0
2020-07-19 00:00:00.000,Scott,Virginia,51169.0,25,2.0
2021-02-20 00:00:00.000,Carolina,Puerto Rico,72031.0,7809,
2020-07-20 00:00:00.000,Holmes,Mississippi,28051.0,640,43.0
2020-12-20 00:00:00.000,York,South Carolina,45091.0,13294,165.0
2020-11-29 00:00:00.000,Union,Illinois,17181.0,1182,28.0
2020-11-28 00:00:00.000,Lehigh,Pennsylvania,42077.0,11279,382.0
2020-11-19 00:00:00.000,Marlboro,South Carolina,45069.0,1299,16.0
2020-12-21 00:00:00.000,Hamilton,Iowa,19079.0,1404,21.0
2020-08-14 00:00:00.000,Spalding,Georgia,13255.0,1019,43.0
2020-06-23 00:00:00.000,St. Charles,Missouri,29183.0,974,73.0
2020-05-01 00:00:00.000,St. Clair,Michigan,26147.0,331,21.0
2020-04-23 00:00:00.000,Marlboro,South Carolina,45069.0,33,0.0
2020-09-01 00:00:00.000,Etowah,Alabama,1055.0,2834,40.0
2020-08-28 00:00:00.000,Perry,Illinois,17145.0,286,8.0
2020-09-10 00:00:00.000,Dallas,Texas,48113.0,77948,1021.0
2020-05-07 00:00:00.000,Cass,Michigan,26027.0,36,2.0
2020-09-14 00:00:00.000,Woodward,Oklahoma,40153.0,159,0.0
2020-10-23 00:00:00.000,Delta,Colorado,8029.0,200,3.0
2021-01-31 00:00:00.000,Coamo,Puerto Rico,72043.0,915,
2021-02-09 00:00:00.000,Gregg,Texas,48183.0,10248,275.0
2020-08-26 00:00:00.000,Brantley,Georgia,13025.0,297,8.0
2020-07-06 00:00:00.000,Sacramento,California,6067.0,4394,74.0
2020-08-16 00:00:00.000,Beaver,Pennsylvania,42007.0,1407,94.0
2020-07-03 00:00:00.000,Crook,Oregon,41013.0,12,0.0
2020-08-16 00:00:00.000,Lipscomb,Texas,48295.0,22,0.0
2020-06-24 00:00:00.000,Woodruff,Arkansas,5147.0,6,0.0
2020-05-11 00:00:00.000,San German,Puerto Rico,72125.0,27,
2021-02-16 00:00:00.000,Russell,Alabama,1113.0,3950,30.0
2020-12-05 00:00:00.000,St. Landry,Louisiana,22097.0,5332,165.0
2021-02-05 00:00:00.000,Meeker,Minnesota,27093.0,2031,33.0
2020-09-17 00:00:00.000,Cherokee,Texas,48073.0,1506,26.0
2021-03-14 00:00:00.000,Renville,North Dakota,38075.0,306,13.0
2020-06-29 00:00:00.000,Forsyth,Georgia,13117.0,792,15.0
2021-03-12 00:00:00.000,Greenlee,Arizona,4011.0,562,10.0
2020-08-19 00:00:00.000,Washington,Utah,49053.0,2653,21.0
2020-12-26 00:00:00.000,Clark,Nevada,32003.0,163484,2260.0
2020-10-07 00:00:00.000,Pitt,North Carolina,37147.0,5281,33.0
2020-06-01 00:00:00.000,Clarke,Alabama,1025.0,147,2.0
2020-04-05 00:00:00.000,Warrick,Indiana,18173.0,13,0.0
2020-05-14 00:00:00.000,Washoe,Nevada,32031.0,1154,45.0
2021-01-08 00:00:00.000,Fairbanks North Star Borough,Alaska,2090.0,5225,20.0
2020-06-03 00:00:00.000,San Francisco,California,6075.0,2616,43.0
2020-06-17 00:00:00.000,Sherman,Kansas,20181.0,7,0.0
2020-05-20 00:00:00.000,Cumberland,Virginia,51049.0,25,0.0
2020-03-16 00:00:00.000,Racine,Wisconsin,55101.0,1,0.0
2021-02-17 00:00:00.000,Waupaca,Wisconsin,55135.0,5587,156.0
2020-04-29 00:00:00.000,Whitley,Kentucky,21235.0,11,0.0
2020-07-21 00:00:00.000,Ward,Texas,48475.0,67,1.0
2020-08-02 00:00:00.000,Contra Costa,California,6013.0,7966,125.0
2020-05-10 00:00:00.000,Sauk,Wisconsin,55111.0,71,3.0
2020-07-06 00:00:00.000,Benton,Minnesota,27009.0,217,3.0
2020-12-10 00:00:00.000,Ramsey,Minnesota,27123.0,32625,566.0
2021-01-25 00:00:00.000,Augusta,Virginia,51015.0,4623,44.0
2020-07-08 00:00:00.000,Monroe,Illinois,17133.0,141,13.0
