Name,LATERAL RESOURCE,RR Forecast Date,VersionName,ID,INTERMEDIATE START,Total Rig Days,INTERMEDIATE END,LATERAL START,LATERAL_LENGTH_TARGET
"St Eiland 14A GG-Houston 21H","H&P #313",2020-01-05 00:00:00.000,"Commando - 11+1","e7fcbfad-29e7-4dda-8983-fe9bb5b1b416",2019-11-27 00:00:00.000,27,2019-12-06 00:00:00.000,2019-12-18 00:00:00.000,8215
"MARIENFELD 13-24-E-2709H","H&P #633",2020-01-06 00:00:00.000,"Commando - 11+1","133416cf-4f7b-4e3c-a152-84561f6adc42",2019-12-14 00:00:00.000,22,2019-12-22 00:00:00.000,2019-12-23 00:00:00.000,10250
"DEVIN 25-24-F-4411H","Trinidad 125",2020-01-06 00:00:00.000,"Commando - 11+1","74e5e6d4-0f0a-41e9-8c88-5bf7a2e16f73",2019-11-29 00:00:00.000,20,2019-12-05 00:00:00.000,2019-12-23 00:00:00.000,10250
"REDBUD STATE UNIT 4510MH","H&P #536",2020-01-09 00:00:00.000,"Commando - 11+1","a4e0f831-aa4e-46c7-bf62-2141f254521a",2019-12-04 00:00:00.000,35,2019-12-15 00:00:00.000,2019-12-16 00:00:00.000,10260
"RINGO 8-9-C-4205H","Trinidad #226",2020-01-11 00:00:00.000,"Commando - 11+1","34d5a036-998e-47b0-b94c-225bc92f7d59",2019-12-01 00:00:00.000,19,2019-12-09 00:00:00.000,2019-12-31 00:00:00.000,10250
"Venom 6261B-34-33H","H&P #296",2020-01-11 00:00:00.000,"Commando - 11+1","69c5807b-2b06-4850-9fd5-0d628a5f5018",2019-12-05 00:00:00.000,26,2019-12-13 00:00:00.000,2019-12-24 00:00:00.000,7700
"MARIENFELD 13-24-A-2801H","Trinidad #223",2020-01-12 00:00:00.000,"Commando - 11+1","bb2be338-ad9d-4d0e-b42c-44ddb0f90126",2019-11-10 00:00:00.000,19,2019-11-17 00:00:00.000,2019-12-31 00:00:00.000,10250
"WAYMORE 18-19-4211H","Patterson 254",2020-01-12 00:00:00.000,"Commando - 11+1","0867c31f-871a-4029-b480-85a6bd0ee880",2019-12-12 00:00:00.000,19,2019-12-21 00:00:00.000,2020-01-02 00:00:00.000,7700
"St Eiland 14A GG-Houston 12H","H&P #312",2020-01-13 00:00:00.000,"Commando - 11+1","ea24d6f8-390f-4a0e-a0d8-ffa061129aaf",2019-11-26 00:00:00.000,27,2019-12-05 00:00:00.000,2019-12-26 00:00:00.000,8234
"MARIENFELD 13-24-2806VH","Patterson 260",2020-01-18 00:00:00.000,"Commando - 11+1","1acc8ad3-cf2d-4ff1-9996-22b1f24b6d0f",2019-12-04 00:00:00.000,16,2019-12-11 00:00:00.000,2020-01-09 00:00:00.000,10250
"DEVIN 25-24-E-4309H","Trinidad 125",2020-01-18 00:00:00.000,"Commando - 11+1","a8d8ac87-1f78-451c-8cba-08f0770336b8",2019-12-07 00:00:00.000,17,2019-12-14 00:00:00.000,2020-01-08 00:00:00.000,10250
"Venom 6261A-34 22H","H&P #261",2020-01-22 00:00:00.000,"Commando - 11+1","34782f86-79d7-47c1-af40-a2cf199ca850",2019-12-16 00:00:00.000,26,2019-12-24 00:00:00.000,2020-01-04 00:00:00.000,7700
"HARRIS 17-20-D-4307H","H&P #509",2020-01-26 00:00:00.000,"Commando - 11+1","8b1c39da-1074-464f-8e14-a15d232116d9",2019-12-04 00:00:00.000,22,2019-12-13 00:00:00.000,2020-01-13 00:00:00.000,10250
"St Eiland 14A GG-Houston 31H","H&P #313",2020-01-28 00:00:00.000,"Commando - 11+1","d25801b3-4470-4bf4-8dcd-c2742f6accbe",2019-12-08 00:00:00.000,30,2019-12-17 00:00:00.000,2020-01-07 00:00:00.000,8215
"RINGO 8-9-A-4102H","Trinidad #226",2020-01-28 00:00:00.000,"Commando - 11+1","ef10216a-536c-4f5c-a34c-c07a85d292ed",2019-11-23 00:00:00.000,23,2019-11-30 00:00:00.000,2020-01-12 00:00:00.000,10250
"WAYMORE 18-19-4215H","Patterson 254",2020-01-29 00:00:00.000,"Commando - 11+1","ef0966e0-646e-4ad0-a98d-b434de4d2c44",2019-12-23 00:00:00.000,24,2020-01-01 00:00:00.000,2020-01-14 00:00:00.000,7700
