ID,Name,PropID,DIRECTION,RSV_CAT,API,TEAM,LATERAL_LENGTH_TARGET,REGION,TIER,PRODUCING_METHOD,COUNTY,BATTERY,OIL_TRANSPORTER,SWD_FACILITY,DOWNSPACE,REGION_TYPECURVE,WELLS_PER_PAD,LATERAL_RIG_NUM,CAPEX_TC_INDEX,WELL_TYPE,NUM_WELLS_ON_PAD,RESERVOIR,PIPELINE,PARSLEY_PROPNUM,OPERATOR,STATUS,PAD_RISK,OFI_INDEX2,QTR_QTR,RSV_TC,T1,T2,WI_APO,NRI_APO,MAJOR,DOWNSPACE_TRIGGER,_BASIN_INDEX,_TVD_PKR_SET_FT,PROPPANT_INDEX,AVG_FRAC_PAD_LATERAL_LENGTH,AVG_DO_PAD_LATERAL_LENGTH,FRAC_MULTIPLIER_CODE,UPSIZE_INDEX,ProjectID,_BASIN,_CnF_Trigger,_FACILITY_TYPE,_FRAC_WATER_PER_FT,_LATERAL_SIZE,_NUMBER_OF_STAGES,_PROPPANT_PR_FT,_TMD,_TVD,_WELL_CLASSIFICATION,_QTR_QTR,_QUALIFIER,_WATER_GATHERING,_TIMING_CAPEX_NAME,_TIMING_CAPEX_CODE,INTERMEDIATE_DRILLING_RATE_FACTOR,ADDITIONAL_PILOT_DRILLING_DAYS,ADDITTIONAL_INT_DRILLING_CAPEX,ADDITIONAL_FRAC_TIME,ADDITIONAL_FRAC_CAPEX,ADDITIONAL_DO_TIME,ADDITIONAL_DO_CAPEX,FRAC_TIMING_CODE,DO_TIMING_CODE,FACILITY_CAPEX_CODE,CUMULATIVE_FRAC_PAD_STAGES,ADDITIONAL_LAT_DRILLING_TIME,ADDITIONAL_LAT_DRILLING_CAPEX,ADDITIONAL_FACILITY_CAPEX,LATERAL_DRILLING_RATE_FACTOR,POP_DATE,GAS_LIFT_TRIGGER,FLARE_MONTHS,TC_YIELD,TC_SHRINK,LBS_PER_FT,AVG_PAD_LBS_PER_FT,GAS_DERISKING,RATE_RESERVES_RISKING1,RATE_RESERVES_RISKING,MI_ARO,ESP_PER_PAD,SURFACTANT,DEV_AREA_RISKING,TEMPLATE_COUNTY,LARGE_DEV_NAME,TEMPLATE_AREA,PRESSURE_GAUGES,OBLIGATION,COMPANY_NAME,COMBINED_RESERVOIR,PRODUCED_WATER_SYSTEM,SOURCE_WATER_SYSTEM,PRODUCED_WATER_SYSTEM_TYPE,PRODUCED_WATER_SYSTEM_RATE,PRIMARY_WATER_SOURCE,FWS_PROPNUM,VersionName,Enersight vw_Workspace_2_Asset.VersionName,AL Type,H2S Level,Compressed Stages,4 String,Sand Type
"004eddff-efd6-46c0-8439-7a3cbc79a7f6","DORADO 18-14 (APACHE)","S2PFI7BDI8","VERTICAL","PDP","4217335655","MIDLAND_BASIN_EAST","0.00","","NON-OP","","GLASSCOCK","NON-OP BATTERY","","UNASSIGNED","","","0","","","","","VERTICAL","Z_NOT_ON_PIPE","397256","APACHE CORPORATION","ECO","","","","","NO EXPORT THESE ECONS","MISSING CURRENT_YE17","0.00","0.00","","","","0.00","","0.00","0.00","0","","Versione9052518-fefe-46cd-96ef-b2ec91957a01","MIDLAND","","","0.00","","0.00","","0.00","0.00","","","","NONOP","","0","","0.00","","","","","","0.00","0.00","0.00","0.00","","","0.00","","01 Aug 2013","","0.00","0.00","0.00",0,0,"0.00","",0,"0.00","0.00","0.00","0.00","","","","0","","","","","","","","","","Aliens - NEW TC - Total Risk","Aliens - NEW TC - Total Risk","Rod Pump","None","No","No",""
"00609842-ba88-4874-8c92-18641aeed3f4","TREES JC ESTATE A-1 (INCLINE)","R53EGMW86G","VERTICAL","PDP","4238900300","DELAWARE_BASIN","0.00","","NON-OP","","REEVES","NON-OP BATTERY","","UNASSIGNED","","","0","","","","","VERTICAL","Z_NOT_ON_PIPE","357001","INCLINE ENERGY INC","ECO","","","","","NO EXPORT THESE ECONS","MISSING CURRENT_YE17","0.00","0.00","","","","0.00","","0.00","0.00","0","","Versiond3136339-9cda-492c-8f1a-a86341ef935e","DELAWARE","","","0.00","","0.00","","0.00","0.00","","","","NONOP","","0","","0.00","","","","","","0.00","0.00","0.00","0.00","","","0.00","","01 May 1961","","0.00","0.00","0.00",0,0,"0.00","",0,"0.00","0.00","0.00","0.00","","","","0","","PE","","","","","","","","Commando - 11+1","Commando - 11+1","Rod Pump","None","No","No",""
"006aee0c-fae6-4c87-990e-93a41a383659","STALLINGS 5 (SOUTHWEST)","S5AMMGAKHS","VERTICAL","PDP","4222736111","MIDLAND_BASIN_EAST","0.00","","NON-OP","","HOWARD","NON-OP BATTERY","","UNASSIGNED","","","0","","","","","VERTICAL","Z_NOT_ON_PIPE","397714","SOUTHWEST ROYALTIES INC","ECO","","","","","NO EXPORT THESE ECONS","MISSING CURRENT_YE17","0.00","0.00","","","","0.00","","0.00","0.00","0","","Version75e2ef75-cbb4-4e52-8556-7219268ffc2f","MIDLAND","","","0.00","","0.00","","0.00","0.00","","","","NONOP","","0","","0.00","","","","","","0.00","0.00","0.00","0.00","","","0.00","","01 Jul 2008","","0.00","0.00","0.00",0,0,"0.00","",0,"0.00","0.00","0.00","0.00","","","","","","PE","","","","","","","","Back To The Future - 10+2","Back To The Future - 10+2","Rod Pump","None","No","No",""
"00a4fc10-2771-44c9-944b-522e10a67544","BRADDOCK 47-2 (APACHE)","RAKK7IVLYG","VERTICAL","PDP","4217335682","MIDLAND_BASIN_EAST","0.00","","NON-OP","","GLASSCOCK","NON-OP BATTERY","","UNASSIGNED","","","0","","","","","VERTICAL","Z_NOT_ON_PIPE","367002","APACHE CORPORATION","ECO","","","","","EXPORT THESE ECONS","CURRENT_YE17","0.00","0.00","","","","0.00","","0.00","0.00","0","","Version75e2ef75-cbb4-4e52-8556-7219268ffc2f","MIDLAND","","","0.00","","0.00","","0.00","0.00","","","","NONOP","","0","","0.00","","","","","","0.00","0.00","0.00","0.00","","","0.00","","01 Sep 2013","","0.00","0.00","0.00",0,0,"0.00","",0,"0.00","0.00","0.00","0.00","","","","","","PE","","","","","","","","Back To The Future - 10+2","Back To The Future - 10+2","Rod Pump","None","No","No",""
"00b9b1db-7c6f-4951-b99a-44a928c33f6b","NIX 16-17 (APACHE)","S2PFIAEEI8","VERTICAL","PDP","4217335770","MIDLAND_BASIN_EAST","0.00","","NON-OP","","GLASSCOCK","NON-OP BATTERY","","UNASSIGNED","","","0","","","","","VERTICAL","Z_NOT_ON_PIPE","397606","APACHE CORPORATION","ECO","","","","","NO EXPORT THESE ECONS","MISSING CURRENT_YE17","0.00","0.00","","","","0.00","","0.00","0.00","0","","Version5f71407c-d82b-4890-9465-28f505cc04d9","MIDLAND","","","0.00","","0.00","","0.00","0.00","","","","NONOP","","0","","0.00","","","","","","0.00","0.00","0.00","0.00","","","0.00","","01 Aug 2013","","0.00","0.00","0.00",0,0,"0.00","",0,"0.00","0.00","0.00","0.00","","","","0","","PE","","","","","","","","Die Hard - 1+11","Die Hard - 1+11","Rod Pump","None","No","No",""
"01a5ec50-fa02-4aa1-9934-f761c08dc292","ANTHONY HF 4 (PITTS ENERGY)","S1DLIGK4UG","VERTICAL","PDP","4238930282","DELAWARE_BASIN","0.00","","NON-OP","","REEVES","NON-OP BATTERY","","UNASSIGNED","","","0","","","","","VERTICAL","Z_NOT_ON_PIPE","366004","CHEVRON MIDCONTINENT, LP","ECO","","","","","NO EXPORT THESE ECONS","MISSING CURRENT_YE17","0.00","0.00","","","","0.00","","0.00","0.00","0","","Version75e2ef75-cbb4-4e52-8556-7219268ffc2f","DELAWARE","","","0.00","","0.00","","0.00","0.00","","","","NONOP","","0","","0.00","","","","","","0.00","0.00","0.00","0.00","","","0.00","","01 Jun 1974","","0.00","0.00","0.00",0,0,"0.00","",0,"0.00","0.00","0.00","0.00","","","","","","PE","","","","","","","","Back To The Future - 10+2","Back To The Future - 10+2","Rod Pump","None","No","No",""
"01cb31c9-5c83-42c0-89ca-670fa8c20b18","WAHOO 20-6 (APACHE)","S2PFIBAECG","VERTICAL","PDP","4217334469","MIDLAND_BASIN_EAST","0.00","","NON-OP","","GLASSCOCK","NON-OP BATTERY","","UNASSIGNED","","","0","","","","","VERTICAL","Z_NOT_ON_PIPE","397766","APACHE CORPORATION","ECO","","","","","NO EXPORT THESE ECONS","MISSING CURRENT_YE17","0.00","0.00","","","","0.00","","0.00","0.00","0","","Versiond3136339-9cda-492c-8f1a-a86341ef935e","MIDLAND","","","0.00","","0.00","","0.00","0.00","","","","NONOP","","0","","0.00","","","","","","0.00","0.00","0.00","0.00","","","0.00","","01 Mar 2012","","0.00","0.00","0.00",0,0,"0.00","",0,"0.00","0.00","0.00","0.00","","","","0","","PE","","","","","","","","Commando - 11+1","Commando - 11+1","Rod Pump","None","No","No",""
"01dc2278-cef1-40df-bfc7-eafc13a3fc87","GLASS 38D-2HK (ENCANA)","S5AMM5WHLC","HORIZONTAL","PDP","4222738915","MIDLAND_BASIN_EAST","0.00","","NON-OP","","HOWARD","NON-OP BATTERY","","UNASSIGNED","","","0","","","","","WOLFCAMP A","Z_NOT_ON_PIPE","381002","ENCANA OIL & GAS (USA) INC","ECO","","","","","NO EXPORT THESE ECONS","MISSING CURRENT_YE17","0.00","0.00","","","","0.00","","0.00","0.00","0","","Versione9052518-fefe-46cd-96ef-b2ec91957a01","MIDLAND","","","0.00","","0.00","","0.00","0.00","","","","NONOP","","0","","0.00","","","","","","0.00","0.00","0.00","0.00","","","0.00","","01 Feb 2017","","0.00","0.00","0.00",0,0,"0.00","",0,"0.00","0.00","0.00","0.00","","","","0","","","","","","","","","","Aliens - NEW TC - Total Risk","Aliens - NEW TC - Total Risk","Rod Pump","None","No","No",""
"02046ff4-5a78-4d86-b4c3-fd6184e164cf","HALFMANN 36-4-4H (ENCANA)","S2PFIQCFQ8","HORIZONTAL","PDP","4217337156","MIDLAND_BASIN_EAST","0.00","","NON-OP","","GLASSCOCK","NON-OP BATTERY","","UNASSIGNED","","","0","","","","","WOLFCAMP A","Z_NOT_ON_PIPE","3","ENCANA OIL & GAS (USA) INC","ECO","","","","","NO EXPORT THESE ECONS","MISSING CURRENT_YE17","0.00","0.00","","","","0.00","","0.00","0.00","0","","Version3360ad58-2314-4e86-9994-bc08913e7459","MIDLAND","","","0.00","","0.00","","0.00","0.00","","","","NONOP","","0","","0.00","","","","","","0.00","0.00","0.00","0.00","","","0.00","","01 Jul 2015","","0.00","0.00","0.00",0,0,"0.00","",0,"0.00","0.00","0.00","0.00","","","","0","","PE","","","","","","","","Escape from New York - 2+10","Escape from New York - 2+10","Rod Pump","None","No","No",""
"0219e5af-e6da-4c88-a9b4-fa3c417be698","MAUI 5-3 (APACHE)","S5AMMLHKQO","VERTICAL","PDP","4217336029","MIDLAND_BASIN_EAST","0.00","","NON-OP","","GLASSCOCK","NON-OP BATTERY","","UNASSIGNED","","","0","","","","","VERTICAL","Z_NOT_ON_PIPE","397570","APACHE CORPORATION","ECO","","","","","NO EXPORT THESE ECONS","MISSING CURRENT_YE17","0.00","0.00","","","","0.00","","0.00","0.00","0","","Versiond3136339-9cda-492c-8f1a-a86341ef935e","MIDLAND","","","0.00","","0.00","","0.00","0.00","","","","NONOP","","0","","0.00","","","","","","0.00","0.00","0.00","0.00","","","0.00","","01 Dec 2013","","0.00","0.00","0.00",0,0,"0.00","",0,"0.00","0.00","0.00","0.00","","","","0","","PE","","","","","","","","Commando - 11+1","Commando - 11+1","Rod Pump","None","No","No",""
