Property_Number,target_formation,api_no,well_type,activity_phase,event_objective_1,spud_date,time_from,time_to,Duration_Hrs,wellbore_no,wellbore_id,event_id,event_code,Rig_Name,plannedTD,MDTO,MDFROM,Ft Drilled,date_report,Distinct Rig 1
"500642","WOLFCAMP A LOWER","4238936746","HORIZONTAL","DPROD","PRODUCTION",2018-01-23 10:00:00.000,2018-06-16 00:00:00.000,2018-06-16 02:30:00.000,0.5,"00","xAumS1fGtJ","teZQZ","DRL","TRINIDAD 100",20785,11418,11418,0,2018-06-16 00:00:00.000,60
"500642","WOLFCAMP A LOWER","4238936746","HORIZONTAL","DPROD","PRODUCTION",2018-01-23 10:00:00.000,2018-06-16 00:00:00.000,2018-06-16 04:00:00.000,0.5,"00","xAumS1fGtJ","teZQZ","DRL","TRINIDAD 100",20785,11418,11418,0,2018-06-16 00:00:00.000,60
"500642","WOLFCAMP A LOWER","4238936746","HORIZONTAL","DPROD","PRODUCTION",2018-01-23 10:00:00.000,2018-06-16 00:00:00.000,2018-06-16 00:30:00.000,0.5,"00","xAumS1fGtJ","teZQZ","DRL","TRINIDAD 100",20785,11418,11418,0,2018-06-16 00:00:00.000,60
"500642","WOLFCAMP A LOWER","4238936746","HORIZONTAL","DPROD","PRODUCTION",2018-01-23 10:00:00.000,2018-06-19 00:00:00.000,2018-06-19 06:00:00.000,0.5,"00","xAumS1fGtJ","teZQZ","DRL","TRINIDAD 100",20785,14471,14471,0,2018-06-19 00:00:00.000,60
"500642","WOLFCAMP A LOWER","4238936746","HORIZONTAL","DPROD","PRODUCTION",2018-01-23 10:00:00.000,2018-05-30 00:00:00.000,2018-05-30 15:00:00.000,0.5,"00","xAumS1fGtJ","teZQZ","DRL","TRINIDAD 100",20785,10036,10036,0,2018-05-30 00:00:00.000,60
"500642","WOLFCAMP A LOWER","4238936746","HORIZONTAL","DPROD","PRODUCTION",2018-01-23 10:00:00.000,2018-05-30 00:00:00.000,2018-05-30 15:30:00.000,0.5,"00","xAumS1fGtJ","teZQZ","DRL","TRINIDAD 100",20785,10036,10036,0,2018-05-30 00:00:00.000,60
"500642","WOLFCAMP A LOWER","4238936746","HORIZONTAL","DPROD","PRODUCTION",2018-01-23 10:00:00.000,2018-05-30 00:00:00.000,2018-05-30 16:30:00.000,0.5,"00","xAumS1fGtJ","teZQZ","DRL","TRINIDAD 100",20785,10036,10036,0,2018-05-30 00:00:00.000,60
"500642","WOLFCAMP A LOWER","4238936746","HORIZONTAL","DPROD","PRODUCTION",2018-01-23 10:00:00.000,2018-05-30 00:00:00.000,2018-05-30 16:00:00.000,0.5,"00","xAumS1fGtJ","teZQZ","DRL","TRINIDAD 100",20785,10036,10036,0,2018-05-30 00:00:00.000,60
"500642","WOLFCAMP A LOWER","4238936746","HORIZONTAL","DPROD","PRODUCTION",2018-01-23 10:00:00.000,2018-06-01 00:00:00.000,2018-06-01 14:30:00.000,0.5,"00","xAumS1fGtJ","teZQZ","DRL","TRINIDAD 100",20785,10470,10470,0,2018-06-01 00:00:00.000,60
"500642","WOLFCAMP A LOWER","4238936746","HORIZONTAL","DPROD","PRODUCTION",2018-01-23 10:00:00.000,2018-06-09 00:00:00.000,2018-06-09 12:00:00.000,0.5,"00","xAumS1fGtJ","teZQZ","DRL","TRINIDAD 100",20785,10961,10961,0,2018-06-09 00:00:00.000,60
