Name,CustID,ProdID,Date,Currency,Qty,Sales USD,Cost USD
 Apr 2021 Sales,WA005,SSBC3001,2021-04-10 00:00:00.000,USD,1,300.0,285.4
 Nov 2020 Sales,WA001,SSBC0006,2020-11-29 00:00:00.000,USD,2,10.0,1.84
 Feb 2021 Sales,WA001,SSBC0002,2021-02-10 00:00:00.000,USD,2,10.0,1.6
 Jun 2021 Sales,WA001,SSBC0001,2021-06-25 00:00:00.000,USD,2,10.0,2.1
 Feb 2021 Sales,WA001,SSBC0002,2021-02-28 00:00:00.000,USD,1,5.0,0.8
 Feb 2021 Sales,BC100,SSBC2006,2021-02-20 00:00:00.000,CAD,1,135.6443,101.0399
 Dec 2020 Sales,WA012,SSBC3001,2020-12-25 00:00:00.000,USD,2,600.0,570.8
 Apr 2021 Sales,WA001,SSBC1005,2021-04-21 00:00:00.000,USD,1,9.99,5.9
 Nov 2020 Sales,BC102,SSBC2003,2020-11-05 00:00:00.000,CAD,1,132.5479,106.7747
 Mar 2021 Sales,WA005,SSBC3001,2021-03-10 00:00:00.000,USD,1,300.0,285.4
 Jun 2021 Sales,WA001,SSBC0006,2021-06-30 00:00:00.000,USD,2,10.0,1.84
 Jan 2021 Sales,WA012,SSBC2001,2021-01-11 00:00:00.000,USD,1,180.0,150.2
 Dec 2020 Sales,WA005,SSBC1001,2020-12-22 00:00:00.000,USD,12,119.88,99.6
 Oct 2020 Sales,WA001,SSBC0002,2020-10-19 00:00:00.000,USD,1,5.0,0.8
 Nov 2020 Sales,BC102,SSBC2003,2020-11-24 00:00:00.000,CAD,1,132.2557,106.5393
 Dec 2020 Sales,BC110,SSBC2003,2020-12-20 00:00:00.000,CAD,12,1582.4172,1274.7252
 Nov 2020 Sales,WA012,SSBC3001,2020-11-10 00:00:00.000,USD,1,300.0,285.4
 Jan 2021 Sales,WA007,SSBC3001,2021-01-25 00:00:00.000,USD,1,300.0,285.4
 Feb 2021 Sales,WA001,SSBC0002,2021-02-10 00:00:00.000,USD,1,5.0,0.8
May 2021 Sales,WA001,SSBC0002,2021-05-29 00:00:00.000,USD,1,5.0,0.8
 Aug 2021 Sales,WA012,SSBC2001,2021-08-20 00:00:00.000,USD,1,180.0,150.2
