country-id,age-id,gender-id,year,population
31,2,2,2038,301500.0
250,8,2,2019,2053300.0
566,13,2,2033,2813900.0
498,15,2,2040,96100.0
116,20,2,2031,1300.0
180,5,2,2018,3602600.0
558,14,2,2028,110800.0
928,8,2,2032,442600.0
642,6,2,2027,473100.0
348,19,1,2026,15200.0
626,7,1,2016,38100.0
417,14,1,2032,105000.0
586,8,2,2017,6190200.0
498,2,1,2032,90800.0
70,12,2,2028,109800.0
51,2,1,2029,96600.0
807,20,2,2027,500.0
100,9,2,2034,193400.0
410,1,1,2027,900600.0
504,4,2,2032,1650700.0
496,8,1,2026,150900.0
262,13,1,2011,9600.0
466,12,2,2031,317100.0
533,6,1,2013,2500.0
862,9,1,2034,1155900.0
784,15,2,2013,5200.0
392,5,1,2038,2620200.0
690,7,1,2018,4000.0
702,17,1,2015,22800.0
100,5,2,2036,154700.0
180,15,1,2023,389400.0
275,15,2,2019,23200.0
312,8,2,2011,15900.0
586,2,2,2023,12913000.0
380,10,2,2019,2468800.0
156,9,1,2024,48973900.0
196,14,1,2032,34300.0
466,8,1,2031,678200.0
392,2,2,2040,2048000.0
414,13,2,2027,81800.0
356,21,1,2027,29000.0
372,6,2,2036,187100.0
740,5,2,2039,24100.0
48,12,2,2031,33500.0
704,10,1,2027,3574000.0
860,3,1,2032,1714200.0
466,21,2,2030,0.0
48,19,2,2013,100.0
158,4,2,2018,640800.0
417,7,2,2019,279200.0
499,2,1,2020,19300.0
620,15,1,2020,252900.0
788,12,1,2034,370800.0
882,6,1,2034,9600.0
620,4,1,2014,276000.0
384,21,2,2022,0.0
28,19,1,2014,100.0
410,2,1,2032,885100.0
188,13,2,2021,130900.0
96,19,2,2010,100.0
218,2,1,2027,851600.0
344,11,1,2021,238800.0
854,12,1,2011,126100.0
792,7,1,2021,3211000.0
688,20,1,2035,1800.0
116,9,1,2020,293000.0
12,20,2,2037,18100.0
426,14,2,2013,20800.0
52,10,1,2017,9700.0
288,3,2,2019,1669600.0
410,15,2,2010,851800.0
840,3,1,2010,10692000.0
531,11,2,2023,6300.0
516,15,1,2014,9700.0
422,21,2,2028,200.0
12,13,1,2024,804600.0
232,3,1,2034,250700.0
458,1,1,2030,1316800.0
450,9,2,2038,1206600.0
620,21,2,2024,2200.0
408,14,1,2039,834200.0
724,8,2,2030,1182600.0
320,4,1,2019,985300.0
112,3,2,2013,210000.0
686,1,2,2010,1059200.0
484,20,1,2011,23200.0
630,15,2,2010,63800.0
642,18,2,2029,167500.0
524,18,1,2013,20800.0
634,21,2,2040,200.0
204,15,1,2040,108600.0
826,3,2,2018,1853300.0
70,16,1,2014,50800.0
24,13,2,2010,167900.0
12,17,1,2018,150700.0
792,11,2,2039,3031300.0
854,3,2,2024,1465700.0
430,6,2,2027,241600.0
634,8,2,2025,94000.0
32,5,1,2010,1680900.0
