protocolo,FK_dt_protocolo,FK_instr_gestao,FK_municipio,tem_instr
"2021.7-108.1032",2021-07-07 00:00:00.000,1,186,1
"2021.7-108.1032",2021-07-07 00:00:00.000,2,186,1
"2021.7-108.1032",2021-07-07 00:00:00.000,4,186,1
"2021.7-108.1032",2021-07-07 00:00:00.000,3,186,1
"2021.7-108.1032",2021-07-07 00:00:00.000,5,186,1
"2021.7-108.1032",2021-07-07 00:00:00.000,6,186,1
"2021.6-108.1010",2021-06-29 00:00:00.000,1,,0
"2021.6-108.1010",2021-06-29 00:00:00.000,2,,0
"2021.6-108.1010",2021-06-29 00:00:00.000,4,,0
"2021.6-108.1010",2021-06-29 00:00:00.000,3,,0
"2021.6-108.1010",2021-06-29 00:00:00.000,5,,0
"2021.6-108.1010",2021-06-29 00:00:00.000,6,,0
"2021.6-108.1009",2021-06-29 00:00:00.000,1,,0
"2021.6-108.1009",2021-06-29 00:00:00.000,2,,0
"2021.6-108.1009",2021-06-29 00:00:00.000,4,,1
"2021.6-108.1009",2021-06-29 00:00:00.000,3,,0
"2021.6-108.1009",2021-06-29 00:00:00.000,5,,0
"2021.6-108.1009",2021-06-29 00:00:00.000,6,,0
"2021.6-108.998",2021-06-15 00:00:00.000,1,186,1
"2021.6-108.998",2021-06-15 00:00:00.000,2,186,1
"2021.6-108.998",2021-06-15 00:00:00.000,4,186,1
"2021.6-108.998",2021-06-15 00:00:00.000,3,186,1
"2021.6-108.998",2021-06-15 00:00:00.000,5,186,1
"2021.6-108.998",2021-06-15 00:00:00.000,6,186,1
