StoreID,PhoneNumber,StoreAddress,OnlineOrder
1532,"530-685-6909","6 Pond Park","No"
2026,"284-389-5109","243 Ridge Oak Circle","Yes"
2714,"803-223-0788","01751 Kedzie Hill","No"
2909,"256-826-4288","9435 Lukken Avenue","No"
3072,"501-172-0188","42 Center Park","No"
4896,"762-319-0686","4731 Dakota Way","No"
6714,"597-460-3098","3 Mesta Parkway","No"
8443,"918-276-2964","6 Eggendart Court","No"
8815,"653-125-2842","9 Bartillon Street","No"
9272,"477-764-0813","65624 Lake View Point","No"
