FeedbackID,Rating,Description,CustomerID
"1820","Bad","Overall experience is nice",572074186
"2224","Good","Product quality is Good",434422950
"4083","Okay","Product quality is Good",34322139
"4713","Okay","Overall experience is nice",767126794
"5318","Good","Refund/Cashback option present",899417464
"6586","Good","Coupon availability present",935784574
"8600","Worst","Coupon availability present",574915848
"8966","Worst","Payment process is fast",627492687
"9158","Bad","Payment process is fast",763912275
"9274","Good","Refund/Cashback option present",549165035
