OrderID,CustomerID,OrderDate,BillingDate,Amount
"DX3282",899417464,2017-11-14 00:00:00.000,2019-09-18 00:00:00.000,74419
"Gb0735",549165035,2017-12-05 00:00:00.000,2017-12-05 00:00:00.000,2345
"GW0735",549165035,2017-12-05 00:00:00.000,2019-11-04 00:00:00.000,39478
"IB5094",627492687,2015-06-02 00:00:00.000,2018-07-19 00:00:00.000,23054
"KB6540",574915848,2019-04-17 00:00:00.000,2017-03-17 00:00:00.000,67193
"QG0063",763912275,2015-10-25 00:00:00.000,2016-05-19 00:00:00.000,81627
"TB2332",767126794,2016-03-30 00:00:00.000,2017-12-13 00:00:00.000,46893
"US9267",935784574,2015-05-24 00:00:00.000,2015-09-17 00:00:00.000,2090
"WS5949",34322139,2015-06-28 00:00:00.000,2019-12-06 00:00:00.000,69807
"XH4857",572074186,2018-01-31 00:00:00.000,2016-01-02 00:00:00.000,75069
"YB6409",434422950,2017-09-18 00:00:00.000,2018-01-26 00:00:00.000,62029
