PaymentID,PaymentDate,PaymentMethod,CustomerID,ProductID
773,2018-06-08 00:00:00.000,"Gift Card",627492687,"PT3839"
1722,2019-05-02 00:00:00.000,"Gift Card",767126794,"VS0198"
4440,2015-01-03 00:00:00.000,"Debit Card",763912275,"QX5146"
4962,2017-10-21 00:00:00.000,"Checking Account",434422950,"FK8188"
9477,2019-08-10 00:00:00.000,"Credit card",935784574,"WD1821"
11045,2019-07-31 00:00:00.000,"Debit Card",572074186,"KM5282"
53041,2015-08-05 00:00:00.000,"Gift Card",574915848,"PO3619"
55929,2016-06-13 00:00:00.000,"Debit Card",549165035,"IJ1040"
66980,2017-11-05 00:00:00.000,"Checking Account",34322139,"BV4975"
97715,2017-03-15 00:00:00.000,"Checking Account",899417464,"WD0398"
